Điện áp danh định của mạch điện<br>V,Điện áp thử nghiệm<br>V,Điện trở cách điện thấp nhất cho phép<br>MΩ
≤ 50,250,"0,5"
Từ trên 50 đến dưới 500,500,"1,0"
