Phân loại theo độ tin cậy,Đặc tính làm việc của trạm bơm
Loại I,Không cho phép ngừng hay giảm lưu lượng
Loại II,Cho phép ngừng bơm nước thải không quá 6 giờ
Loại III,Cho phép ngừng bơm nước thải không quá 1 ngày
