Đối tượng chiếu sáng,"Độ rọi mặt đường ($E_{n}$), lx — Trung bình","Độ rọi mặt đường ($E_{n}$), lx — Tối thiểu","Độ rọi bán trụ ($E_{bt}$), lx"
1. Trong đô thị,30,10,10
2. Ngoài đô thị,20,5,5
