Điều kiện đi bộ,"Khả năng thông hành, người/h"
"1. Dọc hè phố có cửa hàng, nhà cửa",700
2. Hè tách xa nhà và cửa hàng,800
3. Hè trong dải cây xanh,1 000
4. Đường dạo chơi,600
5. Dải đi bộ qua đường,1 200
