Đặc điểm vỏ bao che nhà ga,"Ban ngày — $E_{n,tb}$, lx","Ban ngày — $E_{n,min}$, lx","Ban đêm — $E_{n,tb}$, lx","Ban đêm — $E_{n,min}$, lx"
1. Mở lấy ánh sáng ban ngày,-,-,50,30
2. Đóng kín,200,100,100,50
