Cấp chiếu sáng đường hầm,"Độ chói trung bình, cd/$m^{2}$ theo tốc độ giới hạn, km/h — 50 ÷ 70","Độ chói trung bình, cd/$m^{2}$ theo tốc độ giới hạn, km/h — 80 ÷ 100","Độ chói trung bình, cd/$m^{2}$ theo tốc độ giới hạn, km/h — 110 ÷ 120"
4,3,6,10
3,2,4,6
2,"1,5",2,4
1,-,"0,5","1,5"
