Vị trí vùng xung đột giao thông theo cấp đường,"Độ rọi trung bình ($E_{n,tb}$), lx","Độ đồng đều độ rọi, $U_{o}$(E)","Độ rọi bán trụ ($E_{bt}$), lx"
&nbsp;&nbsp;\- Đường cấp A<br>&nbsp;&nbsp;\- Đường cấp B<br>&nbsp;&nbsp;\- Đường cấp C,30,"0,4",10
&nbsp;&nbsp;\- Đường cấp D<br>&nbsp;&nbsp;\- Đường cấp E,20,"0,4",5
