Các loại đường đô thị,Đường cao tốc đô thị,"Đường trục chính, đường chính đô thị, đường liên khu vực",Đường cấp khu vực,Đường cấp nội bộ
Đường cao tốc đô thị,Khác mức,Khác mức,Khác mức,Khác mức không liên thông
"Đường trục chính, đường chính đô thị, đường liên khu vực",Khác mức,Khác mức hoặc cùng mức có đèn tín hiệu,Cùng mức có đèn tín hiệu hoặc khác mức,Khác mức
Đường cấp khu vực,Khác mức,Cùng mức có đèn tín hiệu hoặc khác mức,Cùng mức có đèn tín hiệu hoặc khác mức.,Cùng mức
Đường cấp nội,Khác mức không liên thông,Khác mức,Cùng mức,Cùng mức
