STT,Loại công trình,Tiêu chí phân cấp,Quy mô
1,Cảng hàng không,Lượt hành khách (triệu khách/năm),≥ 25
2,Đường sắt tốc độ cao,Tầm quan trọng,Với mọi quy mô
3,Cầu,Nhịp kết cấu lớn nhất (m),≥ 350
4,Cảng biển,Tải trọng của tàu (DWT),≥ 100.000
5,Nhà máy điện hạt nhân,Tổng công suất (MW),≥ 1.000
6,"Công trình thủy điện, công trình nhiệt điện",Tổng công suất (MW),≥ 1.000
