Tên phòng,Đơn vị tính,Diện tích $m^{2}$ hoặc số lượng thiết bị
1,2,3
"1- Các sảnh và nơi để mũ nón<br>2- Khu vệ sinh<br>3- Các phòng kho trong các nhà học cho các thiết bị học tập, sinh hoạt<br>4- Các kho đồ đạc khác<br>&nbsp;&nbsp;\- Các trường dưới 2000 học sinh<br>&nbsp;&nbsp;\- các trường trên 2000 học sinh",1 chỗ<br>học sinh<br>100 học sinh<br>100 học sinh<br>-,"0.15<br>1 xí, tiểu, 1 chậu rửa cho 40 học sinh nữ<br>1 xí, tiểu, 1 chậu rửa cho 40 học sinh nam<br>3<br>2<br>1.5"
