Kí hiệu,Khoảng cách giữa các thiết bị,Kích thước nhìn
α<br>β<br>h<br>λ,Khoảng cách giữa bàn trên và bàn dưới trong cùng một dãy<br>Khoảng cách giữa các dãy bàn khi giảng đường không quá 50 chỗ<br>Khoảng cách giữa bàn giáo viên và bảng đen hoặc tường<br>Khoảng cách từ bảng đen tới hàng ghế đầu (trong trường hợp không có bàn thao tác)<br>Khoảng cách từ màn ảnh tới lng tựa của hàng ghế đầu<br>Góc đứng tạo bởi tia nhìn của người ngồi hàng thứ nhất tới mép trên của màn ảnh theo phương thẳng đứng<br>Góc nghiêng của trục quang học máy chiếu tới chính giữa mặt phẳng màn ảnh<br>&nbsp;&nbsp;\- Theo mặt phẳng ngang<br>&nbsp;&nbsp;\- Theo mặt phẳng đứng<br>&nbsp;&nbsp;&nbsp;&nbsp;\+ Hướng lên trên<br>&nbsp;&nbsp;&nbsp;&nbsp;\+ Hướng xuống dưới<br>Góc ngang bởi tia nhìn hướng tới mép thẳng đứng xa nhất của bảng đen với tường bằng trên mặt bảng ngang tầm mắt của học sinh<br>Tia nhìn nhỏ nhất của người ngồi sau phải vượt quá tia nhìn của người ngồi trước:<br>&nbsp;&nbsp;\- Đối với tia nhìn hướng tới mép gần nhất của mặt bằng thao tác (trong các giảng đường có từ 100 chỗ trở lên)<br>&nbsp;&nbsp;\- Đối với tia nhìn hướng tới mép dưới bảng đen (trong các giảng đường không có thao tác)<br>Chiều cao tính toán của người ngồi lấy từ sàn đến tầm mắt<br>Chiều cao từ mặt sàn bậc trên cùng trong giảng đường kiểu sàn bậc thang tới mép dưới của kết cấu trần,ít nhất là 70cm<br>ít nhất là 60cm<br>ít nhất là 90cm<br>ít nhất là 200cm<br>ít nhất là 300cm<br>ít nhất là 45°<br>ít nhất là 45°<br>không lớn hơn 3°<br>không lớn hơn 10°<br>không ít hơn 30°<br>12cm<br>5cm<br>110cm<br>ít nhất là 25cm
A<br>B<br>D<br>K<br>E<br>H,Chiều rộng của bảng đen đối với giảng đường<br>&nbsp;&nbsp;\- Dưới 100 chỗ<br>&nbsp;&nbsp;\- Trên l00 chỗ<br>Khoảng cách từ bàn thao tác đến bảng đen<br>Khoảng cách từ bàn thao tác đến bàn hoặc chỗ viết của hàng đầu tiên trong các giảng đường<br>&nbsp;&nbsp;\- Dưới 100 chỗ<br>&nbsp;&nbsp;\- Trên 100 chỗ<br>Khoảng cách từ bảng đen đến hàng ghế dưới cùng<br>Khoảng cách từ mép dưới bảng đen đến sàn giảng đường<br>Khoảng cách từ mép trên. của mặt bảng (phấn để viết) đến sàn giảng đường,ít nhất là 400cm<br>ít nhất là 500cm<br>100cm<br>110cm<br>250cm<br>Không lớn hơn<br>2000cm<br>90cm<br>Không lớn hơn<br>250cm
