Các công trình thể thao có mái,"Kích thước, m — Dài","Kích thước, m — Rộng","Kích thước, m — Cao",Số lượng công trình tính theo số học sinh (1000 học sinh) — 1,Số lượng công trình tính theo số học sinh (1000 học sinh) — 2,Số lượng công trình tính theo số học sinh (1000 học sinh) — 3,Số lượng công trình tính theo số học sinh (1000 học sinh) — 4,Số lượng công trình tính theo số học sinh (1000 học sinh) — 5,Số lượng công trình tính theo số học sinh (1000 học sinh) — 6
1- Phòng thể thao cho thể dục dụng cụ và các môn thể thao khác,36,18,8,,1,1,1,1,1
2- Phòng thể dục thể thao loại trung bình,24,14,7,1,,,,,1
