Loại phòng,"Độ ồn, tính theo phòng — Tính toán","Độ ồn, tính theo phòng — Cho phép"
1,2,3
"1. Giảng đường, lớp học, phòng thí nghiệm<br>2. Phòng đọc sách, phòng cho mượn sách<br>3. Phòng thể thao<br>4. Phòng hành chính<br>5. Phòng đánh máy<br>6. Phòng vô tuyến",85<br>70<br>90<br>80<br>80<br>85,40<br>35<br>40<br>40<br>50<br>30
