"Tên giảng đường, lớp học","Diện tích cho 1 chỗ (không được lớn hơn), $m^{2}$"
1,2
"1. Giảng đường 500 chỗ<br>2. Giảng đường 400 chỗ<br>3. Giảng đường 300 - 200 chỗ<br>4. Giảng đường 150 chỗ<br>5. Giảng đờng 100 chỗ<br>6. Lớp học 75 - 50 chỗ<br>7. Lớp học 25 chỗ<br>8. Phòng học 12 - 25 chỗ với các thiết bị dạy và kiểm tra<br>9. Giảng đường nghệ thuật, sân khấu 200 - 300 chỗ","0,90<br>1,00<br>1,10<br>1,20<br>1,30<br>1,50<br>2,20<br>3,00<br>1,80"
