Tên phòng,Chỉ số tính toán,Đơn vị,Diện tích $m^{2}$
1- Diện tích chỗ cho mượn sách về nhà<br>&nbsp;&nbsp;\- Cho người đọc<br>&nbsp;&nbsp;\- Cho nhân viên công tác ở thư viện<br>2 - Diện tích chỗ cho mượn sách ở phòng đọc<br>&nbsp;&nbsp;\- Cho người đọc<br>&nbsp;&nbsp;\- Cho nhân viên công tác ở thư viện<br>3 - Phòng trưng bày sách<br>4 - Mục lục sách độc giả<br>&nbsp;&nbsp;\- Diện tích để mục lục<br>&nbsp;&nbsp;\- Diện tích cho nhân viên<br>5 - Bộ phận tra cứu thông tin cho người đọc<br>6- Các phòng đọc dành cho các nhóm học sinh,cho 1 người đọc<br>cho 1 nhân viên<br>cho 1 người đọc<br>cho 1 nhân viên<br>cho 1 người đọc<br>cho 1 tủ mục lục<br>(2 vạn phiếu)<br>cho 1 nhân viên cho 1 người đọc<br>cho 1 người,20%<br>chỗ của phòng đọc<br>15% số chỗ của phòng đọc<br>40% số chỗ của phòng đọc<br>80% số chỗ của phòng đọc,"1,8<br>5,0<br>1,5<br>5,0<br>0,5<br>3,5<br>4,0<br>0,1<br>2,4<br>3,0"
"7 –Các phòng đọc dành cho nghiên cứu khoa học.<br>Trong đó phòng đọc riêng, phòng đọc tài liệu khổ lớn và sách kín<br>8- Kho sách<br>&nbsp;&nbsp;\- Báo quản chính<br>&nbsp;&nbsp;\- Bảo quản kín<br>&nbsp;&nbsp;\- Bảo quản hở dễ lấy<br>&nbsp;&nbsp;\- Diện tích cho nhân viên phục vụ<br>9 - Chỗ cho mượn sách chung của các thư viện<br>10- Các bộ phận bổ sung, chỉnh lí và mục lục sách<br>11- Các phòng thu, chụp micro, phim in lại, bảo quản, đóng sách và phục chế.<br>12- Các phòng phục vụ sản xuất<br>13 - Phòng bơi cặp, túi sách<br>14 - Phòng chủ nhiệm thư viện",8% số chỗ phòng đọc cho bộ phận nghiên cứu KH<br>cho 1000 đơn vị sách<br>-<br>-<br>cho 1 nhân viên cho 1 nhân viên cho 1 tủ mục lục<br>4 vạn phiếu<br>cho 1 vạn cuốn<br>cho 1 vạn phiếu<br>cho 1 người đọc<br>cho 1 chủ nhiệm,70% tổng số sách<br>20%<br>10%,"5,0<br>2,5<br>1,25<br>5,0<br>4,0<br>6,0<br>2,0<br>2,0<br>3,0<br>0,04<br>0,18"
