Số TTSố TTSố TT,"Tên cá nhân, đơn vị thực hiệnTên cá nhân, đơn vị thực hiệnTên cá nhân, đơn vị thực hiện","Nội dung công việc, hợp đồng thực hiệnNội dung công việc, hợp đồng thực hiệnNội dung công việc, hợp đồng thực hiện",Giá trị đề nghị quyết toánGiá trị đề nghị quyết toánGiá trị đề nghị quyết toán,Số vốn đã giải ngânSố vốn đã giải ngânSố vốn đã giải ngân,Công nợ đến ngày khoá sổ lập báo cáo quyết toánCông nợ đến ngày khoá sổ lập báo cáo quyết toánCông nợ đến ngày khoá sổ lập báo cáo quyết toán — Phải thuPhải thuPhải thu,Công nợ đến ngày khoá sổ lập báo cáo quyết toánCông nợ đến ngày khoá sổ lập báo cáo quyết toánCông nợ đến ngày khoá sổ lập báo cáo quyết toán — Phải trảPhải trảPhải trả,Ghi chúGhi chúGhi chú
111,222,333,444,555,6 = 5-46 = 5-46 = 5-4,7 = 4-57 = 4-57 = 4-5,888
111,Nguyễn Văn ANguyễn Văn ANguyễn Văn A,,,,,,
222,Công ty BCông ty BCông ty B,,,,,,
333,………,,,,,,
Tổng cộngTổng cộngTổng cộng,Tổng cộngTổng cộngTổng cộng,Tổng cộngTổng cộngTổng cộng,,,,,
