Số TTSố TTSố TT,Nội dung chi phíNội dung chi phíNội dung chi phí,"Tổng mức đầu tư (của dự án, dự án thành phần, tiểu dự án độc lập) hoặc dự toán (công trình, hạng mục công trình độc lập) được phê duyệt hoặc điều chỉnh lần cuốiTổng mức đầu tư (của dự án, dự án thành phần, tiểu dự án độc lập) hoặc dự toán (công trình, hạng mục công trình độc lập) được phê duyệt hoặc điều chỉnh lần cuốiTổng mức đầu tư (của dự án, dự án thành phần, tiểu dự án độc lập) hoặc dự toán (công trình, hạng mục công trình độc lập) được phê duyệt hoặc điều chỉnh lần cuối",Giá trị đề nghị quyết toánGiá trị đề nghị quyết toánGiá trị đề nghị quyết toán,"Giá trị đề nghị quyết toán tăng (+), giảm (-) so với tổng mức đầu tư (của dự án, dự án thành phần, tiểu dự án độc lập) hoặc dự toán (công trình, hạng mục công trình độc lập) được phê duyệt hoặc điều chỉnh lần cuốiGiá trị đề nghị quyết toán tăng (+), giảm (-) so với tổng mức đầu tư (của dự án, dự án thành phần, tiểu dự án độc lập) hoặc dự toán (công trình, hạng mục công trình độc lập) được phê duyệt hoặc điều chỉnh lần cuốiGiá trị đề nghị quyết toán tăng (+), giảm (-) so với tổng mức đầu tư (của dự án, dự án thành phần, tiểu dự án độc lập) hoặc dự toán (công trình, hạng mục công trình độc lập) được phê duyệt hoặc điều chỉnh lần cuối"
111,222,333,444,5 = 4-35 = 4-35 = 4-3
,Tổng sốTổng sốTổng số,,,
111,"Bồi thường, hỗ trợ, tái định cưBồi thường, hỗ trợ, tái định cưBồi thường, hỗ trợ, tái định cư",,,
222,Xây dựngXây dựngXây dựng,,,
333,Thiết bịThiết bịThiết bị,,,
444,Quản lý dự ánQuản lý dự ánQuản lý dự án,,,
555,Tư vấnTư vấnTư vấn,,,...
666,Chi phí khácChi phí khácChi phí khác,,,
777,Dự phòngDự phòngDự phòng,,,
