Số TT,Nội dung,"Tổng mức đầu tư (của dự án, dự án thành phần, tiểu dự án độc lập) hoặc dự toán (công trình, hạng mục công trình độc lập) được phê duyệt hoặc điều chỉnh lần cuối",Giá trị quyết toán được phê duyệt
,Tổng số,,
1,"Bồi thường, hỗ trợ, tái định cư",,
2,Xây dựng,,
3,Thiết bị,,
4,Quản lý dự án,,
5,Tư vấn xây dựng,,
6,Chi phí khác,,
7,Dự phòng,,
