Số TT,Nội dung chi phí,"Tổng mức đầu tư (của dự án, dự án thành phần, tiểu dự án độc lập) hoặc dự toán (công trình, hạng mục công trình độc lập) được phê duyệt hoặc điều chỉnh lần cuối",Giá trị đề nghị quyết toán,"Giá trị đề nghị quyết toán tăng (+), giảm (-) so với tổng mức đầu tư (của dự án, dự án thành phần, tiểu dự án độc lập), dự toán (công trình, hạng mục công trình độc lập) được phê duyệt hoặc điều chỉnh lần cuối"
1,2,3,4,5 = 4-3
,Tổng số,,,
1,"Bồi thường, hỗ trợ, tái định cư",,,
2,Xây dựng,,,
3,Thiết bị,,,
4,Quản lý dự án,,,
5,Tư vấn,,,
6,Chi phí khác,,,
7,Dự phòng,,,
