Loại công trình,LPD (W/$m^{2}$)
Văn phòng,11
Khách sạn,11
Bệnh viện,13
"Trạm y tế, chăm sóc sức khỏe*",11
Thư viện*,14
Hội thảo*,15
Trường học,12
"Thương mại, dịch vụ",16
Chung cư,8
Kho*,9
Khu vực để xe trong nhà,3
