WWR (%),SHGC — Hướng Bắc,SHGC — Hướng Nam,SHGC — Các hướng còn lại
20,"0,90","0,90","0,80"
30,"0,64","0,70","0,58"
40,"0,50","0,56","0,46"
50,"0,40","0,45","0,38"
60,"0,33","0,39","0,32"
70,"0,27","0,33","0,27"
80,"0,23","0,28","0,23"
90,"0,20","0,25","0,20"
100,"0,17","0,22","0,17"
