Tỷ số PF=b/B,Hệ số A — Hướng Bắc,Hệ số A — Hướng Nam,Hệ số A — Các hướng còn lại
"0,1","1,25","1,11","1,01"
"0,2","1,52","1,19","1,03"
"0,3","1,75","1,22","1,05"
"0,4","1,82","1,25","1,06"
"0,5","1,85","1,28","1,09"
"0,6","1,85","1,30","1,10"
"0,7","1,89","1,30","1,12"
"0,8","1,89","1,30","1,14"
"0,9","1,89","1,30","1,16"
"1,0","1,89","1,30","1,18"
