1.6.31.6.31.6.3,Bột nhẹBột nhẹBột nhẹ
1.6.41.6.41.6.4,Các loại vôi công nghiệp khácCác loại vôi công nghiệp khácCác loại vôi công nghiệp khác
1.71.71.7,Vật liệu chịu lửaVật liệu chịu lửaVật liệu chịu lửa
1.7.11.7.11.7.1,Vật liệu chịu lửa định hìnhVật liệu chịu lửa định hìnhVật liệu chịu lửa định hình
1.7.1.11.7.1.11.7.1.1,Gạch samotGạch samotGạch samot
1.7.1.21.7.1.21.7.1.2,Gạch cao nhômGạch cao nhômGạch cao nhôm
1.7.1.31.7.1.31.7.1.3,Gạch silic (dinat)Gạch silic (dinat)Gạch silic (dinat)
1.7.1.41.7.1.41.7.1.4,Gạch chịu lửa nhôm - carbonGạch chịu lửa nhôm - carbonGạch chịu lửa nhôm - carbon
1.7.1.51.7.1.51.7.1.5,Gạch manhêdiGạch manhêdiGạch manhêdi
1.7.1.61.7.1.61.7.1.6,Gạch manhêdi - spinelGạch manhêdi - spinelGạch manhêdi - spinel
1.7.1.71.7.1.71.7.1.7,Gạch manhêdi - carbonGạch manhêdi - carbonGạch manhêdi - carbon
1.7.1.81.7.1.81.7.1.8,Gạch crom - manhêdiGạch crom - manhêdiGạch crom - manhêdi
1.7.1.91.7.1.91.7.1.9,Gạch cacbua silicGạch cacbua silicGạch cacbua silic
1.7.1.101.7.1.101.7.1.10,Các loại gạch chịu lửa khácCác loại gạch chịu lửa khácCác loại gạch chịu lửa khác
1.7.21.7.21.7.2,Vật liệu chịu lửa không định hìnhVật liệu chịu lửa không định hìnhVật liệu chịu lửa không định hình
1.7.2.11.7.2.11.7.2.1,Bê tông chịu lửaBê tông chịu lửaBê tông chịu lửa
1.7.2.21.7.2.21.7.2.2,Vữa chịu lửaVữa chịu lửaVữa chịu lửa
1.7.2.31.7.2.31.7.2.3,"Sợi, bông chịu lửaSợi, bông chịu lửaSợi, bông chịu lửa"
1.7.31.7.31.7.3,Các loại vật liệu chịu lửa khácCác loại vật liệu chịu lửa khácCác loại vật liệu chịu lửa khác
222,VẬT LIỆU XÂY DỰNG THÔNG THƯỜNGVẬT LIỆU XÂY DỰNG THÔNG THƯỜNGVẬT LIỆU XÂY DỰNG THÔNG THƯỜNG
2.12.12.1,Đá xây dựngĐá xây dựngĐá xây dựng
2.1.12.1.12.1.1,"Đá dăm sản xuất từ đá tự nhiên, dùng làm cốt liệu cho bê tôngĐá dăm sản xuất từ đá tự nhiên, dùng làm cốt liệu cho bê tôngĐá dăm sản xuất từ đá tự nhiên, dùng làm cốt liệu cho bê tông"
2.1.22.1.22.1.2,"Đá cuội, sỏi tự nhiên dùng làm cốt liệu cho bê tôngĐá cuội, sỏi tự nhiên dùng làm cốt liệu cho bê tôngĐá cuội, sỏi tự nhiên dùng làm cốt liệu cho bê tông"
2.1.32.1.32.1.3,Các loại đá xây dựng khácCác loại đá xây dựng khácCác loại đá xây dựng khác
2.22.22.2,Cát xây dựngCát xây dựngCát xây dựng
2.2.12.2.12.2.1,"Cát tự nhiên dùng làm cốt liệu cho bê tông và vữa xây, trátCát tự nhiên dùng làm cốt liệu cho bê tông và vữa xây, trátCát tự nhiên dùng làm cốt liệu cho bê tông và vữa xây, trát"
2.2.22.2.22.2.2,"Cát nghiền dùng làm cốt liệu cho bê tông và vữa xây, trátCát nghiền dùng làm cốt liệu cho bê tông và vữa xây, trátCát nghiền dùng làm cốt liệu cho bê tông và vữa xây, trát"
2.2.32.2.32.2.3,Các loại cát xây dựng khácCác loại cát xây dựng khácCác loại cát xây dựng khác
2.32.32.3,Vật liệu xâyVật liệu xâyVật liệu xây
2.3.12.3.12.3.1,Gạch đất sét nungGạch đất sét nungGạch đất sét nung
2.3.1.12.3.1.12.3.1.1,Gạch rỗng đất sét nungGạch rỗng đất sét nungGạch rỗng đất sét nung
2.3.1.22.3.1.22.3.1.2,Gạch đặc đất sét nungGạch đặc đất sét nungGạch đặc đất sét nung
2.3.22.3.22.3.2,Vật liệu xây không nungVật liệu xây không nungVật liệu xây không nung
2.3.2.12.3.2.12.3.2.1,Gạch bê tôngGạch bê tôngGạch bê tông
2.3.2.22.3.2.22.3.2.2,Sản phẩm bê tông khí chưng ápSản phẩm bê tông khí chưng ápSản phẩm bê tông khí chưng áp
2.3.2.2.12.3.2.2.12.3.2.2.1,Gạch bê tông khí chưng ápGạch bê tông khí chưng ápGạch bê tông khí chưng áp
2.3.2.2.22.3.2.2.22.3.2.2.2,Tấm tường bê tông khí chưng áp cốt thépTấm tường bê tông khí chưng áp cốt thépTấm tường bê tông khí chưng áp cốt thép
2.3.2.32.3.2.32.3.2.3,"Gạch bê tông nhẹ, tấm bê tông nhẹ (bê tông bọt, bê tông khí không chưng áp, bê tông cốt liệu nhẹ) và các loại vật liệu nhẹ khácGạch bê tông nhẹ, tấm bê tông nhẹ (bê tông bọt, bê tông khí không chưng áp, bê tông cốt liệu nhẹ) và các loại vật liệu nhẹ khácGạch bê tông nhẹ, tấm bê tông nhẹ (bê tông bọt, bê tông khí không chưng áp, bê tông cốt liệu nhẹ) và các loại vật liệu nhẹ khác"
2.3.2.42.3.2.42.3.2.4,Gạch bê tông geopolymeGạch bê tông geopolymeGạch bê tông geopolyme
2.3.2.52.3.2.52.3.2.5,Tấm tường rỗng bê tông đúc sẵn theo công nghệ đùn épTấm tường rỗng bê tông đúc sẵn theo công nghệ đùn épTấm tường rỗng bê tông đúc sẵn theo công nghệ đùn ép
2.3.2.62.3.2.62.3.2.6,Tấm tường nhẹ 3 lớp xen kẹpTấm tường nhẹ 3 lớp xen kẹpTấm tường nhẹ 3 lớp xen kẹp
2.3.2.72.3.2.72.3.2.7,Gạch không nung làm từ đấtGạch không nung làm từ đấtGạch không nung làm từ đất
2.3.32.3.32.3.3,Các loại vật liệu xây khácCác loại vật liệu xây khácCác loại vật liệu xây khác
2.42.42.4,"Vật liệu ốp, látVật liệu ốp, látVật liệu ốp, lát"
2.4.12.4.12.4.1,"Gạch ốp, lát xi măngGạch ốp, lát xi măngGạch ốp, lát xi măng"
2.4.22.4.22.4.2,"Gạch ốp, lát đất sét nungGạch ốp, lát đất sét nungGạch ốp, lát đất sét nung"
2.4.32.4.32.4.3,"Các loại vật liệu ốp, lát khácCác loại vật liệu ốp, lát khácCác loại vật liệu ốp, lát khác"
2.52.52.5,Vật liệu lợpVật liệu lợpVật liệu lợp
2.5.12.5.12.5.1,Ngói lợp máiNgói lợp máiNgói lợp mái
2.5.1.12.5.1.12.5.1.1,Ngói đất sét nungNgói đất sét nungNgói đất sét nung
2.5.1.22.5.1.22.5.1.2,Ngói gốm tráng menNgói gốm tráng menNgói gốm tráng men
2.5.1.32.5.1.32.5.1.3,Ngói bê tông (bao gồm ngói bê tông sợi)Ngói bê tông (bao gồm ngói bê tông sợi)Ngói bê tông (bao gồm ngói bê tông sợi)
2.5.22.5.22.5.2,Tấm lợpTấm lợpTấm lợp
2.5.2.12.5.2.12.5.2.1,Tấm sóng amiăng - xi măngTấm sóng amiăng - xi măngTấm sóng amiăng - xi măng
2.5.2.22.5.2.22.5.2.2,Tấm lợp xi măng cốt sợi không dùng amiăngTấm lợp xi măng cốt sợi không dùng amiăngTấm lợp xi măng cốt sợi không dùng amiăng
2.5.32.5.32.5.3,Đá phiến lợpĐá phiến lợpĐá phiến lợp
2.5.42.5.42.5.4,Các loại vật liệu lợp khácCác loại vật liệu lợp khácCác loại vật liệu lợp khác
2.62.62.6,Bê tông và cấu kiện bê tôngBê tông và cấu kiện bê tôngBê tông và cấu kiện bê tông
2.6.12.6.12.6.1,Bê tông trộn sẵnBê tông trộn sẵnBê tông trộn sẵn
2.6.22.6.22.6.2,Cấu kiện bê tông đúc sẵnCấu kiện bê tông đúc sẵnCấu kiện bê tông đúc sẵn
2.6.32.6.32.6.3,Bê tông geopolymeBê tông geopolymeBê tông geopolyme
2.6.42.6.42.6.4,Các loại bê tông khácCác loại bê tông khácCác loại bê tông khác
2.72.72.7,Vữa trộn sẵnVữa trộn sẵnVữa trộn sẵn
2.7.12.7.12.7.1,"Vữa xây, trát trộn sẵnVữa xây, trát trộn sẵnVữa xây, trát trộn sẵn"
2.7.22.7.22.7.2,Vữa xi măng khô trộn sẵn không coVữa xi măng khô trộn sẵn không coVữa xi măng khô trộn sẵn không co
2.7.32.7.32.7.3,"Vữa, keo dán gạch và chít mạch sử dụng phụ gia polymeVữa, keo dán gạch và chít mạch sử dụng phụ gia polymeVữa, keo dán gạch và chít mạch sử dụng phụ gia polyme"
2.7.42.7.42.7.4,Vữa tăng cứng sànVữa tăng cứng sànVữa tăng cứng sàn
2.7.52.7.52.7.5,Vữa thạch caoVữa thạch caoVữa thạch cao
2.7.62.7.62.7.6,Vữa chịu axitVữa chịu axitVữa chịu axit
2.7.72.7.72.7.7,Các loại vữa trộn sẵn khácCác loại vữa trộn sẵn khácCác loại vữa trộn sẵn khác
2.82.82.8,Sơn tường dạng nhũ tươngSơn tường dạng nhũ tươngSơn tường dạng nhũ tương
2.8.12.8.12.8.1,Sơn phủ tường dạng nhũ tươngSơn phủ tường dạng nhũ tươngSơn phủ tường dạng nhũ tương
2.8.22.8.22.8.2,Sơn lót tường dạng nhũ tươngSơn lót tường dạng nhũ tươngSơn lót tường dạng nhũ tương
2.8.32.8.32.8.3,Sơn silicat chống thấm sử dụng phụ gia polymeSơn silicat chống thấm sử dụng phụ gia polymeSơn silicat chống thấm sử dụng phụ gia polyme
2.8.42.8.42.8.4,Các loại sơn tường dạng nhũ tương khácCác loại sơn tường dạng nhũ tương khácCác loại sơn tường dạng nhũ tương khác
2.92.92.9,"Tấm trần, vách ngănTấm trần, vách ngănTấm trần, vách ngăn"
2.9.12.9.12.9.1,Tấm thạch caoTấm thạch caoTấm thạch cao
2.9.22.9.22.9.2,Panel thạch cao cốt sợiPanel thạch cao cốt sợiPanel thạch cao cốt sợi
2.9.32.9.32.9.3,Panel thạch cao sợi thủy tinhPanel thạch cao sợi thủy tinhPanel thạch cao sợi thủy tinh
2.9.42.9.42.9.4,"Tấm trần, vách ngăn sử dụng chất kết dính xi măngTấm trần, vách ngăn sử dụng chất kết dính xi măngTấm trần, vách ngăn sử dụng chất kết dính xi măng"
2.9.52.9.52.9.5,Tấm compositeTấm compositeTấm composite
