TTTTTT,"Tên sản phẩm, hàng hóa vật liệu xây dựngTên sản phẩm, hàng hóa vật liệu xây dựngTên sản phẩm, hàng hóa vật liệu xây dựng",Mã HSMã HSMã HS,Phương thức đánh giá hợp quy*Phương thức đánh giá hợp quy*Phương thức đánh giá hợp quy*
111,Amiăng trắngAmiăng trắngAmiăng trắng,2524.90.002524.90.002524.90.00,"PT2, PT7PT2, PT7PT2, PT7"
222,Xỉ hạt:Xỉ hạt:Xỉ hạt:- Xỉ hạt lò cao;- Xỉ hạt lò cao;- Xỉ hạt lò cao;- Xỉ hạt phốt pho lò điện nghiền mịn dùng cho xi măng và bê tông.**- Xỉ hạt phốt pho lò điện nghiền mịn dùng cho xi măng và bê tông.**- Xỉ hạt phốt pho lò điện nghiền mịn dùng cho xi măng và bê tông.**,2618.00.00;2618.00.00;2618.00.00;2621.90.902621.90.902621.90.90,"PT2, PT7PT2, PT7PT2, PT7"
333,"Tro bay dùng cho vật liệu xây dựng:Tro bay dùng cho vật liệu xây dựng:Tro bay dùng cho vật liệu xây dựng:- Phụ gia hoạt tính tro bay dùng cho bê tông, vữa xây và xi măng;- Phụ gia hoạt tính tro bay dùng cho bê tông, vữa xây và xi măng;- Phụ gia hoạt tính tro bay dùng cho bê tông, vữa xây và xi măng;- Tro bay làm nguyên liệu sản xuất vật liệu xây dựng.- Tro bay làm nguyên liệu sản xuất vật liệu xây dựng.- Tro bay làm nguyên liệu sản xuất vật liệu xây dựng.",2621.90.902621.90.902621.90.90,"PT2, PT7PT2, PT7PT2, PT7"
444,Tro xỉ nhiệt điện đốt than làm vật liệu san lấp**Tro xỉ nhiệt điện đốt than làm vật liệu san lấp**Tro xỉ nhiệt điện đốt than làm vật liệu san lấp**,2620.99.90;2620.99.90;2620.99.90;2621.90.902621.90.902621.90.90,"PT2, PT7PT2, PT7PT2, PT7"
555,Xỉ thép làm vật liệu san lấp**Xỉ thép làm vật liệu san lấp**Xỉ thép làm vật liệu san lấp**,2619.00.002619.00.002619.00.00,"PT2, PT7PT2, PT7PT2, PT7"
666,Hỗn hợp thạch cao phốt pho làm vật liệu san lấp**Hỗn hợp thạch cao phốt pho làm vật liệu san lấp**Hỗn hợp thạch cao phốt pho làm vật liệu san lấp**,3825.69.003825.69.003825.69.00,"PT2, PT7PT2, PT7PT2, PT7"
777,Thạch cao phospho dùng để sản xuất xi măngThạch cao phospho dùng để sản xuất xi măngThạch cao phospho dùng để sản xuất xi măng,3824.40.003824.40.003824.40.00,"PT2, PT7PT2, PT7PT2, PT7"
888,"Tấm thạch cao, Panel thạch cao cốt sợi, panel thạch cao sợi thủy tinhTấm thạch cao, Panel thạch cao cốt sợi, panel thạch cao sợi thủy tinhTấm thạch cao, Panel thạch cao cốt sợi, panel thạch cao sợi thủy tinh",6809.11.00;6809.11.00;6809.11.00;6809.19.90;6809.19.90;6809.19.90;6809.90.906809.90.906809.90.90,"PT2, PT5, PT7PT2, PT5, PT7PT2, PT5, PT7"
999,Kính xây dựng:Kính xây dựng:Kính xây dựng:- Kính nổi;- Kính nổi;- Kính nổi;- Kính phủ phản quang;- Kính phủ phản quang;- Kính phủ phản quang;- Kính phủ bức xạ thấp (Low E);- Kính phủ bức xạ thấp (Low E);- Kính phủ bức xạ thấp (Low E);- Kính phẳng tôi nhiệt;- Kính phẳng tôi nhiệt;- Kính phẳng tôi nhiệt;- Kính dán nhiều lớp và kính dán an toàn nhiều lớp;- Kính dán nhiều lớp và kính dán an toàn nhiều lớp;- Kính dán nhiều lớp và kính dán an toàn nhiều lớp;- Kính hộp gắn kín cách nhiệt.- Kính hộp gắn kín cách nhiệt.- Kính hộp gắn kín cách nhiệt.,7005.10.90;7005.10.90;7005.10.90;7005.21.90;7005.21.90;7005.21.90;7005.29.20;7005.29.20;7005.29.20;7005.29.90;7005.29.90;7005.29.90;7007.19.90;7007.19.90;7007.19.90;7007.29.90;7007.29.90;7007.29.90;7008.00.007008.00.007008.00.00,"PT2, PT5, PT7PT2, PT5, PT7PT2, PT5, PT7"
