STT,Loại vật liệu,"So với năm gốc 202.... Vùng/Khu vực... (TP/tỉnh..., phường/xã,..,.)","So với năm gốc 202..... Vùng/Khu vực (các phường/xã còn lại...,. )"
1,Xi măng,,
2,Cát xây dựng,,
3,Đá xây dựng,,
4,Đất đắp,,
5,Gạch xây,,
6,Gạch ốp lát,,
7,Gỗ xây dựng,,
8,Thép xây dựng,,
9,Nhựa đường,,
10,Vật liệu tấm lợp bao che,,
11,Cửa khung nhựa /nhôm,,
12,Kính,,
13,Sơn,,
14,Vật tư điện,,
15,Vật tư nước,,
16,"Trần, vách thạch cao",,
…,…,,
