TT,Loại máy và thiết bị,Nhân công điều khiển máy theo bảng giá ca máy ban hành trước ngày 1/7/2026,Đơn giá nhân công theo công bố của địa phương (đồng/ngày công),"Giá nhân công quy đổi sang Nhóm vận hành máy, điều khiển máy: (đồng/ngày công)"
1,"Máy đào một gầu, bánh xích - dung tích gầu 1,60 m3",1x4/7,320.230,323.788
2,Cần cẩu bánh xích - sức nâng 80t,1x4/7+1x6/7,320.230 + 446.382 = 766.612,323.788
3,"Máy đóng cọc tự hành, bánh xích - trọng lượng đầu búa 3,5t",1x5/7,376.513,323.788
4,Trạm trộn bê tông - năng suất 90 m3/h,2x3/7+1x5/7,2*269.770 + 376.513 = 916.053,323.788
5,Máy rải hỗn hợp bê tông nhựa - năng suất 130 cv - 140 cv,1x3/7+1x5/7,269.770 + 376.513 = 646.283,323.788
6,"Máy khoan xoay đập tự hành, khí nén (chưa tính khí nén) - đường kính khoan D105-110 mm",1x3/7+1x4/7,269.770 + 320.230 = 590.000,323.788
7,Máy cắt uốn cốt thép - công suất 5 kW,1x3/7,269.770,323.788
