TT,Tên công tác xây dựng,Bậc nhân công theo định mức xây dựng ban hành trước ngày 1/7/2026,Đơn giá nhân công theo công bố của địa phương (đồng/ngày công),Giá nhân công quy đổi sang Nhóm 1 (đồng/ngày công)
1,Chặt cây ở địa hình bằng phẳng,"Nhân công 3,0/7",237.763,241.469
2,Phá dỡ kết cấu bằng máy,"Nhân công 3,0/7",237.763,241.469
3,Đào móng bằng thủ công,"Nhân công 3,0/7",237.763,241.469
4,Đắp đất nền móng công trình,"Nhân công 3,0/7",237.763,241.469
5,Đắp đất nền đường,"Nhân công 3,0/7",237.763,241.469
6,"Xói hút đất từ tầu hút phun, hút bụng","Nhân công 3,5/7",260.000,241.469
