Stt,Loại vật liệu,Đơn vị,Khối lượng theo thiết kế,Khối lượng thực tế thi công,Ghi chú
(1),(2),(3),(4),(5),(6)
1,Vật liệu thứ 1,,,,
2,Vật liệu thứ 2,,,,
3,Vật liệu thứ 3,,,,
…,Vật liệu thứ….,,,,
