STT,Tên hạng mục công trình,"Thùng cát, $m^{3}$","Xẻng, chiếc","Chăn sợi 1x2(m), chiếc"
1.,"Kho, cửa hàng chứa hàng hóa là chất lỏng có nhiệt độ bắt cháy > 45°C",1 $m^{3}$ trên mỗi 350 $m^{2}$ sàn,2 chiếc trên mỗi 350 $m^{2}$ sàn,1 chiếc trên mỗi 350 $m^{2}$ sàn
2.,"Phân xưởng sản xuất, chế biến có sử dụng thiết bị cơ khí, lò sấy, máy hàn",,1 chiếc trên mỗi 200 $m^{2}$ sàn,
