Loại gara ô-tô,"Khoảng cách đến lối thoát hiểm gần nhất, khi bố trí chỗ lưu giữ xe (m) — Giữa các lối thoát hiểm","Khoảng cách đến lối thoát hiểm gần nhất, khi bố trí chỗ lưu giữ xe (m) — Tại phần cụt của gian phòng"
Ngầm,40,20
Trên mặt đất,60,25
