Bậc chịu lửa của nhà (công trình),Cấp nguy hiểm cháy kết cấu của nhà<br>(công trình),Số tầng ngầm tối đa cho phép,"Diện tích cho phép lớn nhất của một tầng trong phạm vi một khoang cháy, $m^{2}$"
I,S0,5,3.000
II,S0,3,3.000
