Bậc chịu lửa của nhà (công trình),Cấp nguy hiểm cháy kết cấu của nhà (công trình),Số tầng tối đa cho phép,"Diện tích cho phép lớn nhất của một tầng trong phạm vi một khoang cháy, m2 — Nhà một tầng","Diện tích cho phép lớn nhất của một tầng trong phạm vi một khoang cháy, m2 — Nhà nhiều tầng"
"I, II",S0,9,10.400,5.200
,S1,2,3.500,2.000
III,S0,6,7.800,3.600
,S1,2,2.000,1.200
IV,S0,6,7.300,2.000
,S1,2,2.600,800
