Nhà (công trình),"Khoảng cách, m — từ các gara ô-tô và bãi xe hở có sức chứa — Từ 10 chỗ trở xuống","Khoảng cách, m — từ các gara ô-tô và bãi xe hở có sức chứa — 11 đến 50 chỗ","Khoảng cách, m — từ các gara ô-tô và bãi xe hở có sức chứa — 51 đến 100 chỗ","Khoảng cách, m — từ các gara ô-tô và bãi xe hở có sức chứa — 101 đến 300 chỗ","Khoảng cách, m — từ các trạm phục vụ kỹ thuật có sức chứa — Từ 10 chỗ trở xuống","Khoảng cách, m — từ các trạm phục vụ kỹ thuật có sức chứa — 11 đến 30 chỗ"
Nhà ở - Cửa sổ,10**,15,25,35,15,25
Nhà ở - mép nhà không có cửa sổ,10**,10**,15,25,15,25
Nhà công cộng - phòng làm việc,10**,10**,15,25,15,20
"Các trường học, nhà trẻ",15,25,25,50,50,*
Các cơ quan y tế có phòng điều dưỡng,25,50,*,*,50,*
