Loại gara ô-tô,"Giới hạn chịu lửa của các kết cấu bao che (các vách ngăn cháy), phút, không nhỏ hơn — Tường","Giới hạn chịu lửa của các kết cấu bao che (các vách ngăn cháy), phút, không nhỏ hơn — Cổng",Yêu cầu bố trí khoang đệm
Ngầm,El 90,El 60,"Khoang đệm có độ sâu đảm bảo mở được cổng, nhưng không nhỏ hơn 1,5 m"
Trên mặt đất,El 45,El 30,Không cần thiết
