Bậc chịu lửa của nhà,Cấp nguy hiểm cháy kết cấu của nhà,Hạng nguy hiểm cháy và cháy nổ của nhà,≤ 50 000 m3 (L/s),> 50 và ≤ 100 000 m3 (L/s),> 100 và ≤ 200 000 m3 (L/s),> 200 và ≤ 300 000 m3 (L/s),> 300 và ≤ 400 000 m3 (L/s),> 400 và ≤ 500 000 m3 (L/s),> 500 và ≤ 600 000 m3 (L/s),> 600 và ≤ 700 000 m3 (L/s),> 700 000 m3 (L/s)
I và II,"S0,S1","A,B,C",20,30,40,50,60,70,80,90,100
I và II,S0,"D,E",10,15,20,25,30,35,40,45,50
III,"S0, S1","A, B, C",40,50,60,60,70,80,90,100,110
III,"S0, S1","D, E",20,35,40,40,45,45,50,50,60
IV,"S0,S1","A,B,C",50,60,65,70,80,90,-,-,-
IV,"S0,S1","D,E",35,45,55,60,65,70,75,80,90
IV,"S2, S3",E,40,50,60,-,-,-,-,-,-
