Số TTSố TTSố TT,Số phụ lụcSố phụ lụcSố phụ lục,Tên mẫu biểuTên mẫu biểuTên mẫu biểu
111,Mẫu số: 01(i)/DT-QLDAMẫu số: 01(i)/DT-QLDAMẫu số: 01(i)/DT-QLDA,"Bảng tính chi phí tư vấn, quản lý dự án (lập riêng cho từng dự án).Bảng tính chi phí tư vấn, quản lý dự án (lập riêng cho từng dự án).Bảng tính chi phí tư vấn, quản lý dự án (lập riêng cho từng dự án)."
222,Mẫu số: 02/DT-QLDAMẫu số: 02/DT-QLDAMẫu số: 02/DT-QLDA,Bảng tính lương năm.Bảng tính lương năm.Bảng tính lương năm.
333,Mẫu số: 03/DT-QLDAMẫu số: 03/DT-QLDAMẫu số: 03/DT-QLDA,"Dự toán thu, chi quản lý dự án năm.Dự toán thu, chi quản lý dự án năm.Dự toán thu, chi quản lý dự án năm."
444,Mẫu số: 01/QĐ-QLDAMẫu số: 01/QĐ-QLDAMẫu số: 01/QĐ-QLDA,"Quyết định phê duyệt dự toán thu, chi quản lý dự án năm của Ban quản lý dự án nhóm I.Quyết định phê duyệt dự toán thu, chi quản lý dự án năm của Ban quản lý dự án nhóm I.Quyết định phê duyệt dự toán thu, chi quản lý dự án năm của Ban quản lý dự án nhóm I."
555,Mẫu số: 02/QĐ-QLDAMẫu số: 02/QĐ-QLDAMẫu số: 02/QĐ-QLDA,"Quyết định phê duyệt dự toán thu, chi quản lý dự án năm của Ban quản lý dự án nhóm II.Quyết định phê duyệt dự toán thu, chi quản lý dự án năm của Ban quản lý dự án nhóm II.Quyết định phê duyệt dự toán thu, chi quản lý dự án năm của Ban quản lý dự án nhóm II."
666,Mẫu số: 01/QT-QLDAMẫu số: 01/QT-QLDAMẫu số: 01/QT-QLDA,"Báo cáo quyết toán thu, chi quản lý dự án năm của Chủ đầu tư, Ban quản lý dự án nhóm I.Báo cáo quyết toán thu, chi quản lý dự án năm của Chủ đầu tư, Ban quản lý dự án nhóm I.Báo cáo quyết toán thu, chi quản lý dự án năm của Chủ đầu tư, Ban quản lý dự án nhóm I."
777,Mẫu số: 01.QĐ/QT-QLDAMẫu số: 01.QĐ/QT-QLDAMẫu số: 01.QĐ/QT-QLDA,"Quyết định phê duyệt quyết toán thu, chi quản lý dự án năm của Chủ đầu tư, Ban quản lý dự án nhóm I.Quyết định phê duyệt quyết toán thu, chi quản lý dự án năm của Chủ đầu tư, Ban quản lý dự án nhóm I.Quyết định phê duyệt quyết toán thu, chi quản lý dự án năm của Chủ đầu tư, Ban quản lý dự án nhóm I."
888,Mẫu số: 02/QT-QLDAMẫu số: 02/QT-QLDAMẫu số: 02/QT-QLDA,"Báo cáo quyết toán thu, chi quản lý dự án năm của Ban quản lý dự án nhóm II.Báo cáo quyết toán thu, chi quản lý dự án năm của Ban quản lý dự án nhóm II.Báo cáo quyết toán thu, chi quản lý dự án năm của Ban quản lý dự án nhóm II."
999,Mẫu số: 02.QĐ/QT-QLDAMẫu số: 02.QĐ/QT-QLDAMẫu số: 02.QĐ/QT-QLDA,"Quyết định phê duyệt quyết toán thu, chi quản lý dự án năm của Ban quản lý dự án nhóm II.Quyết định phê duyệt quyết toán thu, chi quản lý dự án năm của Ban quản lý dự án nhóm II.Quyết định phê duyệt quyết toán thu, chi quản lý dự án năm của Ban quản lý dự án nhóm II."
