Số TTSố TTSố TT,Tên dự án được giao quản lýTên dự án được giao quản lýTên dự án được giao quản lý,Tỷ lệ phân bổ (%)Tỷ lệ phân bổ (%)Tỷ lệ phân bổ (%),Giá trị phân bổ (đồng)Giá trị phân bổ (đồng)Giá trị phân bổ (đồng),Ghi chúGhi chúGhi chú
,Tổng cộngTổng cộngTổng cộng,100100100,,
111,Dự án ...Dự án ...Dự án ...,,,
222,Dự án ...Dự án ...Dự án ...,,,
