Số TT,Họ và tên,Mã số ngạch,Hệ số lương,Hệ số phụ cấp chức vụ,Hệ số phụ cấp khu vực,Hệ số phụ cấp khác,Cộng hệ số,Tiền lương và phụ cấp một tháng (đồng),Số tháng,Tiền lương và phụ cấp cả năm (đồng)
1,2,3,4,5,6,7,8 = 4+5+6+7,9,10,11
I,Người lao động hưởng lương từ dự án,,,,,,,,,
1,,,,,,,,,,
2,,,,,,,,,,
3,........,,,,,,,,,
II,Người lao động hưởng lương hợp đồng QLDA,,,,,,,,,
1,,,,,,,,,,
2,........,,,,,,,,,
III,Tổng cộng (III = I + II),,,,,,,,,
