Số TTSố TTSố TT,Họ và tênHọ và tênHọ và tên,Mã số ngạchMã số ngạchMã số ngạch,Hệ số lươngHệ số lươngHệ số lương,Hệ số phụ cấp chức vụHệ số phụ cấp chức vụHệ số phụ cấp chức vụ,Hệ số phụ cấp khu vựcHệ số phụ cấp khu vựcHệ số phụ cấp khu vực,Hệ số phụ cấp khácHệ số phụ cấp khácHệ số phụ cấp khác,Cộng hệ sốCộng hệ sốCộng hệ số,Tiền lương và phụ cấp một tháng (đồng)Tiền lương và phụ cấp một tháng (đồng)Tiền lương và phụ cấp một tháng (đồng),Số thángSố thángSố tháng,Tiền lương và phụ cấp cả năm (đồng)Tiền lương và phụ cấp cả năm (đồng)Tiền lương và phụ cấp cả năm (đồng)
111,222,333,444,555,666,777,8 = 4+5+6+78 = 4+5+6+78 = 4+5+6+7,999,101010,111111
III,Người lao động hưởng lương từ dự ánNgười lao động hưởng lương từ dự ánNgười lao động hưởng lương từ dự án,,,,,,,,,
111,,,,,,,,,,
222,,,,,,,,,,
333,........................,,,,,,,,,
IIIIII,Người lao động hưởng lương hợp đồng QLDANgười lao động hưởng lương hợp đồng QLDANgười lao động hưởng lương hợp đồng QLDA,,,,,,,,,
111,,,,,,,,,,
222,........................,,,,,,,,,
IIIIIIIII,Tổng cộng (III = I + II)Tổng cộng (III = I + II)Tổng cộng (III = I + II),,,,,,,,,
