Trạm,Tháng,Năm
Trạm,1,2,3,4,5,6,7,8,9,10,11,12,Năm
1. Mường Tè,21,13,10,12,15,34,38,35,30,23,30,22,10
2. Sìn Hồ,18,20,10,19,29,40,39,24,17,15,10
3. Tam Đường,5,10,5,20,34,41,25,19,24,20,19,5
4. Than Uyên,11,16,15,16,22,28,37,31,24,12,14,11
5. Lai Châu,20,15,11,19,20,25,35,43,35,29,31,28,11
6. Tuần Giáo,7,9,13,23,27,39,38,28,22,15,20,7
7. Pha Đin,12,15,10,14,31,12,43,31,26,20,16,10
8. Điện Biên,8,17,20,29,32,45,43,34,24,29,15,8
9. Quỳnh Nhai,13,10,17,23,21,31,39,32,22,21,26,10
10. Sông Mã,12,6,8,11,12,30,38,35,28,23,19,6
11. Cò Nòi,9,6,7,13,21,28,32,33,29,20,17,12,6
12. Yên Châu,6,4,10,14,17,27,37,30,24,22,18,4
13. Bắc Yên,18,16,14,18,26,32,43,45,34,28,25,24,14
14. Phù Yên,14,10,5,7,19,23,36,27,25,26,14,18,5
15. Mộc Châu,13,10,11,17,22,30,43,25,20,26,14,10
16. Sơn La,17,11,1,10,17,37,40,34,35,27,23,22,1
17. Kim Bôi,9,20,17,27,23,30,36,41,24,23,28,22,9
18. Mai Châu,16,18,19,17,21,32,37,35,28,29,14,20,14
19. Chi Nê,17,18,25,29,8,36,38,40,28,22,21,8
20. Lạc Sơn,16,19,18,20,23,34,37,40,30,25,19,16
21. Hoà Bình,13,14,18,23,20,32,38,42,28,29,26,25,13
22. Hoàng Su Phì,13,10,11,14,23,19,34,33,25,21,16,22,10
23. Bắc Mê,11,14,10,14,17,23,35,26,17,19,12,10
24. Bắc Quang,14,24,15,28,26,28,37,32,11,20,23,11
25. Hà Giang,13,24,18,6,20,27,38,34,14,19,17,14,6
26. Phố Ràng,29,26,19,24,33,30,40,39,41,34,28,21,19
27. Bắc Hà,14,19,18,17,28,33,35,34,23,28,20,14
28. Sa Pa,7,13,7,12,30,28,43,30,25,21,17,11,7
29. Mù Căng Chải,6,7,10,15,22,20,37,28,21,18,20,17,6
30. Văn Chấn,16,22,16,21,18,32,37,29,21,28,23,16
31. Lục Yên,23,24,17,20,27,36,39,40,28,30,27,21,17
32. Yên Bái,22,32,25,31,29,37,36,41,34,33,24,27,22
33. Hàm Yên,18,24,20,25,31,39,35,42,30,27,23,15
34. Tuyên Quang,18,31,28,32,37,39,42,30,28,24,23,18
35. Chiêm Hóa,19,23,25,27,30,39,30,25,23,19
36. Chợ Rã,15,10,18,24,23,18,40,39,29,26,22,16,10
37. Ngân Sơn,12,23,18,27,26,19,35,32,23,22,14,12
38. Bắc Kạn,17,23,21,27,25,22,36,35,24,25,21,18,17
39. Định Hoá,14,20,19,28,26,27,40,30,25,21,11
40. Thái Nguyên,17,23,20,24,33,36,38,24,22,19,17
41. Minh Đài,18,14,9,20,18,27,35,28,26,18,20,18,9
42. Phú Hộ,18,20,15,34,27,34,35,26,25,19,24,15
43. Việt Trì,21,27,24,33,16,28,34,40,24,28,25,23,16
44. Tam Đảo,14,24,17,26,33,31,33,40,22,26,6,20,6
45. Vĩnh Yên,17,25,32,22,33,38,40,25,27,19,21,19
46. Bảo Lạc,12,15,16,11,17,19,31,23,21,23,21,11
47. Nguyên Bình,15,20,18,22,25,24,38,33,20,17,19,14
48. Trùng Khánh,8,12,16,19,20,25,36,26,14,18,10,7
49. Cao Bằng,11,15,11,24,18,36,32,23,17,19,11
50. Bắc Sơn,8,14,22,20,25,24,41,38,21,20,14,13,8
51. Hữu Lũng,12,21,22,21,28,36,42,20,16,12
52. Đình Lập,4,11,3,14,19,9,34,30,9,14,10,4,3
53. Thất Khê,8,11,14,20,25,20,35,30,25,20,13,17,8
54. Lạng Sơn,10,19,17,24,31,17,35,34,26,15,16,9
55. Lục Ngạn,4,25,19,22,23,26,35,30,20,27,15,7,4
56. Sơn Động,11,16,14,21,18,12,25,13,16,13,6,10,6
57. Bắc Giang,7,25,28,34,28,31,40,39,19,23,16,7
58. Hiệp Hòa,5,25,27,41,37,44,45,28,23,25,22,5
59. Uông Bí,21,27,31,23,17,34,30,21,16,13
60. Cô Tô,20,26,33,40,38,35,47,46,34,25,23,25,20
61. Bãi Cháy,25,20,34,25,33,45,43,48,34,29,31,16
62. Cửa Ông,14,24,26,31,34,37,41,45,34,20,26,19,14
63. Tiên Yên,9,23,15,29,34,30,40,36,29,17,19,18,9
64. Móng Cái,12,19,22,30,28,33,44,39,28,13,15,8
65. Quảng Hà,26,45,56,48,53,50,59,53,38,42,28,26
66. Phù Liễn,22,30,28,19,30,40,44,50,30,29,25,23,19
67. Hòn Dấu,26,34,29,41,40,41,47,48,36,27,25,23
68. Bạch Long Vĩ,21,39,35,42,45,46,52,47,38,33,30
69. Ba Vì,18,25,27,33,32,31,38,39,31,29,22,19,18
70. Hà Đông,17,25,33,34,35,40,36,17,28,19,17
71. Sơn Tây,17,28,24,26,33,39,43,32,30,24,17
72. Hà Nội,17,18,23,34,33,34,36,41,28,24,17,20,17
73. Chí Linh,19,18,17,38,30,37,43,27,23,21,20,17
74. Hải Dương,21,30,26,37,38,39,43,46,34,25,23,22,21
75. Hưng Yên,18,24,27,38,37,40,41,40,26,19,25,18
76. Nam Định,25,21,36,37,32,46,39,25,27,21
77. Văn Lý,22,31,28,30,35,40,37,45,30,16,29,24,16
78. Thái Bình,16,27,31,34,36,34,38,46,36,33,23,16
79. Hà Nam,19,11,26,31,36,37,42,32,30,27,25,11
80. Ninh Bình,18,26,28,37,32,35,28,42,38,28,32,28,18
81. Nho Quan,16,22,20,19,26,36,34,41,36,25,26,22,16
82. Yên Định,17,29,23,41,33,37,41,48,36,28,21,16
83. Bái Thượng,21,15,22,38,23,37,36,45,39,26,24,17,15
84. Như Xuân,17,30,21,29,26,19,30,38,31,29,16,18,16
85. Tĩnh Gia,20,27,22,32,34,30,37,30,29,21,20
86. Thanh Hoá,20,5,23,22,31,35,40,46,33,27,23,24,5
87. Hồi Xuân,6,14,10,14,20,16,27,30,16,15,22,6
88. Quỳ Châu,20,17,18,20,26,13,32,37,19,24,13
89. Quỳ Hợp,16,20,21,29,26,32,30,31,26,23,17,16
90. Tây Hiếu,10,19,17,13,28,33,34,30,32,21,11,10
91. Quỳnh Lưu,27,35,23,34,30,35,40,42,38,28,26,20
92. Con Cuông,19,23,14,16,24,30,34,35,37,34,29,17,14
