Trạm,Cấp lượng mưa (mm),Tháng 1,Tháng 2,Tháng 3,Tháng 4,Tháng 5,Tháng 6,Tháng 7,Tháng 8,Tháng 9,Tháng 10,Tháng 11,Tháng 12
50. Hữu Lũng,Không mưa,"24,7","20,4","19,2","18,8","18,6","15,8","15,5","14,6","18,4","23,2","24,6","27,1"
50. Hữu Lũng,"0,2-5","5,1","6,6","9,8","7,1",6,"5,8","5,9","6,7",5,"3,9","3,5",3
50. Hữu Lũng,"5,1-10","0,5","0,6","0,8",1,"1,6","1,9","2,3","2,5","1,9","1,4","0,8","0,4"
50. Hữu Lũng,"10,1-20","0,5","0,4","0,7","1,2","1,8","2,6","2,9","2,8","2,2",1,"0,6","0,3"
50. Hữu Lũng,"20,1-50","0,1","0,2","0,4","1,5","2,1","2,9","3,1","2,1","1,2","0,3","0,2",
50. Hữu Lũng,"50,1-100","0,1",0,"0,1","0,4","0,8",1,"1,1","0,4","0,3","0,1",0,
50. Hữu Lũng,"100,1-150",0,"0,1","0,2","0,1",0,,,,,,,
50. Hữu Lũng,"≥ 150,1",0,"0,1",0,,,,,,,,,
51. Đình Lập,Không mưa,"24,6","20,9","20,7","19,8",18,"15,6","15,1","13,4","17,4","23,5","24,8","27,1"
51. Đình Lập,"0,2-5","5,2",6,"8,3","6,5","6,4",6,"6,5","5,8","4,3","3,5",3,
51. Đình Lập,"5,1-10","0,5","0,6","0,9","1,8","2,5","2,3","3,5","1,8","1,1","0,6","0,4",
51. Đình Lập,"10,1-20","0,6","0,5","0,6","1,3","2,2","2,3","2,9","3,2","2,2","0,9","0,7","0,4"
51. Đình Lập,"20,1-50","0,1","0,2","0,4","1,2","1,8","2,7","3,2","1,8","0,9","0,2",,
51. Đình Lập,"50,1-100","0,1",0,"0,1","0,3","0,7","0,9","1,1","0,9","0,7","0,3","0,1",0
51. Đình Lập,"100,1-150",0,"0,1","0,2","0,1","0,2",0,,,,,,
51. Đình Lập,"≥ 150,1",0,"0,2","0,1",0,,,,,,,,
52. Thất Khê,Không mưa,"21,3","17,3","18,6","17,8","18,1",15,"15,4","18,8","22,7","23,4","24,7",
52. Thất Khê,"0,2-5",8,"9,4","9,8","7,9","5,9","6,2","6,3","5,8","5,1","4,8","4,2","5,1"
52. Thất Khê,"5,1-10","0,9","1,1","1,3","1,9","2,4","2,7","2,4",2,1,"0,5",,
52. Thất Khê,"10,1-20","0,5","0,4","0,9","1,4",2,"2,7","3,1","1,9","1,3","0,8","0,4",
52. Thất Khê,"20,1-50","0,2","0,3","0,6","1,4","2,3","2,6",3,"3,1","1,6",1,"0,4","0,3"
52. Thất Khê,"50,1-100",0,"0,2","0,8","0,9","0,4","0,2","0,1",0,,,,
52. Thất Khê,"100,1-150",0,"0,1","0,2","0,1",0,,,,,,,
52. Thất Khê,"≥ 150,1",0,"0,1",0,,,,,,,,,
53. Lạng Sơn,Không mưa,"23,1","19,4","19,3","18,3","17,9","15,2","15,4","14,6","18,2","22,7",24,26
53. Lạng Sơn,"0,2-5","6,4","7,3","9,7","7,8","6,7",7,"5,9","4,7","4,1","3,8",,
53. Lạng Sơn,"5,1-10","0,6","0,7","0,8",1,"1,9","2,6",3,"1,8","1,4","0,8","0,5",
53. Lạng Sơn,"10,1-20","0,5","0,7","1,4",2,"2,6","2,7",2,1,"0,8","0,4",,
53. Lạng Sơn,"20,1-50","0,3","0,4","1,3","1,8",2,"2,5","2,9","1,6","0,9","0,3","0,2",
53. Lạng Sơn,"50,1-100","0,1",0,"0,1","0,2","0,6","0,7","0,9","0,8","0,4","0,2","0,1",0
53. Lạng Sơn,"100,1-150",0,"0,1",0,,,,,,,,,
53. Lạng Sơn,"≥ 150,1",0,"0,1",0,,,,,,,,,
54. Lục Ngạn,Không mưa,"24,3","20,4","20,8","19,6","18,1","15,6","14,3","17,7","22,5","24,3","27,2",
54. Lục Ngạn,"0,2-5","5,6","6,7","8,2","6,5","6,3","6,4","6,3","7,5","5,9","4,8","3,9","2,9"
54. Lục Ngạn,"5,1-10","0,5","0,8","1,1","1,8","1,9","2,3","2,6","1,7","1,2","0,9","0,3",
54. Lục Ngạn,"10,1-20","0,4","0,5","0,7","1,1","1,9","2,5","2,7","2,1","1,3","0,4","0,3",
54. Lục Ngạn,"20,1-50","0,2","0,3","1,3","2,2","2,7","3,1","2,8","2,1","0,8","0,4","0,3",
54. Lục Ngạn,"50,1-100",0,"0,1","0,4","0,6","0,7","0,8","0,3","0,4","0,1",0,,
54. Lục Ngạn,"100,1-150",0,"0,1","0,2","0,1",0,,,,,,,
54. Lục Ngạn,"≥ 150,1",0,"0,1",0,,,,,,,,,
55. Sơn Động,Không mưa,"24,4","20,7","21,3","20,4","18,7","14,4","14,8","12,9","16,9","22,3",24,"26,4"
55. Sơn Động,"0,2-5","5,4","6,5",8,6,"5,7","7,1","6,5","7,4","6,1","4,9","4,2","3,6"
55. Sơn Động,"5,1-10","0,6","0,5","0,8","1,9","2,3","2,4","3,1","2,2","1,1","0,9","0,5",
55. Sơn Động,"10,1-20","0,4","0,3","0,5","1,3","1,8","2,7","2,6","3,1","2,1","1,3","0,5","0,3"
55. Sơn Động,"20,1-50","0,1","0,2","0,3","1,1","2,1","2,4","3,2",3,"1,9","1,1","0,3","0,2"
55. Sơn Động,"50,1-100",0,"0,4","0,7","0,9",1,"1,1","0,5","0,2","0,1",0,,
55. Sơn Động,"100,1-150",0,"0,1","0,2","0,3","0,2","0,1",0,"0,1",0,,,
55. Sơn Động,"≥ 150,1",0,"0,1",0,"0,2","0,1",0,,,,,,
56. Bắc Giang,Không mưa,"23,9","18,9","17,3","17,8","17,7","15,9","14,9","18,7","22,6","24,4","26,8",
56. Bắc Giang,"0,2-5",6,"8,2","11,4","8,6","6,7","6,4","5,9","6,7","4,7","4,4","3,7","3,3"
56. Bắc Giang,"5,1-10","0,6","0,7","1,2","0,9","1,5","1,9","2,1","2,2","1,8","1,1",1,"0,4"
56. Bắc Giang,"10,1-20","0,3","0,6","1,1",2,"2,3","2,4","2,6","1,9","1,2","0,5","0,2",
56. Bắc Giang,"20,1-50","0,2","0,4","1,2","2,1","2,5",3,"3,1","2,1","1,3","0,4","0,3",
56. Bắc Giang,"50,1-100",0,"0,1","0,4","0,7","1,2",1,"1,3","0,6","0,4","0,1",0,
56. Bắc Giang,"100,1-150",0,"0,2","0,1",0,,,,,,,,
56. Bắc Giang,"≥ 150,1",0,"0,1",0,,,,,,,,,
57. Hiệp Hòa,Không mưa,"23,2","19,1","17,6","17,4","15,9","14,9","18,8","22,4",24,"26,4",,
57. Hiệp Hòa,"0,2-5","6,8",8,"11,4","9,3","7,1","6,8",7,5,"4,5",4,"3,7",
57. Hiệp Hòa,"5,1-10","0,6","0,8","0,9",1,"1,9","1,6","2,5","1,5","1,3","0,8","0,3",
57. Hiệp Hòa,"10,1-20","0,3","0,2","0,5","1,1","1,8","1,9","2,5","2,4","1,9","1,1","0,7","0,3"
57. Hiệp Hòa,"20,1-50","0,1","0,2","0,6",1,"2,1","2,7",3,"1,8","1,3","0,5","0,3",
57. Hiệp Hòa,"50,1-100",0,"0,3","0,7",1,"0,9","0,7","0,4","0,1",0,,,
57. Hiệp Hòa,"100,1-150",0,"0,1","0,3","0,1",0,,,,,,,
57. Hiệp Hòa,"≥ 150,1",0,"0,1",0,,,,,,,,,
58. Uông Bí,Không mưa,"25,4","19,3","18,8","19,1","18,3","14,9","14,6","12,5","16,6","23,3","25,3","27,1"
58. Uông Bí,"0,2-5","4,5","7,9","10,5","7,5",6,"6,1","6,2","7,3","5,6","3,8","3,2","2,8"
58. Uông Bí,"5,1-10","0,5","0,7","1,1","1,5","2,2","2,4","2,8","1,9","1,5","0,6",,
58. Uông Bí,"10,1-20","0,3","0,4","0,6",1,2,"2,5","2,8","3,2","2,5","1,2","0,5","0,3"
58. Uông Bí,"20,1-50","0,2","0,1","0,4",1,"2,1","2,9","3,5","3,4","2,3",1,"0,2","0,1"
58. Uông Bí,"50,1-100","0,1",0,"0,1","0,3","0,9","1,2","1,3","0,9","0,2","0,1",0,
58. Uông Bí,"100,1-150",0,"0,1","0,2","0,4","0,2","0,1",0,,,,,
58. Uông Bí,"≥ 150,1",0,"0,1",0,,,,,,,,,
59. Cô Tô,Không mưa,"24,5","19,5","20,9","20,5","21,3","18,7","18,6","14,8","16,9","22,5","24,2",26
59. Cô Tô,"0,2-5","5,5","7,4","8,6","6,5",5,"4,5","5,7","4,8","4,3","3,8","3,6",
59. Cô Tô,"5,1-10","0,6","0,9","0,4","0,8","1,2","1,3","1,9","2,3","1,8","1,4","0,7","0,6"
59. Cô Tô,"10,1-20","0,1","0,3","0,6",1,"1,2",2,"1,9","2,5",2,"1,2","0,4",
59. Cô Tô,"20,1-50","0,3","0,2","0,5","0,9","1,4","2,3","2,4","3,4","2,6","1,2","0,6","0,4"
59. Cô Tô,"50,1-100",0,"0,3","0,6","0,9","1,1","1,7","1,4","0,4","0,2","0,1",,
59. Cô Tô,"100,1-150",0,"0,2","0,5","0,4","0,1",0,,,,,,
59. Cô Tô,"≥ 150,1",0,"0,1","0,2",0,,,,,,,,
60. Bãi Cháy,Không mưa,"24,4","18,9","18,3","19,6","19,7","14,9","15,2","12,7","16,5","22,5","24,7","26,6"
60. Bãi Cháy,"0,2-5","5,4","8,7",11,"7,2","5,8","6,1","6,2","6,6","5,1","4,4","3,7","3,5"
60. Bãi Cháy,"5,1-10","0,6","0,8","0,9","1,2","1,9","2,4","2,7","2,2",1,"0,6","0,4",
60. Bãi Cháy,"10,1-20","0,3","0,5","0,8","1,5","2,4","2,3","2,7","2,1","1,1","0,4","0,2",
60. Bãi Cháy,"20,1-50","0,2","0,1","0,4","1,1","1,8","3,1",3,"3,7","2,6","1,3","0,4","0,2"
60. Bãi Cháy,"50,1-100",0,"0,1","0,3","0,7","1,2","1,4","1,8","1,1","0,5",0,,
60. Bãi Cháy,"100,1-150",0,"0,2","0,4","0,5","0,1",0,,,,,,
60. Bãi Cháy,"≥ 150,1",0,"0,1","0,2","0,3","0,2","0,1",0,,,,,
61. Cửa Ông,Không mưa,"23,6","17,5","17,1",19,"19,4","15,5",15,13,"16,8","22,2","24,4","26,3"
61. Cửa Ông,"0,2-5",6,"9,2","11,9","7,5","5,6","5,5","6,1","5,8","4,5","4,2","3,4","3,8"
61. Cửa Ông,"5,1-10","0,6","0,9",1,"0,9","1,5","1,9","2,2","2,7","1,7","0,9","0,8","0,4"
61. Cửa Ông,"10,1-20","0,5","0,4","0,5",1,"1,5","2,1","2,3",3,"1,9","1,1","0,7","0,4"
61. Cửa Ông,"20,1-50","0,2","0,5","1,1","1,7","3,3","2,9","3,4","2,9","1,6","0,4","0,2",
61. Cửa Ông,"50,1-100","0,1",0,"0,1","0,3","0,9","1,2","1,7","1,9","1,4","0,7","0,2",0
61. Cửa Ông,"100,1-150",0,"0,1","0,3","0,5","0,7","0,5","0,1",0,,,,
61. Cửa Ông,"≥ 150,1",0,"0,1","0,2","0,3","0,5","0,2","0,1",0,,,,
62. Tiên Yên,Không mưa,"22,5","16,4",16,"16,2","16,9","12,5","12,4","12,9","17,2","22,3","23,7","24,9"
62. Tiên Yên,"0,2-5","6,8","10,1","12,1","9,5","6,5","6,9","6,6","6,7","5,2","4,2","3,9","4,6"
62. Tiên Yên,"5,1-10","0,8",1,"1,6","1,4","1,9","2,6","2,3","2,6","1,6","1,2","1,1","0,7"
62. Tiên Yên,"10,1-20","0,6","0,5","0,7","1,3","2,2","2,8","3,3",2,"1,4","0,7","0,4",
62. Tiên Yên,"20,1-50","0,3","0,1","0,5","1,3","2,2","3,4","3,7",3,"2,4","1,3","0,6","0,3"
62. Tiên Yên,"50,1-100",0,"0,1","0,3",1,"1,4","1,7","0,9","0,4",0,,,
62. Tiên Yên,"100,1-150",0,"0,2","0,3","0,6","0,3","0,1",0,,,,,
62. Tiên Yên,"≥ 150,1",0,"0,1","0,2","0,3","0,2","0,4","0,1",0,,,,
63. Quảng Hà,Không mưa,"20,9","15,1","16,3","17,7","16,6","12,2","10,8","14,1","18,2","22,9","23,3","24,9"
63. Quảng Hà,"0,2-5",8,"10,3","11,2","7,9","6,8","6,3",6,"5,5","4,1","3,8","4,3",
63. Quảng Hà,"5,1-10","0,7","1,4","1,7","1,5","1,6","2,3",3,"2,5","1,4","0,9","1,2","0,9"
63. Quảng Hà,"10,1-20","0,8",1,"1,4","1,9","2,7","3,1","2,1","1,9","1,1","0,7","0,5",
63. Quảng Hà,"20,1-50","0,4","0,7",1,"2,4","3,9","4,5","3,9","2,5","1,1","0,6","0,3",
63. Quảng Hà,"50,1-100","0,1","0,3","1,3","2,1","2,3","2,1","1,2","0,7","0,2","0,1",,
63. Quảng Hà,"100,1-150",0,"0,1","0,2","0,4","0,7","0,5","0,1",0,,,,
63. Quảng Hà,"≥ 150,1",0,"0,1","0,3","0,6","0,4","0,2",0,,,,,
64. Phủ Liễn,Không mưa,"23,6","15,9","15,2","18,2","19,3","16,3","17,4","13,9","16,9","21,9","24,2","26,1"
64. Phủ Liễn,"0,2-5","6,2","11,2","13,5","8,3","5,9","5,7",6,"6,7","5,6","4,6","3,8",
64. Phủ Liễn,"5,1-10","0,7","0,8","1,3","1,2","1,6",2,"1,8","2,4","1,9","1,4","0,9","0,6"
64. Phủ Liễn,"10,1-20","0,2","0,3","0,5",1,"1,4","2,1","2,7","1,5","1,1","0,6","0,3",
64. Phủ Liễn,"20,1-50","0,2","0,1","0,4","0,8","1,8","2,8","2,4","3,4","2,6","1,4","0,4","0,2"
64. Phủ Liễn,"50,1-100",0,"0,3","0,8",1,"1,1","1,4","1,3","0,6","0,1",0,,
64. Phủ Liễn,"100,1-150",0,"0,3","0,2","0,3","0,1",0,,,,,,
64. Phủ Liễn,"≥ 150,1",0,"0,1",0,"0,1","0,2","0,1",0,,,,,
65. Hòn Dấu,Không mưa,"25,4","19,6","21,3","21,5","19,1","19,8","15,6","17,4","22,7","25,3","27,2",
65. Hòn Dấu,"0,2-5","4,7","7,6","9,7","6,2","4,5","4,4","4,5","5,4","4,2","3,9","3,1","2,8"
65. Hòn Dấu,"5,1-10","0,4","0,7","0,9","0,8","1,5","1,9","2,6","1,6","1,1","0,6",,
65. Hòn Dấu,"10,1-20","0,2","0,3","0,5","0,6","1,4","1,7","1,6","2,3","2,2","1,4","0,4","0,2"
65. Hòn Dấu,"20,1-50","0,2","0,1","0,3","0,8","1,3","2,2","2,3","3,3","2,6","1,1","0,4","0,2"
65. Hòn Dấu,"50,1-100",0,"0,1","0,2","0,6","0,9","0,6","1,3","1,4","0,5","0,1",0,
65. Hòn Dấu,"100,1-150",0,"0,2","0,1","0,4","0,2",0,,,,,,
65. Hòn Dấu,"≥ 150,1",0,"0,1",0,,,,,,,,,
66. Bạch Long Vĩ,Không mưa,"24,8","20,8",23,"23,7","24,4","22,3",24,"19,1","18,1","23,2","24,8","26,3"
66. Bạch Long Vĩ,"0,2-5","5,4","6,4","6,6","4,3","3,1","3,3","2,7","4,5",5,"4,2","3,8","3,3"
66. Bạch Long Vĩ,"5,1-10","0,4","0,5","0,7",1,"1,2",1,"1,6","1,7","0,9","0,7",,
66. Bạch Long Vĩ,"10,1-20","0,3","0,4","0,5","0,6","0,9","1,1","1,2","1,9","1,2","0,4",,
66. Bạch Long Vĩ,"20,1-50","0,2","0,4","0,6","1,2","1,3","2,2",2,1,"0,2",,,
66. Bạch Long Vĩ,"50,1-100",0,"0,1","0,4","0,6","1,2","0,9","0,4","0,2",0,,,
66. Bạch Long Vĩ,"100,1-150",0,"0,2","0,1","0,3","0,1",0,,,,,,
66. Bạch Long Vĩ,"≥ 150,1",0,"0,1",0,,,,,,,,,
67. Ba Vì,Không mưa,22,"17,3","16,8","15,9","14,4","14,8","15,8","17,5",21,"23,3","25,8",
67. Ba Vì,"0,2-5","7,7","9,7","11,2","8,7","6,4","6,2","6,5","5,6","4,5","4,2",4,"3,9"
67. Ba Vì,"5,1-10","0,8","0,7","1,1","1,7","1,9","2,2","2,3","2,2","1,9","1,4",1,"0,5"
67. Ba Vì,"10,1-20","0,4","0,3","0,7","1,3","2,4","2,5","2,4","1,9","1,5","0,7","0,4",
67. Ba Vì,"20,1-50","0,1","0,2","0,6","1,2","3,1","3,5","3,4","2,9","1,7","0,8","0,3",
67. Ba Vì,"50,1-100",0,"0,3",1,"1,3","1,1","1,3","0,9","0,1",,,,
67. Ba Vì,"100,1-150",0,"0,2","0,4","0,2",0,,,,,,,
67. Ba Vì,"≥ 150,1",0,"0,1","0,2","0,1",0,,,,,,,
68. Hà Đông,Không mưa,"21,4",17,"16,3","16,4","16,2","15,5",15,"15,3","17,8",21,"24,1","26,5"
68. Hà Đông,"0,2-5","8,4","10,2","12,9",10,"8,2","6,2","6,8","6,4",5,"4,7","3,8","3,6"
68. Hà Đông,"5,1-10","0,6","0,8","1,3","1,9","2,1","2,3",2,"1,9","1,5","0,7","0,4",
68. Hà Đông,"10,1-20","0,4","0,5",1,"1,6","2,6","2,3","2,5",2,"1,6","0,8","0,4",
68. Hà Đông,"20,1-50","0,1","0,4",1,"2,2","2,6","3,2","3,1","2,2","1,6","0,5","0,1",
68. Hà Đông,"50,1-100",0,"0,2","0,8","0,9","1,1","1,3","0,8","0,5","0,1",0,,
68. Hà Đông,"100,1-150",0,"0,1","0,2","0,3","0,1",0,,,,,,
68. Hà Đông,"≥ 150,1",0,"0,1",0,"0,1",0,,,,,,,
69. Sơn Tây,Không mưa,"22,3","18,1","17,9","17,6","15,9","14,9","15,3","15,5","17,6","21,2","23,7","25,9"
69. Sơn Tây,"0,2-5","7,6","9,1","11,3","8,5","7,3","5,9","6,1","5,9","5,1","4,2","3,7","4,2"
69. Sơn Tây,"5,1-10","0,6","0,5","0,8","1,2","2,1","2,2","1,9",2,"1,8","1,4",1,"0,3"
69. Sơn Tây,"10,1-20","0,3","0,2","0,5","1,3","2,1","2,5","2,8","2,6","1,9",1,"0,7","0,3"
69. Sơn Tây,"20,1-50","0,1","0,2","0,4","1,2","2,7","3,1","3,3","3,4","2,4","1,9","0,6","0,2"
69. Sơn Tây,"50,1-100",0,"0,2","0,8","1,1","1,2","1,1","0,5","0,1",0,,,
69. Sơn Tây,"100,1-150",0,"0,1","0,2","0,1","0,3","0,2","0,1",0,,,,
69. Sơn Tây,"≥ 150,1",0,"0,1",0,"0,1",0,,,,,,,
70. Hà Nội,Không mưa,"22,5","17,6","16,7","17,4","17,1","15,9","15,1","17,5","21,9","23,8","26,5",
70. Hà Nội,"0,2-5","7,6","9,5","12,5","8,8","7,3","6,2","6,4","6,2","5,4","4,3","3,9","3,5"
70. Hà Nội,"5,1-10","0,5","0,6","0,9","1,1","1,8","2,3","2,5","1,6","1,1","0,8","0,4",
70. Hà Nội,"10,1-20","0,3","0,5","1,2","1,9","2,8","2,6","1,8","1,4","0,8","0,4",,
70. Hà Nội,"20,1-50","0,2","0,1","0,4","1,1","2,1","2,8","3,2","2,9","2,5","1,6","0,5","0,2"
70. Hà Nội,"50,1-100",0,"0,1","0,3","0,7","1,1",1,"1,3","0,9","0,5","0,1",0,
70. Hà Nội,"100,1-150",0,"0,2","0,3","0,2","0,1",0,,,,,,
70. Hà Nội,"≥ 150,1",0,"0,1",0,,,,,,,,,
71. Chí Linh,Không mưa,"25,5","19,6","18,4","18,5","18,2","15,9",16,"14,8","17,9","22,7","25,3","27,6"
71. Chí Linh,"0,2-5","4,6","7,6","10,8","8,1","6,3","6,2","6,7","4,8","4,2",3,"2,5",
71. Chí Linh,"5,1-10","0,4","0,6","1,2","1,7","1,5","1,8","2,3","1,7","1,1","0,6","0,3",
71. Chí Linh,"10,1-20","0,3","0,4","0,7","1,1","1,4","2,4","2,8","3,2","2,1","1,4","0,6","0,4"
71. Chí Linh,"20,1-50","0,2","0,3","0,8","2,6","2,9","2,6","2,1","1,2","0,4","0,2",,
71. Chí Linh,"50,1-100",0,"0,1","0,3","0,7","1,1","1,2","0,9","0,4","0,1",0,,
71. Chí Linh,"100,1-150",0,"0,1",0,"0,1","0,3","0,1","0,2","0,1",0,,,
71. Chí Linh,"≥ 150,1",0,"0,1",0,,,,,,,,,
72. Hải Dương,Không mưa,"23,9","17,7","17,1","18,7","18,4","16,4","17,6","15,1","17,5",22,"24,2","26,8"
72. Hải Dương,"0,2-5","6,1","9,5",12,"7,9","6,2","5,5","5,6","6,6",5,"4,3",4,"3,1"
72. Hải Dương,"5,1-10","0,4","0,7","0,9","1,2","1,6","1,8","1,9","2,2","1,9","1,2","0,6",
72. Hải Dương,"10,1-20","0,2","0,3","0,6","0,8",2,"2,2","2,1","2,6","2,2","1,4","0,6","0,3"
72. Hải Dương,"20,1-50","0,2","0,1","0,3","1,2",2,"3,1","2,6","3,2","2,4","1,4","0,4","0,2"
72. Hải Dương,"50,1-100","0,1",0,"0,1","0,2","0,6","0,8",1,"0,9","0,4","0,2",0,
72. Hải Dương,"100,1-150",0,"0,1","0,2","0,1",0,,,,,,,
72. Hải Dương,"≥ 150,1",0,"0,1",0,,,,,,,,,
73. Hưng Yên,Không mưa,"22,9","16,6","16,3","17,9","18,6","16,8","17,8",16,17,"20,7","23,4","26,1"
73. Hưng Yên,"0,2-5",7,"10,8","12,8","8,8","5,9","5,6","5,4","5,3",5,"5,2","3,9","3,7"
73. Hưng Yên,"5,1-10","0,5","0,4","0,9",1,"1,9",2,"2,5",2,"1,3","1,1","0,5",
73. Hưng Yên,"10,1-20","0,3","0,6",1,"1,6","2,3","2,2","2,9","2,1","1,6","0,7","0,4",
73. Hưng Yên,"20,1-50","0,3","0,1","0,4","1,1","2,2","2,4","2,7","2,9","2,4","1,4","0,8","0,3"
73. Hưng Yên,"50,1-100",0,"0,2","0,6","0,8","0,7","1,1","0,6","0,1",0,,,
73. Hưng Yên,"100,1-150",0,"0,1","0,3","0,1",0,,,,,,,
73. Hưng Yên,"≥ 150,1",0,"0,1",0,,,,,,,,,
74. Nam Định,Không mưa,"22,8","16,3","16,1","18,4","19,1","17,7","18,8","15,4","16,4","20,3","23,6","25,6"
74. Nam Định,"0,2-5",7,"10,7","12,7","8,6","5,9","5,8","5,1","5,9","5,1","4,8","3,8","4,1"
74. Nam Định,"5,1-10","0,6","0,8","1,3","0,8","1,6","1,7","1,9","2,1","1,9","1,6","0,9","0,6"
74. Nam Định,"10,1-20","0,3","0,5",1,"1,6","1,9","1,8","2,9","2,2","1,6","0,9","0,4",
74. Nam Định,"20,1-50","0,3","0,1","0,4","0,9",2,"1,9","2,2",3,"2,4","1,6","0,6","0,3"
74. Nam Định,"50,1-100",0,"0,1","0,2","0,6","0,8","0,9","1,3","0,8","0,3",0,,
74. Nam Định,"100,1-150",0,"0,1","0,2","0,1","0,3","0,2",0,,,,,
74. Nam Định,"≥ 150,1",0,"0,1",0,"0,2","0,1","0,2","0,1",0,,,,
75. Văn Lý,Không mưa,"22,8","16,5",17,"20,5","21,1","19,3","20,9","16,3","15,1","18,6","22,6","25,5"
75. Văn Lý,"0,2-5","7,1","10,5","11,9","7,1","5,5","5,4","4,5","5,7",5,"5,7","4,7","4,3"
75. Văn Lý,"5,1-10","0,7","0,9","1,2","0,8","1,2","1,4","1,2","1,8",2,"0,9","0,6",
75. Văn Lý,"10,1-20","0,3","0,6","0,8","0,9","1,5","2,4","2,3","1,5","0,8","0,4",,
75. Văn Lý,"20,1-50","0,2","0,1","0,4","0,7","1,5","1,6","2,8","3,5","1,9","0,9","0,2",
75. Văn Lý,"50,1-100",0,"0,2","0,6","0,7","0,9","1,5","1,6","0,8","0,1",0,,
75. Văn Lý,"100,1-150",0,"0,1","0,2","0,3","0,4","0,3",0,,,,,
75. Văn Lý,"≥ 150,1",0,"0,1","0,3","0,4","0,2","0,1",0,,,,,
76. Thái Bình,Không mưa,"22,5",16,"18,8","19,4","18,2","18,6","15,6","19,7","23,1",25,,
76. Thái Bình,"0,2-5","7,4","11,2","13,1","8,2","5,9","5,4","5,3","5,4","5,6","5,4","4,5","4,7"
76. Thái Bình,"5,1-10","0,6","0,8",1,"1,7","2,4","1,9","1,6",1,"0,5",,,
76. Thái Bình,"10,1-20","0,3","0,2","0,5","0,9","1,4","1,7",2,"2,9","2,1","1,6","0,6","0,4"
76. Thái Bình,"20,1-50","0,2","0,1","0,3","0,7","1,6","2,2",2,"3,1","2,7","1,4","0,6","0,3"
76. Thái Bình,"50,1-100",0,"0,1","0,3","0,9","0,7","0,9","1,2","1,5","0,8","0,2",0,
76. Thái Bình,"100,1-150",0,"0,1","0,2","0,3","0,2","0,1",0,,,,,
76. Thái Bình,"≥ 150,1",0,"0,1","0,2","0,1",0,,,,,,,
77. Hà Nam,Không mưa,22,"15,5","14,7","16,6",17,"15,4","16,3","14,7","15,5","19,8","22,8","24,9"
77. Hà Nam,"0,2-5","7,7","11,5","13,8","9,9","6,7","6,3","6,1","5,9","5,5","4,9","4,4","4,3"
77. Hà Nam,"5,1-10","0,8","1,3","1,9","2,1","2,2","2,5","1,9","1,3",1,"0,9",,
77. Hà Nam,"10,1-20","0,3","0,6",1,"1,9","2,4","2,2","2,8","2,3","1,8","0,8","0,5",
77. Hà Nam,"20,1-50","0,2","0,1","0,4","0,9","2,4","2,5",3,"3,5",3,"2,3","0,7","0,4"
77. Hà Nam,"50,1-100",0,"0,1","0,2","0,9","1,1",1,"1,2","0,6","0,3","0,1",,
77. Hà Nam,"100,1-150",0,"0,1","0,2","0,1","0,2","0,3",0,,,,,
77. Hà Nam,"≥ 150,1",0,"0,1",0,"0,1","0,2","0,1",0,,,,,
78. Ninh Bình,Không mưa,"22,6","16,2","18,9","16,9","18,1","15,4","15,8","19,3",23,"25,5",,
78. Ninh Bình,"0,2-5","7,3",11,"12,3",8,"6,3","5,9","5,6","5,8",5,"5,1","4,2",
78. Ninh Bình,"5,1-10","0,5","0,6","1,4","1,3","1,6","1,9","2,3",2,"1,8","1,1","0,6",
78. Ninh Bình,"10,1-20","0,4","0,2","0,5","0,9","1,5","1,9","1,8","2,4","2,3",2,"0,8","0,4"
78. Ninh Bình,"20,1-50","0,2","0,1","0,4","0,7","1,6","2,3","2,5","3,4","2,9","1,8","0,6","0,3"
78. Ninh Bình,"50,1-100",0,"0,1","0,2","0,9","0,8","1,2","1,5","0,8","0,3","0,1",,
78. Ninh Bình,"100,1-150",0,"0,1","0,2","0,3","0,4","0,2",0,,,,,
78. Ninh Bình,"≥ 150,1",0,"0,1","0,2",0,,,,,,,,
79. Nho Quan,Không mưa,"21,7","16,7","16,8",17,"16,5","15,1","15,9","13,5","15,7","19,7","22,9","25,6"
79. Nho Quan,"0,2-5","8,1","10,6",12,"9,3",7,"6,7","6,5","6,6","5,3","4,9","4,3","4,1"
79. Nho Quan,"5,1-10","0,8","0,6","1,3","1,4","2,1","1,9","2,1","2,4","1,8","1,6","1,1","0,7"
79. Nho Quan,"10,1-20","0,2","0,3","0,5","1,1","1,9","2,5","2,2","3,2","2,3","1,8","0,7","0,4"
79. Nho Quan,"20,1-50","0,2",0,"0,4","0,7","2,4","2,9","2,8","3,6",3,"1,9","0,7","0,2"
79. Nho Quan,"50,1-100",0,"0,1","0,3","0,9","1,1","1,3","0,7","0,2",0,,,
79. Nho Quan,"100,1-150",0,"0,1","0,2","0,4","0,2","0,5","0,2","0,1",0,,,
79. Nho Quan,"≥ 150,1",0,"0,1","0,2","0,1",0,,,,,,,
80. Yên Định,Không mưa,"24,5","19,8","20,2","19,6","17,5","16,8",18,15,"16,1","20,2","23,9",27
80. Yên Định,"0,2-5","5,6","7,8","9,2","7,6","7,2","5,8","5,7","6,7","5,1",5,"4,1","3,1"
80. Yên Định,"5,1-10","0,5","0,3","0,7","1,2","1,9","2,3",2,"2,5",2,"1,8","0,7","0,4"
