Trạm,Suất bảo đảm (%),Tháng 1,Tháng 2,Tháng 3,Tháng 4,Tháng 5,Tháng 6,Tháng 7,Tháng 8,Tháng 9,Tháng 10,Tháng 11,Tháng 12,Năm
37. Ngân Sơn,5,"75,2","77,8","191,3","224,1","411,4","453,8","497,6","510,6","297,5","199,4","172,9","93,8","2392,7"
38. Bắc Kạn,95,"2,0","2,3","8,3","27,2","68,3","113,6","143,7","119,8","57,9","3,0","0,5","0,8","1143,4"
38. Bắc Kạn,90,"2,3","3,5","11,3","35,8","83,9","134,4","166,8","133,7","70,2","8,3","1,0","1,6","1239,2"
38. Bắc Kạn,80,"4,3","6,5","17,2","47,9","109,4","155,8","199,5","179,0","78,8","21,8","5,7","2,5","1303,6"
38. Bắc Kạn,70,"8,6","11,9","20,2","67,9","137,6","185,4","228,9","200,7","105,1","29,9","9,9","3,2","1338,3"
38. Bắc Kạn,60,"12,1","14,0","27,7","79,5","157,3","217,2","263,2","226,2","122,5","40,8","21,0","4,8","1413,8"
38. Bắc Kạn,50,"18,3","16,6","30,4","89,9","170,7","237,9","276,3","275,3","139,5","68,9","26,2","8,2","1448,9"
38. Bắc Kạn,40,"22,9","21,0","47,4","102,1","198,8","269,8","310,7","295,4","151,3","81,9","42,9","21,3","1492,5"
38. Bắc Kạn,30,"35,2","36,7","65,7","133,2","214,1","302,6","330,0","332,4","177,4","106,5","51,0","28,2","1607,9"
38. Bắc Kạn,20,"40,4","43,3","76,9","155,7","227,9","346,9","358,3","356,6","203,9","129,8","65,9","38,6","1697,8"
38. Bắc Kạn,10,"50,9","59,4","105,9","179,5","307,8","375,2","431,7","415,0","237,8","158,7","107,6","52,1","1844,1"
38. Bắc Kạn,5,"55,3","71,2","128,0","202,1","337,1","442,1","468,5","449,5","247,2","163,3","120,4","64,5","1927,8"
39. Định Hoá,95,"2,0","3,3","19,5","38,0","86,5","121,0","136,8","94,6","67,0","9,8","1,5","0,4","1183,1"
39. Định Hoá,90,"3,2","6,3","21,7","44,1","103,5","123,8","153,0","134,0","79,5","21,5","2,1","0,9","1228,5"
39. Định Hoá,80,"7,4","9,5","28,1","56,7","114,5","159,2","185,3","186,1","104,2","33,4","5,3","2,1","1390,9"
39. Định Hoá,70,"9,7","13,2","31,8","67,4","150,4","184,2","229,6","239,5","123,9","42,6","8,8","4,7","1505,2"
39. Định Hoá,60,"13,7","16,5","38,5","82,9","166,5","214,7","269,1","272,4","140,0","62,2","12,4","6,5","1542,0"
39. Định Hoá,50,"18,1","20,1","44,1","95,3","176,3","239,6","313,7","285,9","153,5","88,3","25,1","8,7","1616,2"
39. Định Hoá,40,"22,5","23,7","52,8","102,1","217,6","284,6","336,2","296,7","179,0","117,5","38,4","19,2","1684,4"
39. Định Hoá,30,"28,8","35,4","64,1","118,1","250,4","306,9","377,2","346,5","207,1","126,2","56,1","24,2","1827,0"
39. Định Hoá,20,"35,6","47,9","89,6","145,7","278,7","334,9","440,9","409,7","251,0","134,7","62,9","33,9","1914,3"
39. Định Hoá,10,"53,0","61,0","103,7","163,6","363,0","428,5","487,5","525,5","285,9","183,2","105,0","50,9","2064,2"
39. Định Hoá,5,"66,2","75,4","130,7","187,6","410,4","450,3","649,5","600,1","344,6","251,0","121,7","60,4","2196,9"
40. Thái Nguyên,95,"2,7","6,5","18,4","30,8","94,0","132,1","176,8","119,1","83,7","8,8","2,4","0,4","1390,0"
40. Thái Nguyên,90,"4,4","10,0","20,5","32,5","121,5","142,5","206,6","173,1","100,8","30,6","5,2","0,8","1493,6"
40. Thái Nguyên,80,"7,7","13,4","27,3","46,0","150,5","185,0","240,0","201,0","137,3","51,6","8,6","4,4","1660,0"
40. Thái Nguyên,70,"11,0","16,1","33,8","65,1","179,5","222,6","279,1","238,2","160,2","66,1","13,7","5,8","1747,0"
40. Thái Nguyên,60,"13,9","18,7","41,6","90,2","198,0","233,5","332,6","282,4","185,6","83,1","23,6","8,4","1804,7"
40. Thái Nguyên,50,"18,2","23,1","53,0","103,7","226,0","241,7","389,3","322,7","215,9","116,3","32,5","13,1","1886,8"
40. Thái Nguyên,40,"23,8","30,2","59,7","125,1","245,0","303,6","442,0","365,3","239,0","132,8","44,8","21,2","2040,4"
40. Thái Nguyên,30,"31,0","38,8","74,4","135,6","268,4","344,7","484,2","398,0","275,6","158,1","59,2","32,1","2129,0"
40. Thái Nguyên,20,"47,2","46,5","86,5","151,4","311,7","468,1","529,4","443,2","314,0","187,1","89,1","42,5","2199,3"
40. Thái Nguyên,10,"61,7","57,3","93,4","175,7","381,8","510,4","615,6","566,7","377,1","234,3","111,8","63,2","2327,8"
40. Thái Nguyên,5,"82,4","71,2","125,0","219,7","440,4","590,6","648,0","618,4","405,6","288,1","185,6","75,1","2625,5"
41. Minh Đài,95,"8,5","9,1","17,5","29,3","105,2","81,5","101,1","96,4","59,3","19,4","1,8","4,2","1251,2"
41. Minh Đài,90,"12,5","16,2","20,6","34,7","121,8","112,1","127,2","124,0","89,9","37,7","5,6","5,0","1362,5"
41. Minh Đài,80,"16,8","18,1","27,7","56,9","163,4","134,3","170,8","212,6","154,3","59,8","12,0","6,6","1513,6"
41. Minh Đài,70,"20,4","21,6","34,2","65,7","176,1","176,5","223,4","242,1","171,9","78,2","19,4","11,4","1556,3"
41. Minh Đài,60,"21,6","23,9","38,1","77,3","191,7","209,8","260,1","269,2","179,9","91,8","31,4","13,3","1615,7"
41. Minh Đài,50,"28,1","29,6","43,7","86,0","216,9","239,8","287,1","307,2","195,6","112,7","44,5","19,8","1683,9"
41. Minh Đài,40,"32,9","34,6","49,3","109,2","239,8","249,9","302,9","339,6","230,2","137,6","55,9","22,8","1751,5"
41. Minh Đài,30,"45,5","38,0","64,4","133,2","256,6","272,2","333,3","382,6","253,5","161,1","75,2","29,0","1809,1"
41. Minh Đài,20,"51,3","47,0","81,4","140,9","264,1","308,2","356,4","419,6","302,4","252,2","87,0","39,5","1966,9"
41. Minh Đài,10,"69,2","68,4","106,4","175,5","294,2","361,2","385,0","483,9","416,1","334,2","107,6","64,9","2155,2"
41. Minh Đài,5,"87,9","85,7","126,4","194,5","310,0","445,8","404,5","535,6","505,3","351,7","124,0","70,6","2241,9"
42. Phú Hộ,95,"6,5","11,8","16,9","32,0","94,4","101,1","102,9","90,4","73,5","10,8","6,4","2,8","1178,2"
42. Phú Hộ,90,"12,4","13,5","20,3","38,9","104,9","116,4","124,6","121,7","89,9","28,6","8,9","3,6","1230,9"
42. Phú Hộ,80,"16,2","18,5","28,4","58,4","135,4","149,7","159,9","160,8","112,5","45,2","13,2","5,3","1371,9"
42. Phú Hộ,70,"19,1","21,6","32,4","72,4","158,9","174,3","198,6","219,7","134,9","57,9","23,4","5,6","1485,7"
42. Phú Hộ,60,"24,3","26,1","36,7","88,8","172,5","201,0","216,6","262,6","152,6","96,6","35,4","15,0","1597,0"
42. Phú Hộ,50,"27,7","32,2","43,1","92,0","184,6","226,5","231,1","299,9","176,2","131,6","46,1","18,1","1640,3"
42. Phú Hộ,40,"32,0","35,1","55,8","117,8","199,9","282,3","265,4","326,0","216,4","153,5","63,0","29,5","1673,5"
42. Phú Hộ,30,"42,6","39,8","60,2","128,0","240,5","313,3","299,7","354,1","240,6","177,9","68,4","35,7","1781,0"
42. Phú Hộ,20,"54,1","50,9","80,4","153,3","279,4","328,6","356,1","397,1","280,5","219,1","83,6","41,1","1877,5"
42. Phú Hộ,10,"77,8","55,9","106,4","187,9","355,8","359,0","383,5","459,6","344,0","293,1","132,0","58,1","2017,3"
42. Phú Hộ,5,"89,9","67,4","129,4","206,6","414,8","390,5","455,4","475,4","381,4","310,9","175,5","76,4","2292,5"
43. Việt Trì,95,"7,2","8,2","11,6","29,7","59,3","114,0","123,7","91,0","54,9","12,8","2,6","1,0","1155,5"
43. Việt Trì,90,"10,9","9,1","14,2","36,6","85,5","135,5","136,6","117,2","69,3","27,8","4,6","2,1","1204,7"
43. Việt Trì,80,"13,4","13,2","17,4","45,2","110,1","151,9","169,3","186,5","96,9","51,6","10,4","4,1","1286,6"
43. Việt Trì,70,"15,2","17,8","22,2","54,7","125,9","166,1","184,7","226,9","138,6","71,4","19,2","5,5","1395,4"
43. Việt Trì,60,"17,4","19,8","29,9","72,7","157,4","204,8","215,7","255,8","158,2","94,6","31,6","9,0","1485,3"
43. Việt Trì,50,"21,5","21,6","35,7","81,6","184,4","236,1","234,4","268,9","182,5","116,3","35,2","15,3","1567,8"
43. Việt Trì,40,"25,6","29,4","44,1","93,0","208,6","270,9","264,6","306,5","207,2","147,1","47,7","20,4","1636,9"
43. Việt Trì,30,"28,9","32,3","54,2","127,7","222,5","311,8","314,1","350,4","234,7","177,8","58,6","28,2","1766,2"
43. Việt Trì,20,"43,2","47,3","61,7","140,7","248,9","321,1","346,6","390,5","258,8","203,1","73,5","43,0","1828,2"
43. Việt Trì,10,"59,2","57,8","97,9","167,8","297,0","379,1","399,4","472,4","320,5","241,0","126,5","48,3","1989,8"
43. Việt Trì,5,"86,2","70,9","123,9","186,3","332,0","442,7","460,7","563,6","381,0","308,3","169,2","62,4","2087,9"
44. Tam Đảo,95,"8,2","13,9","22,8","53,2","104,2","167,3","219,3","163,7","119,5","21,4","5,7","3,6","1816,0"
44. Tam Đảo,90,"11,1","16,4","26,6","69,5","121,3","179,2","253,3","187,5","136,9","38,4","17,0","5,3","1917,5"
44. Tam Đảo,80,"17,5","23,1","38,9","83,5","158,7","220,3","279,7","264,8","187,8","84,5","24,7","8,7","2041,9"
44. Tam Đảo,70,"22,6","28,7","52,7","99,0","177,0","257,2","297,4","379,4","237,0","112,6","40,4","14,6","2174,1"
44. Tam Đảo,60,"26,4","33,9","61,3","118,9","203,7","277,3","346,1","407,9","285,3","145,0","57,0","20,9","2298,3"
44. Tam Đảo,50,"30,4","47,6","69,8","133,9","235,8","302,5","409,7","453,9","315,9","170,5","69,2","26,8","2474,0"
44. Tam Đảo,40,"37,1","52,4","80,3","143,0","253,4","333,4","461,6","496,1","342,2","197,7","81,1","35,9","2559,2"
44. Tam Đảo,30,"45,2","64,1","96,8","165,4","271,9","396,8","517,3","566,3","381,5","262,1","99,5","41,6","2632,6"
44. Tam Đảo,20,"54,3","70,1","116,2","189,4","316,4","498,4","559,6","603,2","439,2","334,4","119,1","50,0","2770,4"
44. Tam Đảo,10,"62,2","76,2","150,5","239,0","366,4","620,4","709,8","689,3","519,4","374,7","198,1","71,8","2988,5"
44. Tam Đảo,5,"68,9","82,8","181,4","259,2","387,5","672,5","816,7","747,2","572,8","439,8","244,7","113,4","3058,2"
45. Vĩnh Yên,95,"2,9","5,3","9,4","27,5","68,8","124,5","137,1","88,2","66,9","9,7","3,0","0,3","1148,6"
45. Vĩnh Yên,90,"5,4","6,5","11,3","30,1","80,7","132,3","151,1","139,8","72,5","30,6","5,4","0,9","1184,2"
45. Vĩnh Yên,80,"7,7","9,0","16,4","41,6","100,5","154,2","177,6","194,7","83,0","53,1","9,4","2,9","1308,1"
45. Vĩnh Yên,70,"11,1","10,8","19,5","54,4","121,4","165,1","196,9","223,0","114,6","69,3","22,5","4,7","1404,6"
45. Vĩnh Yên,60,"13,8","12,8","26,7","63,0","129,2","185,5","223,3","261,5","147,3","96,2","26,3","8,0","1465,6"
45. Vĩnh Yên,50,"15,4","16,8","30,9","78,0","148,1","205,2","247,5","294,1","178,4","114,2","34,0","9,7","1559,5"
45. Vĩnh Yên,40,"21,4","23,2","37,6","93,6","173,3","258,6","282,5","330,1","205,6","125,6","45,4","16,4","1631,5"
45. Vĩnh Yên,30,"27,0","29,6","48,2","131,0","219,2","279,0","316,1","350,0","233,5","146,9","55,0","25,9","1676,9"
45. Vĩnh Yên,20,"43,5","33,6","56,1","139,0","249,6","326,7","345,8","413,7","271,9","180,2","90,0","39,5","1761,9"
45. Vĩnh Yên,10,"57,6","41,4","97,6","183,1","297,4","400,7","443,7","459,0","319,8","235,9","112,5","46,1","1995,0"
45. Vĩnh Yên,5,"71,6","54,2","122,0","202,6","313,0","477,0","486,4","565,4","358,1","269,4","166,1","54,8","2155,3"
46. Bảo Lạc,95,"0,6","0,0","0,2","23,0","65,4","115,5","133,3","66,6","46,6","6,0","1,4","0,0","922,7"
46. Bảo Lạc,90,"2,9","0,8","2,1","27,8","88,7","125,3","148,4","93,8","54,9","14,5","3,2","1,2","981,0"
46. Bảo Lạc,80,"6,2","4,1","5,1","36,0","102,4","142,0","165,8","124,6","63,6","30,2","11,6","3,0","1047,6"
46. Bảo Lạc,70,"9,9","7,7","10,3","46,1","117,5","161,5","194,5","149,5","78,2","40,7","19,0","5,2","1120,1"
46. Bảo Lạc,60,"13,9","11,2","14,9","57,6","130,1","183,5","219,0","193,9","85,6","49,9","24,8","9,6","1187,4"
46. Bảo Lạc,50,"18,5","15,5","22,0","67,2","140,7","210,0","233,0","215,9","97,6","67,9","29,3","13,2","1219,8"
46. Bảo Lạc,40,"22,8","20,2","31,9","75,6","159,4","240,7","252,8","226,9","111,8","82,4","36,4","18,5","1291,6"
46. Bảo Lạc,30,"33,1","25,0","52,0","83,9","181,5","259,9","271,1","248,3","128,0","99,1","46,8","26,2","1330,2"
46. Bảo Lạc,20,"40,2","36,9","78,0","96,9","209,0","279,7","293,1","285,8","142,8","115,0","58,2","39,1","1422,9"
46. Bảo Lạc,10,"50,0","63,6","115,0","131,2","247,3","297,1","347,4","327,1","165,9","134,6","113,7","71,1","1500,8"
46. Bảo Lạc,5,"63,2","76,8","171,6","156,1","317,3","347,5","387,1","363,7","177,9","145,0","126,6","86,5","1534,8"
47. Nguyên Bình,95,"7,5","6,6","10,5","24,8","72,0","152,6","176,9","88,1","63,7","5,6","2,0","1,7","1352,8"
47. Nguyên Bình,90,"12,4","8,7","12,9","34,3","93,9","174,6","197,0","123,4","89,3","26,3","4,5","3,2","1485,0"
47. Nguyên Bình,80,"17,0","13,0","14,7","53,5","109,1","222,7","215,7","193,7","121,9","48,7","10,9","10,3","1516,5"
47. Nguyên Bình,70,"23,8","19,2","20,9","64,4","153,1","257,3","232,3","253,0","132,6","72,6","22,9","13,6","1573,3"
47. Nguyên Bình,60,"26,7","26,9","25,6","72,0","197,0","279,6","262,3","289,8","155,4","85,5","35,6","20,9","1683,8"
47. Nguyên Bình,50,"38,1","30,3","37,2","82,1","212,8","297,3","299,1","313,6","188,8","101,4","43,7","25,9","1713,4"
47. Nguyên Bình,40,"45,3","34,9","47,3","95,6","228,9","326,5","334,4","351,8","224,5","121,5","61,3","37,5","1782,7"
47. Nguyên Bình,30,"57,1","49,2","63,8","106,4","241,1","342,0","359,7","369,6","265,5","133,8","79,6","48,5","1881,5"
47. Nguyên Bình,20,"64,4","56,1","84,4","128,4","298,4","357,2","377,7","405,9","295,2","164,3","99,8","65,9","2034,0"
47. Nguyên Bình,10,"80,5","67,1","148,5","161,4","337,1","412,2","454,0","502,5","339,2","181,6","144,4","73,5","2173,3"
47. Nguyên Bình,5,"94,7","97,3","194,7","183,3","364,6","428,1","540,0","508,8","353,0","203,3","153,6","85,1","2239,2"
48. Trùng Khánh,95,"5,2","7,6","9,9","19,2","78,6","122,8","176,9","136,0","43,8","13,0","2,7","0,4","1278,7"
48. Trùng Khánh,90,"6,8","10,1","13,6","36,6","105,0","155,6","187,8","165,6","51,8","15,9","4,7","1,5","1337,0"
48. Trùng Khánh,80,"14,3","17,6","52,8","132,5","202,4","216,0","204,8","82,3","34,4","13,2","5,8","1440,8",
48. Trùng Khánh,70,"18,9","19,6","25,5","63,0","159,3","235,7","231,8","234,4","91,0","54,5","21,2","7,2","1560,7"
48. Trùng Khánh,60,"23,3","25,9","34,9","78,5","181,9","252,1","256,9","254,0","106,1","69,7","36,9","13,5","1601,3"
48. Trùng Khánh,50,"30,5","32,0","43,6","84,7","195,0","271,0","290,8","267,3","127,7","79,6","43,9","26,0","1615,7"
48. Trùng Khánh,40,"45,4","39,7","53,4","96,9","228,2","320,6","310,6","299,7","151,8","100,5","56,0","36,8","1708,8"
48. Trùng Khánh,30,"56,6","44,9","62,8","118,9","249,8","357,5","337,3","333,6","179,2","108,4","68,6","43,6","1765,1"
48. Trùng Khánh,20,"62,5","53,8","93,6","136,6","272,6","386,7","381,6","366,9","232,4","145,3","86,7","55,7","1873,9"
48. Trùng Khánh,10,"69,5","70,7","109,9","156,7","352,9","452,8","472,6","460,4","259,8","177,4","126,2","80,7","2030,1"
48. Trùng Khánh,5,"86,4","88,2","126,3","213,6","396,6","485,0","545,1","506,2","299,6","185,8","144,3","96,5","2169,0"
49. Cao Bằng,95,"2,1","2,7","3,8","14,0","90,6","106,2","119,4","117,9","50,5","7,4","1,9","0,6","969,0"
49. Cao Bằng,90,"3,1","4,1","6,7","26,5","95,7","128,8","141,5","132,9","60,5","16,2","5,8","1,3","1067,0"
49. Cao Bằng,80,"9,0","6,6","10,8","39,3","115,6","166,5","184,4","165,2","81,8","29,5","10,6","1,9","1216,7"
49. Cao Bằng,70,"11,4","9,8","15,9","53,3","140,7","193,8","212,0","193,4","95,5","45,3","14,6","4,5","1253,3"
49. Cao Bằng,60,"14,7","13,7","20,0","62,7","168,0","217,0","226,8","217,9","109,6","60,9","23,4","7,0","1337,9"
49. Cao Bằng,50,"22,3","17,1","29,0","74,4","182,6","233,5","252,5","254,0","119,8","78,7","35,0","11,7","1450,4"
49. Cao Bằng,40,"27,6","24,5","39,6","79,3","192,4","249,7","272,2","287,5","142,6","81,9","42,3","27,0","1489,9"
49. Cao Bằng,30,"34,3","29,1","55,5","98,1","212,5","301,5","302,2","313,2","160,3","97,5","59,2","32,8","1584,9"
49. Cao Bằng,20,"49,0","38,0","79,2","118,6","251,5","319,6","323,9","338,3","206,8","111,2","79,8","41,5","1663,8"
49. Cao Bằng,10,"59,1","62,2","114,2","145,8","309,5","378,9","380,2","360,3","232,9","131,4","111,4","66,0","1776,5"
49. Cao Bằng,5,"68,6","72,0","140,3","183,6","343,8","411,6","426,8","402,8","257,7","167,7","127,5","85,8","1809,1"
50. Bắc Sơn,95,"1,6","6,0","17,9","25,7","78,2","73,7","109,9","90,3","60,9","5,0","1,6","0,0","1092,7"
50. Bắc Sơn,90,"5,4","8,9","22,0","33,1","100,1","92,6","127,7","124,4","67,7","10,2","3,0","0,0","1171,7"
50. Bắc Sơn,80,"12,2","13,4","32,2","38,6","118,6","118,0","172,5","173,5","86,0","19,9","7,5","2,2","1292,1"
50. Bắc Sơn,70,"19,8","17,1","40,6","64,2","128,2","170,7","195,9","200,9","99,5","46,3","13,1","6,2","1388,1"
50. Bắc Sơn,60,"29,4","23,3","44,1","85,8","154,7","187,7","242,1","225,8","121,2","57,1","23,3","9,7","1427,8"
50. Bắc Sơn,50,"36,0","28,0","50,6","101,8","179,6","208,7","264,0","243,4","141,0","69,4","33,0","20,3","1482,2"
50. Bắc Sơn,40,"44,1","33,3","55,9","129,4","206,8","229,9","296,2","291,9","157,2","89,4","46,6","27,5","1603,6"
50. Bắc Sơn,30,"55,6","47,9","69,9","138,6","229,4","251,5","313,2","331,4","180,6","104,7","59,4","35,2","1731,0"
50. Bắc Sơn,20,"68,8","61,4","99,8","178,2","275,2","318,9","354,6","356,2","212,3","119,9","73,8","52,5","1786,2"
50. Bắc Sơn,10,"96,0","81,7","123,8","256,1","327,9","402,5","437,4","422,0","278,7","147,0","107,7","64,3","1913,2"
50. Bắc Sơn,5,"113,1","98,6","167,8","320,6","391,2","446,3","598,8","453,4","351,1","163,7","132,9","80,8","2033,0"
51. Hữu Lũng,95,"0,2","3,0","14,3","23,4","58,0","111,5","98,3","109,6","57,6","7,1","0,4","0,0","1125,5"
51. Hữu Lũng,90,"2,2","4,0","18,8","28,6","73,5","115,1","108,0","125,6","66,7","17,3","1,9","0,3","1174,5"
51. Hữu Lũng,80,"4,9","8,0","23,7","41,1","91,0","128,9","153,8","151,3","94,9","30,4","5,6","1,5","1287,7"
51. Hữu Lũng,70,"8,2","10,4","28,7","60,3","125,5","158,6","187,3","210,4","117,0","47,8","12,2","3,1","1355,1"
51. Hữu Lũng,60,"12,4","12,9","32,3","94,3","147,2","175,2","236,3","256,0","141,6","66,6","19,4","7,2","1389,1"
51. Hữu Lũng,50,"19,0","18,2","38,0","103,8","165,1","215,4","249,1","283,7","151,2","86,8","22,7","11,2","1419,2"
51. Hữu Lũng,40,"23,5","21,0","49,3","126,1","191,7","245,6","280,8","302,2","178,9","93,8","28,8","19,8","1476,8"
51. Hữu Lũng,30,"31,7","36,2","58,0","147,1","228,5","290,5","306,5","319,3","195,4","122,7","39,6","25,9","1542,2"
51. Hữu Lũng,20,"41,1","42,9","70,0","167,4","260,7","319,0","331,2","343,7","225,0","145,7","61,4","36,4","1634,1"
51. Hữu Lũng,10,"63,8","55,6","105,6","204,0","293,2","347,8","407,3","430,8","254,5","182,2","98,0","48,6","1798,6"
51. Hữu Lũng,5,"93,5","69,7","122,4","226,8","327,0","397,0","508,4","492,4","293,6","203,7","126,0","58,1","1839,5"
52. Đình Lập,95,"0,5","0,3","7,3","12,3","60,3","109,5","102,0","86,4","48,0","3,9","0,2","0,0","1008,0"
52. Đình Lập,90,"1,3","3,3","9,4","15,8","70,2","118,1","122,4","105,2","74,3","6,4","0,6","0,4","1077,9"
52. Đình Lập,80,"3,2","6,1","14,0","29,8","97,1","135,6","182,0","142,8","103,4","26,9","5,0","1,5","1222,1"
52. Đình Lập,70,"7,2","8,6","17,9","47,2","113,0","166,3","205,0","193,5","118,4","37,1","11,0","3,7","1287,2"
52. Đình Lập,60,"9,6","15,4","25,4","71,8","132,6","196,9","252,8","226,9","128,3","49,2","14,2","7,6","1376,2"
52. Đình Lập,50,"15,5","19,5","33,0","86,5","158,0","207,1","256,8","269,3","149,4","59,3","16,7","12,4","1472,9"
52. Đình Lập,40,"26,2","24,1","41,4","98,8","173,6","234,5","287,9","302,0","179,7","88,7","23,8","19,5","1578,7"
52. Đình Lập,30,"33,8","30,9","47,2","114,1","200,0","266,9","317,1","323,6","225,6","124,2","36,0","24,6","1663,4"
52. Đình Lập,20,"43,9","36,9","56,6","148,0","235,2","308,3","442,5","394,7","268,3","166,9","60,9","34,1","1741,4"
52. Đình Lập,10,"52,1","57,0","86,6","198,0","280,5","370,3","478,9","480,1","310,8","221,8","88,3","47,5","2000,3"
52. Đình Lập,5,"99,4","76,0","108,8","222,8","344,3","410,5","558,7","528,6","394,3","245,6","144,8","58,2","2098,1"
53. Thất Khê,95,"3,9","9,4","17,3","16,3","68,8","80,3","126,1","72,1","57,3","5,0","2,2","0,1","1031,3"
53. Thất Khê,90,"7,6","10,2","19,0","32,2","72,2","93,5","140,5","135,9","70,7","17,0","5,6","0,8","1159,0"
53. Thất Khê,80,"12,9","15,2","22,1","48,1","107,0","141,6","158,8","165,3","84,5","21,4","7,1","3,1","1231,3"
53. Thất Khê,70,"18,6","19,0","29,5","66,3","146,3","187,7","185,6","204,6","105,3","27,1","14,2","4,7","1317,3"
53. Thất Khê,60,"23,0","22,1","36,1","80,6","185,9","215,7","216,9","236,5","116,9","53,8","22,6","12,3","1339,5"
53. Thất Khê,50,"29,6","27,8","41,8","101,9","208,1","235,3","236,9","251,3","136,1","66,4","36,8","17,2","1429,1"
53. Thất Khê,40,"42,0","33,5","57,9","113,8","220,2","268,1","267,1","270,0","142,0","99,0","50,7","27,9","1519,6"
53. Thất Khê,30,"51,3","51,6","69,1","123,7","238,8","277,5","306,6","289,1","169,1","110,4","66,0","41,6","1580,9"
53. Thất Khê,20,"59,4","57,8","79,0","136,0","276,0","302,7","330,1","331,5","202,9","140,4","84,5","55,1","1730,3"
53. Thất Khê,10,"75,3","67,0","109,4","170,8","302,9","359,7","358,9","430,3","222,3","166,5","104,0","75,5","1894,5"
53. Thất Khê,5,"90,4","87,7","146,1","197,6","319,8","395,1","391,7","468,5","245,3","182,3","150,1","84,6","1944,8"
54. Lạng Sơn,95,"0,8","3,2","12,2","17,3","60,5","85,1","89,2","63,6","43,4","6,4","2,1","0,1","913,4"
54. Lạng Sơn,90,"2,3","5,4","17,7","23,7","77,1","100,0","105,4","102,1","59,3","10,9","3,7","0,2","968,9"
54. Lạng Sơn,80,"6,1","10,6","21,1","36,6","96,4","121,0","131,3","143,9","80,4","22,0","6,6","1,9","1083,0"
54. Lạng Sơn,70,"12,7","26,9","64,4","114,4","145,4","158,7","178,8","95,4","39,6","13,4","4,4","1213,7",
54. Lạng Sơn,60,"17,0","18,0","29,9","74,6","130,2","159,5","170,6","202,9","109,0","49,9","27,1","13,0","1280,8"
54. Lạng Sơn,50,"22,0","25,0","33,6","89,4","138,9","177,1","202,0","227,0","126,8","64,8","31,8","15,9","1330,6"
54. Lạng Sơn,40,"30,8","28,1","39,9","98,7","166,2","184,1","249,4","247,0","141,0","94,0","38,2","23,1","1364,6"
54. Lạng Sơn,30,"48,4","32,8","49,2","111,2","188,1","242,0","286,1","265,5","171,8","110,0","50,0","32,7","1451,5"
54. Lạng Sơn,20,"55,1","44,4","70,7","132,7","207,4","260,9","345,6","296,5","202,9","128,5","60,4","48,0","1580,6"
54. Lạng Sơn,10,"89,1","60,6","125,5","149,6","252,2","308,2","389,8","341,1","247,3","172,3","97,3","58,4","1613,5"
54. Lạng Sơn,5,"101,4","83,3","144,4","170,2","285,9","335,1","459,8","414,2","264,6","183,3","118,2","74,2","1685,4"
55. Lục Ngạn,95,"0,7","2,1","8,0","12,8","64,9","78,8","99,6","82,8","66,8","4,2","1,7","0,0","1024,5"
55. Lục Ngạn,90,"1,4","3,7","9,7","17,1","75,2","101,4","126,2","117,4","83,2","4,7","3,0","0,1","1102,1"
55. Lục Ngạn,80,"2,9","6,3","14,9","28,0","97,3","116,5","145,5","152,2","94,7","21,8","7,8","0,6","1123,5"
55. Lục Ngạn,70,"6,7","10,8","20,2","43,0","113,7","145,5","174,6","186,8","113,7","45,8","13,0","2,9","1225,1"
55. Lục Ngạn,60,"9,0","13,4","22,8","63,3","157,5","168,0","209,0","213,5","127,8","72,4","19,4","7,3","1342,1"
55. Lục Ngạn,50,"12,8","16,3","26,0","93,2","165,0","190,0","228,8","251,8","137,5","88,8","25,8","12,1","1377,5"
55. Lục Ngạn,40,"18,1","22,9","33,9","124,0","179,1","241,6","274,9","279,8","166,1","105,0","33,4","19,1","1389,8"
55. Lục Ngạn,30,"31,7","28,9","42,4","142,4","194,7","260,8","313,0","300,1","187,7","119,1","41,0","30,1","1523,4"
55. Lục Ngạn,20,"39,3","39,4","57,3","160,3","211,4","271,9","337,6","316,9","218,4","136,9","61,5","36,5","1578,0"
55. Lục Ngạn,10,"51,5","46,9","107,8","199,9","262,4","363,5","385,4","372,2","253,4","167,1","85,3","52,5","1724,0"
55. Lục Ngạn,5,"87,1","58,4","123,5","224,5","272,6","394,6","429,6","435,8","397,8","211,6","112,5","54,2","1797,9"
Sơn Động,95,"1,1","5,7","11,0","73,4","52,7","99,8","117,5","54,6","6,3","1,2","0,3","1170,6",
Sơn Động,90,"2,3","9,2","16,6","90,4","89,6","165,6","146,8","67,0","14,3","1,9","0,5","1244,5",
Sơn Động,80,"5,8","6,1","13,7","27,2","124,8","142,5","204,1","191,3","93,8","27,1","5,3","2,4","1342,3"
Sơn Động,70,"7,7","10,0","18,6","47,5","140,9","168,0","245,2","213,2","120,0","42,5","12,0","4,7","1398,7"
Sơn Động,60,"10,1","13,3","23,5","74,7","153,3","191,2","272,3","224,4","141,2","54,9","20,4","7,6","1485,5"
Sơn Động,50,"12,5","17,4","28,0","94,3","175,9","213,2","301,8","251,1","168,3","72,0","25,0","15,4","1520,5"
Sơn Động,40,"20,3","23,7","31,1","106,9","191,7","231,5","349,1","335,1","184,3","85,2","31,0","23,6","1600,0"
Sơn Động,30,"34,1","27,0","40,7","130,3","205,0","268,8","387,4","376,1","204,9","119,8","42,8","30,4","1698,2"
