Tỉnh/TP trực thuộc Trung ương,TP/Quận/Huyện/ Thị xã (hoặc tương đương),Số năm,Tháng,Tổng
23.Hà Tĩnh,Vũ Quang,1,0,1,0,1
23.Hà Tĩnh,Hương Khê,2,0,1,0,1,0,2
23.Hà Tĩnh,Hương Sơn,2,0,1,0,2
23.Hà Tĩnh,TX. Kỳ Anh,2,0,1,0,1,0,2
23.Hà Tĩnh,Nghi Xuân,2,0,1,0,2
23.Hà Tĩnh,TP. Hà Tĩnh,3,0,1,0,1,0,1,0,4
24.Hải Dương,Cẩm Giàng,1,0,1,0,1
24.Hải Dương,Nam Sách,1,0,1,0,1
25.Hậu Giang,TP. Vị Thanh,1,0,1,0,1
26.Hoà Bình,Cát Hải,1,0,1,0,1
26.Hoà Bình,Kim Bôi,3,0,3,0,3
26.Hoà Bình,Lạc Sơn,3,0,2,1,0,3
26.Hoà Bình,Mai Châu,1,0,1,0,1
26.Hoà Bình,TP. Hòa Bình,1,0,1,0,1
26.Hoà Bình,Yên Thủy,1,0,1,0,1
27.Hưng Yên,Phù Cừ,1,0,1,0,1
27.Hưng Yên,TP. Hưng Yên,1,0,1,0,1
27.Hưng Yên,Khoái Châu,1,0,1,0,1
28.Khánh Hoà,TP. Nha Trang,3,0,1,0,2,1,4,8
28.Khánh Hoà,Trường Sa,1,0,5,4,1,4,14
29.Kiên Giang,TP. Phú Quốc,4,0,1,0,1,0,2,0,4
29.Kiên Giang,TP. Rạch Giá,6,0,1,2,0,1,2,1,0,1,0,9
30.Kon Tum,Đắk Hà,1,0,1,0,1
30.Kon Tum,Đắk Tô,1,0,2,1,0,3
30.Kon Tum,Sa Thầy,1,0,1,0,1
30.Kon Tum,TP. Kon Tum,3,0,3,0,3
31.Điện Biên,TP. Điện Biên,3,0,5,1,0,6
31.Điện Biên,Điện Biên Đông,1,0,1,0,1
31.Điện Biên,TX. Mường Lay,1,0,1,0,1
31.Điện Biên,Tủa Chùa,1,0,1,0,1
31.Điện Biên,Tuần Giáo,5,0,1,2,0,5
31.Điện Biên,Thống Nhất,1,0,1,0,1
32.Lai Châu,Sìn Hồ,1,0,1,0,1
32.Lai Châu,TP. Lai Châu,1,0,1,0,1
32.Lai Châu,Nậm Nhùn,1,0,1,0,1
33.Lâm Đồng,Đơn Dương,1,0,1,0,1
33.Lâm Đồng,Lâm Hà,1,0,1,0,1
33.Lâm Đồng,TP. Bảo Lộc,2,0,1,0,1,0,2
33.Lâm Đồng,TP. Đà Lạt,3,0,3,0,3
33.Lâm Đồng,Đạ Huoai,1,0,1,0,1
34.Lạng Sơn,Bắc Sơn,1,0,1,0,1
34.Lạng Sơn,Bình Gia,1,0,1,0,1
34.Lạng Sơn,Lộc Bình,2,0,1,0,3
34.Lạng Sơn,Tràng Định,1,0,1,0,1
34.Lạng Sơn,TP. Lạng Sơn,2,0,2,0,2
35.Lào Cai,Bắc Hà,2,0,1,0,2
35.Lào Cai,Bảo Thắng,3,0,3,0,3
35.Lào Cai,Bảo Yên,2,0,2,0,2
35.Lào Cai,Bát Xát,3,0,1,0,3
35.Lào Cai,Mường Khương,3,0,3,0,3
35.Lào Cai,TP. Sa Pa,7,6,5,18,28,4,2,3,0,1,6,78
35.Lào Cai,Than Uyên,1,0,1,0,1
35.Lào Cai,Văn Bàn,1,0,1,0,1
35.Lào Cai,TP. Lào Cai,1,0,1,0,1
36.Long An,Cần Giuộc,2,0,1,0,1,0,2
36.Long An,Tân Hưng,1,0,1,0,1
36.Long An,Thủ Thừa,1,0,1,0,1
36.Long An,Cần Đước,1,0,1,0,1
37.Nam Định,Giao Thuỷ,1,0,2,0,2
37.Nam Định,Hải Hậu,1,0,1,0,1
38.Nghệ An,Anh Sơn,3,0,3,0,3
38.Nghệ An,Con Cuông,1,0,1,0,1
38.Nghệ An,Diễn Châu,3,0,1,0,1,0,4
38.Nghệ An,Đô Lương,1,0,1,0,1
38.Nghệ An,Kỳ Sơn,2,0,1,0,2
38.Nghệ An,Nghĩa Đàn,1,0,1,0,1
38.Nghệ An,Quỳ Châu,1,0,1,0,1
