Giờ,Tháng 1,Tháng 2,Tháng 3,Tháng 4,Tháng 5,Tháng 6,Tháng 7,Tháng 8,Tháng 9,Tháng 10,Tháng 11,Tháng 12
Trạm Ba Vì,,,,,,,,,,,,
5,77,80,82,85,84,82,83,86,87,84,77,
6,78,80,83,85,84,82,83,86,87,85,77,
7,77,79,81,80,78,76,78,82,84,83,77,
8,72,71,70,69,70,69,74,77,78,74,,
9,68,67,66,65,63,64,63,68,72,75,71,
10,65,63,62,61,59,63,68,73,69,,,
11,63,60,62,60,58,62,67,71,68,,,
12,62,59,62,63,60,58,63,67,71,67,,
13,61,59,60,62,63,61,60,59,64,68,71,67
14,62,60,63,65,62,61,59,65,69,72,68,
15,64,62,65,67,63,62,67,71,73,69,,
16,66,64,65,68,69,66,65,70,74,76,71,
17,70,68,70,71,72,68,73,78,79,74,,
18,73,74,75,74,71,72,77,80,81,75,,
19,74,76,77,78,76,74,79,82,76,,,
20,74,77,79,77,75,76,80,82,76,,,
21,74,77,79,80,78,76,77,81,83,82,76,
22,75,77,80,79,77,78,82,83,82,76,,
23,75,78,80,81,80,78,79,83,84,82,76,
24,76,78,80,82,81,79,83,84,83,76,,
Trạm Cần Thơ,,,,,,,,,,,,
1,88,87,88,90,92,93,92,90,87,,,
2,88,89,88,89,91,92,93,91,88,,,
3,89,90,92,93,94,93,91,89,,,,
4,90,91,92,94,91,89,,,,,,
5,90,91,93,94,92,89,,,,,,
6,90,91,92,93,94,95,94,92,90,,,
7,90,91,90,91,92,93,94,93,91,90,,
8,86,85,83,81,82,84,86,85,86,85,83,84
9,78,77,74,73,76,78,79,78,79,77,,
10,72,69,66,67,70,73,74,73,75,74,72,
11,67,64,61,62,67,70,71,70,72,71,68,
12,64,60,58,59,66,69,70,69,71,69,67,66
13,62,57,55,58,66,69,70,69,71,69,65,64
14,61,56,54,57,66,70,69,71,69,65,63,
15,60,56,54,57,68,71,70,72,66,64,,
16,61,56,55,60,71,73,72,74,69,66,,
17,63,59,57,63,75,76,77,78,73,69,,
18,69,64,63,68,78,80,82,78,74,,,
19,74,71,70,73,82,83,84,85,81,78,,
20,79,76,77,84,86,87,84,81,,,,
21,82,80,81,86,88,89,86,83,,,,
22,84,83,87,89,90,87,84,,,,,
23,85,88,90,91,88,85,,,,,,
24,87,86,87,89,91,92,89,86,,,,
Trạm Càng Long,,,,,,,,,,,,
1,91,90,93,94,95,94,93,92,,,,
2,91,90,91,93,94,95,94,92,,,,
3,92,91,94,95,94,95,94,92,,,,
4,92,91,92,94,95,94,95,94,93,,,
5,92,94,95,93,,,,,,,,
6,93,95,96,95,96,95,93,,,,,
7,93,95,96,95,96,95,94,,,,,
8,89,88,84,83,86,88,89,87,88,,,
9,79,75,72,73,78,80,81,82,81,79,78,
10,70,66,64,66,72,74,76,72,,,,
11,65,61,59,61,68,71,72,73,72,69,68,
12,62,57,56,58,67,71,70,72,70,67,65,
13,60,55,54,57,67,71,70,72,70,66,64,
14,60,54,57,68,72,71,73,71,66,64,,
15,60,55,59,70,74,73,72,75,73,68,65,
16,62,57,61,73,76,78,76,71,67,,,
17,66,61,65,77,79,81,80,75,72,,,
18,73,69,68,71,81,82,83,85,81,77,,
19,80,77,76,78,86,87,88,89,86,83,,
20,84,83,82,83,88,89,90,88,86,,,
21,87,86,85,86,90,91,92,90,88,,,
22,88,87,89,92,93,91,89,,,,,
23,89,88,90,93,92,93,92,90,,,,
24,90,89,92,94,93,94,93,91,,,,
Trạm Cao Bằng,,,,,,,,,,,,
1,91,88,89,90,91,93,94,95,94,93,90,
2,92,89,91,92,93,95,96,95,93,91,,
3,92,90,91,93,94,95,96,95,93,91,,
4,93,90,91,92,93,94,95,96,95,93,92,
5,93,91,92,93,94,96,95,94,92,,,
6,93,91,92,93,94,95,96,97,96,94,92,
7,94,92,93,92,93,94,95,97,96,94,93,
8,93,91,89,88,89,90,92,93,92,,,
9,90,87,86,83,82,84,86,85,86,88,87,
10,84,79,80,77,76,78,79,77,80,,,
11,78,73,75,73,72,75,73,71,69,72,,
12,72,68,71,69,71,70,67,64,67,65,,
13,69,65,68,67,69,70,68,65,62,63,62,
14,67,63,67,66,68,69,68,64,61,62,60,
15,67,62,67,66,65,68,69,64,62,63,60,
16,68,63,68,67,66,69,71,70,66,64,65,62
17,71,66,70,69,68,72,73,70,69,71,66,
18,76,70,74,73,71,76,77,78,79,74,,
19,80,75,78,77,81,84,85,84,79,,,
20,84,80,81,82,86,88,89,88,87,84,,
21,87,82,84,85,88,91,92,91,90,89,86,
22,88,84,86,88,90,92,93,92,91,88,,
23,89,86,87,88,89,91,93,94,93,92,89,
24,90,87,88,89,90,92,94,95,93,92,90,
Trạm Cao Lãnh,,,,,,,,,,,,
1,91,90,91,92,93,92,90,89,,,,
2,92,91,92,93,92,90,89,,,,,
3,92,93,92,93,92,90,,,,,,
4,92,93,92,94,93,91,90,,,,,
5,93,94,93,94,93,94,93,91,,,,
6,93,94,95,94,93,91,,,,,,
7,93,94,93,92,90,91,,,,,,
8,89,90,87,85,86,85,86,,,,,
9,82,81,78,77,79,80,81,80,,,,
10,76,74,71,72,74,75,74,76,77,76,,
11,72,70,66,67,70,71,72,71,73,75,74,73
12,69,66,63,64,68,69,70,69,72,73,72,71
13,67,64,60,62,68,69,70,69,71,73,71,69
14,65,62,58,62,68,70,69,72,70,67,,
15,65,61,58,62,70,71,72,70,73,70,67,
16,66,61,59,63,72,74,72,75,74,71,68,
17,68,63,61,66,75,77,76,79,77,74,71,
18,74,68,66,71,79,81,80,83,82,79,76,
19,80,75,72,76,83,85,84,86,85,83,81,
20,84,79,77,81,86,87,88,87,85,84,,
21,86,83,80,84,88,89,88,89,87,85,,
22,88,86,84,86,89,90,89,90,87,86,,
23,89,88,86,88,91,90,91,90,88,87,,
24,90,88,90,91,92,91,89,88,,,,
Trạm Châu Đốc,,,,,,,,,,,,
1,87,90,89,90,91,90,91,92,90,86,,
2,88,91,90,91,92,90,91,93,90,87,,
3,88,92,91,92,91,92,93,91,88,,,
4,89,92,91,92,93,91,88,,,,,
5,89,92,93,92,93,91,88,,,,,
6,90,93,92,93,94,92,89,,,,,
7,90,93,92,91,92,91,92,93,91,89,,
8,85,87,86,83,82,84,83,84,85,83,82,
9,78,79,76,74,76,77,78,76,78,79,77,76
10,72,71,68,67,70,72,71,74,75,73,71,
11,67,66,63,61,66,69,68,72,70,67,,
12,64,62,58,63,67,66,70,68,64,,,
13,62,59,56,62,66,69,66,62,,,,
14,60,57,54,55,63,66,68,67,70,69,65,61
15,59,56,53,55,65,69,68,71,69,65,60,
16,59,57,54,58,68,71,73,71,74,71,67,61
17,62,60,58,62,71,75,76,73,77,75,71,64
18,68,67,64,67,77,79,77,81,77,70,,
19,74,71,74,81,83,81,84,81,76,,,
20,78,80,77,79,84,86,84,87,84,79,,
21,81,82,80,82,85,87,88,86,88,86,81,
22,83,84,83,84,87,88,89,87,89,90,87,82
23,85,87,86,88,89,90,88,90,91,88,83,
24,86,88,87,89,90,89,91,89,85,,,
Trạm Cửa Ông,,,,,,,,,,,,
1,88,89,92,91,90,91,92,91,87,86,84,
2,88,89,92,90,91,92,88,87,85,,,
3,89,90,92,91,92,93,92,89,87,85,,
4,89,90,92,91,92,93,92,89,87,85,,
5,89,90,92,93,91,92,93,92,89,87,85,
6,89,90,92,93,92,91,92,94,92,89,87,85
7,89,90,92,93,91,90,92,93,92,89,87,84
8,88,89,91,90,86,87,89,90,89,84,83,82
9,86,87,90,87,83,84,86,85,79,78,,
10,82,84,87,84,80,81,83,81,74,75,73,
11,78,80,85,81,78,79,80,81,78,70,72,69
12,75,78,83,80,76,77,79,76,67,69,67,
13,74,77,82,79,75,76,78,77,75,66,68,66
14,73,76,82,78,74,76,77,74,65,68,65,
15,73,76,82,79,75,76,77,74,66,69,66,
16,74,77,83,79,76,77,78,77,74,67,70,67
17,76,79,84,81,77,78,79,76,70,73,71,
18,79,82,87,84,81,82,80,74,77,74,,
19,81,84,88,86,84,85,83,77,79,76,,
20,83,85,89,88,86,87,86,80,82,78,,
21,85,86,90,89,87,88,87,83,81,,,
22,86,87,90,88,89,88,84,82,,,,
23,87,88,91,89,90,89,85,83,,,,
24,87,88,91,89,90,91,90,86,83,,,
Trạm Đà Lạt,,,,,,,,,,,,
1,91,89,90,94,95,94,95,96,94,92,91,
2,91,89,90,94,95,94,95,96,94,92,91,
3,91,90,94,95,94,95,96,94,92,91,,
4,91,90,94,96,95,96,94,92,91,,,
5,91,90,94,96,95,96,95,92,91,,,
6,91,90,94,96,95,96,97,95,93,92,,
7,91,90,93,94,93,94,95,96,94,91,,
8,82,80,75,78,82,85,87,84,83,,,
9,72,65,62,68,75,79,82,81,77,76,,
10,65,57,55,61,70,75,78,76,77,72,74,71
11,62,53,51,59,67,73,76,74,75,71,68,
12,60,52,51,59,67,72,75,74,75,71,68,
13,61,52,53,62,69,72,75,74,75,73,71,68
14,62,54,57,66,72,73,76,78,75,72,70,
15,64,57,62,71,76,78,81,79,75,72,,
16,68,62,66,76,80,81,84,82,78,75,,
17,74,68,72,80,84,83,85,88,86,83,80,
18,81,77,79,85,88,87,88,89,91,89,87,85
19,86,84,85,89,91,90,91,92,93,91,89,88
20,88,87,91,92,93,94,92,91,89,,,
21,89,88,92,93,94,95,93,91,90,,,
22,90,88,89,92,94,95,96,93,91,90,,
23,90,89,93,94,95,96,93,91,90,,,
24,91,89,93,94,95,96,93,92,91,,,
Trạm Đà Nẵng,,,,,,,,,,,,
1,88,89,86,82,85,91,90,,,,,
2,89,87,83,85,86,91,90,,,,,
3,90,89,90,87,83,86,92,91,90,,,
4,90,91,90,88,83,86,87,92,90,,,
5,90,91,88,84,86,87,92,91,,,,
6,90,91,88,84,86,87,92,93,92,91,,
7,91,90,91,89,83,78,81,84,90,91,,
8,88,86,81,74,68,72,75,82,85,87,88,
9,83,81,80,75,67,62,65,68,76,80,82,84
10,78,76,75,71,63,58,61,63,70,75,79,81
11,76,73,69,61,56,58,60,68,73,77,79,
12,74,72,71,68,61,56,58,60,67,72,76,77
13,73,70,68,62,56,58,60,68,72,76,77,
14,74,71,70,69,64,58,61,62,69,72,77,
15,75,72,67,61,63,64,70,73,78,,,
16,77,74,75,71,64,67,73,75,80,79,,
17,79,77,79,78,75,68,71,76,78,82,81,
18,82,81,83,82,78,73,74,75,80,81,84,
19,84,83,85,84,80,77,78,82,85,,,
20,85,86,85,82,78,80,84,86,,,,
21,86,85,87,86,82,79,81,82,86,87,,
22,86,87,86,83,80,82,83,88,87,,,
23,87,88,87,84,81,83,84,89,88,,,
24,88,85,82,84,85,90,89,,,,,
Trạm Điện Biên,,,,,,,,,,,,
1,92,93,94,93,94,95,94,,,,,
2,92,93,94,93,94,95,94,,,,,
3,93,92,93,94,95,96,95,94,,,,
4,93,92,94,95,94,95,96,95,,,,
5,93,94,95,94,95,96,95,94,,,,
6,93,94,95,94,95,96,95,,,,,
7,93,94,96,95,,,,,,,,
8,93,92,90,92,93,94,,,,,,
9,90,89,88,86,82,83,87,85,89,91,,
10,85,82,79,78,74,76,81,82,79,75,81,84
11,77,73,71,68,72,77,73,66,71,75,,
12,70,66,65,64,68,74,69,60,63,66,,
13,64,60,61,66,72,66,57,59,60,,,
14,59,54,55,58,60,65,71,70,64,55,56,
15,56,51,53,58,60,65,71,70,64,54,53,54
16,55,50,53,59,61,67,72,71,65,56,54,
17,56,52,57,62,63,69,74,73,69,60,59,57
18,68,60,64,68,69,72,77,78,77,73,71,
19,77,74,76,79,78,83,85,86,82,81,79,
20,82,79,81,85,86,84,88,90,86,85,84,
21,86,85,86,88,87,90,92,89,88,,,
22,89,88,89,90,91,89,92,93,91,90,,
23,91,90,91,92,91,93,94,93,92,,,
24,91,92,93,92,93,95,94,93,,,,
Trạm Đồng Hới,,,,,,,,,,,,
1,93,94,95,93,89,83,84,87,91,94,93,90
2,93,94,95,94,89,82,84,87,92,94,93,90
3,93,94,95,94,89,82,83,87,92,94,93,90
4,93,94,95,94,89,81,83,87,92,94,93,90
5,93,94,95,94,88,81,83,87,92,94,93,90
6,93,94,95,94,88,81,83,87,92,95,93,90
7,93,95,92,85,78,80,84,91,95,93,91,
8,92,93,92,86,76,72,73,77,85,91,90,89
9,89,90,88,80,70,67,69,72,79,86,87,
10,86,85,83,75,65,64,65,67,75,81,83,84
11,83,81,79,72,62,61,62,64,71,79,80,82
12,81,79,77,70,60,59,61,62,69,77,79,81
13,80,77,76,69,60,58,60,63,69,77,80,
14,80,78,76,70,62,59,61,64,70,77,80,81
15,81,79,78,72,64,60,62,66,72,79,81,
16,82,81,80,75,67,62,65,68,74,80,83,
17,85,84,83,79,70,65,68,72,78,83,86,85
18,88,87,83,75,69,72,76,82,87,88,87,
19,90,87,80,74,76,81,86,90,89,,,
20,91,92,89,83,77,79,83,88,92,91,90,
21,92,93,91,85,79,81,85,89,93,92,90,
22,92,93,92,87,81,82,85,90,93,92,91,
23,93,94,93,88,82,83,86,91,94,93,91,
24,93,94,93,88,82,84,87,91,94,93,90,
Trạm Hà Giang,,,,,,,,,,,,
1,93,91,90,89,93,94,92,93,92,,,
2,93,92,91,90,91,93,95,94,93,92,,
3,94,93,92,91,94,95,94,93,92,,,
4,94,93,92,94,95,93,94,92,,,,
5,94,93,92,93,95,96,95,93,94,92,,
6,94,93,92,93,95,96,95,93,94,92,,
7,94,93,92,94,95,94,93,94,92,,,
8,93,92,91,89,87,90,91,90,91,,,
9,90,89,88,84,82,85,86,85,83,84,86,
10,85,83,82,79,77,80,81,78,77,79,,
11,79,78,77,75,72,75,76,74,72,71,73,72
12,75,73,71,69,72,73,70,68,69,68,,
13,72,70,68,66,70,67,66,67,65,,,
14,71,68,66,65,69,66,65,66,64,,,
15,70,67,68,66,64,69,67,65,66,64,,
16,71,68,67,64,69,70,68,66,67,68,66,
17,74,70,69,66,71,72,70,73,74,71,,
18,80,74,73,72,70,75,76,77,78,80,81,78
19,84,79,77,76,74,81,82,83,84,85,82,
20,86,82,81,79,78,84,86,87,88,86,,
21,89,85,83,82,81,86,88,90,89,90,88,
22,91,87,86,84,89,90,91,90,,,,
23,91,88,87,86,90,92,93,92,91,,,
24,92,90,89,88,92,93,94,93,92,91,,
Trạm Hà Tĩnh,,,,,,,,,,,,
1,92,90,84,76,78,84,89,91,90,,,
2,92,93,91,85,76,79,85,90,92,91,,
3,92,93,92,86,77,80,86,90,92,91,,
4,92,93,92,87,79,81,87,91,92,91,,
5,92,94,93,87,80,81,87,91,93,92,91,
6,92,94,93,88,80,82,88,92,93,92,91,
7,93,94,92,85,77,80,86,90,92,91,,
8,92,93,92,89,79,72,74,80,86,88,89,
9,89,90,89,84,73,67,70,75,80,84,86,
10,86,85,80,68,63,66,70,76,80,82,,
11,83,82,77,65,60,62,67,72,76,79,80,
12,80,79,75,64,59,60,65,71,75,78,,
13,79,78,73,64,58,59,64,70,73,77,,
14,79,77,73,64,58,59,65,70,73,77,,
15,79,77,78,74,65,59,61,66,71,74,77,
16,80,78,79,75,66,60,62,68,72,76,79,
17,82,81,78,68,62,65,71,75,79,81,,
18,85,84,81,72,65,68,74,79,82,84,83,
19,87,88,85,76,68,72,78,83,85,86,85,
20,89,88,89,86,78,71,74,80,85,87,,
21,89,90,87,79,72,75,81,86,88,,,
22,90,87,80,73,76,82,87,89,,,,
23,91,90,91,88,81,74,77,82,87,90,89,
24,91,89,82,74,78,83,88,91,90,,,
Trạm Hải Dương,,,,,,,,,,,,
1,87,88,90,89,90,92,89,87,85,,,
2,88,91,90,91,92,93,89,88,86,,,
3,88,89,91,93,90,88,86,,,,,
4,89,91,92,91,93,90,89,86,,,,
5,89,91,92,91,93,90,88,86,,,,
6,88,89,91,92,91,92,93,90,88,86,,
7,88,91,90,89,90,92,93,90,88,86,,
8,87,90,88,86,84,86,88,83,,,,
9,83,85,87,85,81,80,81,84,83,76,77,
10,79,81,85,82,78,75,77,80,79,70,72,71
11,75,78,82,80,74,72,74,77,76,66,68,67
12,72,75,80,78,72,69,72,75,74,64,65,64
13,70,73,79,76,71,67,70,73,62,63,62,
14,69,72,78,76,69,66,69,73,72,62,61,
15,68,72,78,76,70,67,69,73,62,63,61,
16,69,72,79,77,71,68,70,73,74,64,65,62
17,71,74,81,79,73,70,72,75,76,68,65,
18,75,77,83,82,78,74,75,78,80,73,74,70
19,78,80,85,83,80,79,83,84,79,78,74,
20,81,83,87,86,83,86,87,82,81,77,,
21,83,84,88,87,85,88,83,82,80,,,
22,85,86,89,88,87,89,85,84,81,,,
23,86,89,90,89,88,90,86,83,,,,
24,87,90,89,91,87,84,,,,,,
Trạm Hòa Bình,,,,,,,,,,,,
1,90,88,90,89,90,92,93,91,89,,,
2,90,89,90,91,90,92,93,94,93,91,90,
3,91,90,91,93,94,92,90,,,,,
4,91,90,91,92,91,93,94,92,91,,,
5,92,91,92,93,92,93,94,95,94,92,91,
6,92,91,92,93,92,94,95,94,92,91,,
7,92,91,92,91,89,92,93,94,92,91,,
8,91,89,90,89,85,82,86,87,89,88,,
9,86,84,86,83,77,76,80,81,83,81,82,
10,80,78,80,77,72,70,75,76,77,74,73,74
11,74,72,75,72,67,71,72,73,70,69,68,
12,71,69,71,69,64,69,71,67,66,64,,
13,69,66,69,67,62,68,69,65,64,62,,
14,68,65,68,66,61,62,67,68,64,63,61,
15,68,65,68,66,62,63,68,64,63,61,,
16,69,66,70,68,65,66,70,66,65,63,,
17,71,69,73,72,68,69,73,70,66,,,
18,75,73,76,73,77,79,78,77,74,,,
19,80,77,80,78,82,83,85,83,82,79,,
20,83,80,83,81,83,86,87,88,87,86,83,
21,85,83,85,84,85,88,89,90,89,88,85,
22,87,84,87,86,87,89,90,91,89,87,,
23,88,86,88,87,88,90,91,92,91,90,88,
24,89,87,89,88,89,91,92,90,89,,,
Trạm Huế,,,,,,,,,,,,
1,97,96,94,92,90,91,95,96,97,,,
2,97,96,95,93,90,91,92,95,97,,,
3,97,95,93,91,92,96,97,,,,,
4,97,95,94,91,92,93,96,97,,,,
5,97,98,97,96,94,92,93,96,97,,,
6,97,98,97,96,95,92,93,94,96,97,,
7,98,97,95,90,86,87,90,95,97,,,
8,96,93,86,78,74,75,78,86,92,93,96,
9,92,90,87,80,71,67,68,70,80,86,89,92
10,87,84,81,74,65,61,62,64,74,82,85,89
11,84,80,77,71,62,58,59,61,71,79,82,87
12,82,79,76,71,63,57,59,60,70,78,81,85
13,82,78,76,71,63,58,60,70,77,81,85,
14,82,79,76,72,64,60,62,71,77,82,85,
15,83,79,77,73,67,61,64,65,73,79,83,86
16,84,81,79,75,70,64,67,68,76,81,84,87
17,87,83,81,78,74,67,70,72,80,84,87,90
18,90,87,86,82,78,72,74,76,84,89,91,92
19,93,92,90,87,83,78,80,82,89,92,93,95
20,94,93,89,87,83,84,86,91,94,95,,
21,95,93,91,89,86,88,93,95,96,,,
22,96,95,94,92,90,87,88,89,94,95,96,
23,96,95,93,91,88,89,90,94,96,97,,
24,96,95,94,92,89,90,91,95,96,97,,
Trạm Hưng Yên,,,,,,,,,,,,
1,89,92,91,90,91,92,89,88,87,,,
2,90,93,92,90,92,93,90,89,87,,,
3,90,93,92,91,92,93,90,89,87,,,
4,90,93,91,93,94,93,91,89,87,,,
5,90,93,91,93,94,91,89,87,,,,
6,90,93,94,93,91,93,94,91,90,87,,
