Giờ,Tháng 1,Tháng 2,Tháng 3,Tháng 4,Tháng 5,Tháng 6,Tháng 7,Tháng 8,Tháng 9,Tháng 10,Tháng 11,Tháng 12
Trạm Ba Vì,,,,,,,,,,,,
21,70,68,73,81,86,88,81,76,73,,,
22,71,70,75,83,88,89,83,78,74,,,
23,73,72,73,77,85,89,91,90,84,79,76,
24,74,78,86,90,92,91,86,80,77,,,
Trạm Lai Châu,,,,,,,,,,,,
1,90,87,85,88,91,93,94,93,91,,,
2,91,88,87,90,91,94,95,94,93,92,,
3,91,89,88,91,92,94,95,94,92,,,
4,91,89,91,93,94,95,94,92,,,,
5,91,90,92,93,94,95,94,92,,,,
6,91,90,92,93,95,96,95,94,92,,,
7,91,90,92,93,94,95,94,93,92,,,
8,91,90,89,90,92,93,92,91,,,,
9,88,86,84,89,90,88,87,88,,,,
10,83,80,77,76,77,84,85,83,82,80,82,
11,76,72,69,71,80,81,78,77,74,76,75,
12,69,65,62,66,76,77,74,71,69,71,69,
13,64,59,56,57,63,72,74,70,68,65,67,64
14,61,55,51,54,61,71,73,68,65,62,63,61
15,59,51,49,52,60,71,72,67,64,61,62,60
16,58,51,49,53,60,71,72,68,65,63,61,
17,62,53,51,56,63,74,73,70,69,66,,
18,68,60,56,61,67,77,76,72,,,,
19,74,66,62,67,73,82,83,81,82,78,,
20,79,72,68,73,79,86,87,85,86,82,,
21,82,76,73,77,83,89,90,89,88,85,,
22,85,80,77,81,86,91,92,91,90,87,,
23,87,83,80,84,88,92,93,92,91,92,89,
24,89,85,83,86,89,93,94,93,92,90,,
Trạm Láng,,,,,,,,,,,,
1,82,87,86,88,87,84,86,87,85,82,80,79
2,83,88,86,89,87,86,87,88,86,83,81,80
3,83,88,87,89,88,87,88,89,87,84,82,81
4,84,88,87,89,88,87,88,90,88,85,83,81
5,84,88,87,90,89,88,89,90,88,86,83,82
6,84,88,90,89,88,89,91,89,86,84,82,
7,84,88,89,87,88,90,89,86,84,82,,
8,83,88,86,87,84,83,87,86,83,81,,
9,81,85,83,84,79,77,79,81,77,76,77,
10,78,81,80,75,73,75,76,75,71,72,,
11,75,77,76,71,69,71,73,72,67,68,,
12,72,74,68,65,68,70,69,64,63,64,,
13,71,72,71,66,63,66,68,67,62,61,62,
14,69,70,71,70,64,61,65,67,66,61,60,
15,69,70,63,61,64,67,65,61,59,60,,
16,69,71,64,61,65,67,66,62,60,,,
17,70,72,73,67,64,66,69,68,64,62,63,
18,73,75,76,71,67,70,72,71,68,66,,
19,75,78,80,75,72,74,76,75,71,70,69,
20,77,80,82,78,76,78,80,78,74,73,72,
21,78,82,84,81,78,80,82,80,77,75,74,
22,80,84,83,85,83,80,82,84,82,79,76,75
23,81,85,84,86,84,82,83,85,83,80,78,77
24,81,86,85,87,85,83,85,86,84,81,79,78
Trạm Lạng Sơn,,,,,,,,,,,,
1,89,87,90,91,93,94,95,94,92,90,86,
2,89,87,91,90,91,94,95,92,91,87,,
3,90,88,91,92,94,95,93,91,87,,,
4,90,88,91,92,95,96,95,93,91,87,,
5,90,89,92,93,95,96,95,93,91,87,,
6,90,89,92,93,95,96,95,93,91,87,,
7,90,89,92,91,93,94,95,93,91,87,,
8,89,87,90,87,85,87,88,90,89,87,84,
9,85,83,86,83,81,82,83,79,80,78,,
10,80,78,82,78,76,77,72,73,71,,,
11,75,73,78,75,73,68,66,,,,,
12,72,69,76,72,70,71,66,63,,,,
13,70,67,73,71,68,69,71,69,64,61,,
14,69,66,72,70,67,69,71,68,64,63,60,
15,68,65,72,70,67,70,71,69,65,64,60,
16,69,66,73,70,67,72,73,71,66,61,,
17,71,68,74,72,69,74,75,76,75,70,65,
18,76,73,78,76,73,78,80,81,78,73,,
19,81,78,82,80,79,84,86,87,84,83,78,
20,84,81,84,83,88,90,87,85,81,,,
21,85,83,86,85,89,90,92,91,89,87,83,
22,87,84,87,86,87,91,93,92,90,88,85,
23,88,85,88,92,94,93,91,89,86,,,
24,89,86,89,90,93,94,92,90,86,,,
Trạm Lào Cai,,,,,,,,,,,,
1,90,87,86,88,86,88,89,91,,,,
2,91,88,87,89,88,89,90,92,91,,,
3,91,89,88,90,89,90,91,92,93,92,,
4,92,90,89,90,92,93,92,,,,,
5,92,90,89,91,90,91,92,93,92,,,
6,93,91,90,91,92,93,94,93,,,,
7,93,91,92,90,91,92,93,,,,,
8,93,91,89,86,87,88,89,90,92,,,
9,90,88,86,84,80,82,83,84,85,86,89,
10,86,82,81,78,75,77,78,79,78,83,,
11,80,76,75,73,70,73,74,73,72,76,,
12,74,70,69,68,66,70,69,68,70,,,
13,70,66,64,63,67,68,66,67,66,65,66,
14,68,64,62,61,65,66,65,64,63,64,,
15,67,63,62,61,60,64,65,64,63,64,,
16,68,64,63,62,60,63,66,65,66,67,66,65
17,71,66,65,62,65,68,69,71,70,,,
18,76,70,69,66,68,71,72,75,76,,,
19,80,74,71,73,76,78,80,81,,,,
20,83,78,77,78,75,77,80,82,83,84,,
21,86,81,80,81,78,80,83,85,86,,,
22,87,83,82,83,81,83,86,87,88,,,
23,89,84,85,83,85,87,88,89,,,,
24,89,86,85,86,84,86,89,90,,,,
Trạm Mộc Hóa,,,,,,,,,,,,
1,87,89,90,91,92,93,92,90,89,88,85,
2,88,90,91,92,93,94,92,90,89,86,,
3,89,91,92,93,94,93,91,90,89,87,,
4,90,92,93,94,93,91,90,88,,,,
5,90,92,93,94,93,92,91,88,,,,
6,91,93,94,95,94,92,91,89,,,,
7,91,93,92,93,94,93,91,90,89,,,
8,87,88,86,84,85,87,88,86,85,84,,
9,79,78,75,74,78,80,81,79,81,80,78,77
10,71,69,66,72,74,73,76,74,72,,,
11,66,64,60,67,70,69,72,73,70,67,,
12,63,60,56,57,64,68,67,66,69,71,67,64
13,60,58,54,55,63,67,65,68,69,65,62,
14,59,56,52,55,63,68,65,68,64,60,,
15,58,55,52,56,64,69,67,69,68,63,59,
16,58,56,54,58,68,72,73,70,71,70,65,60
17,62,60,58,62,72,76,77,74,75,74,69,63
18,69,66,64,68,77,81,82,78,79,78,74,70
19,75,72,70,74,82,86,83,81,79,75,,
20,78,76,75,78,85,88,86,85,84,82,77,
21,81,80,81,87,90,88,87,85,84,79,,
22,83,84,85,88,90,91,89,87,85,81,,
23,85,86,87,90,91,92,90,88,87,86,82,
24,86,88,89,91,92,91,89,88,87,84,,
Trạm Mỹ Tho,,,,,,,,,,,,
1,88,87,88,90,91,92,91,89,,,,
2,88,89,91,92,91,92,90,,,,,
3,89,90,91,92,93,92,90,,,,,
4,90,89,90,92,93,92,93,91,,,,
5,90,91,92,93,92,93,91,,,,,
6,91,93,94,92,,,,,,,,
7,91,92,93,94,93,,,,,,,
8,87,85,83,81,83,85,86,87,86,,,
9,77,74,72,71,75,77,78,79,80,78,77,
10,70,66,64,69,71,72,74,73,71,70,,
11,65,61,60,59,64,68,70,69,67,66,,
12,61,58,57,62,66,65,68,67,64,62,,
13,59,55,56,61,66,68,67,63,61,,,
14,58,55,54,56,61,67,68,63,60,,,
15,58,55,57,64,69,70,65,61,,,,
16,60,57,59,68,73,71,72,73,69,64,,
17,64,61,62,63,72,75,77,78,74,69,,
18,71,68,69,77,79,81,82,80,75,,,
19,77,75,76,75,81,83,82,83,85,86,84,80
20,81,80,81,80,83,85,87,88,86,83,,
21,83,85,87,88,89,88,85,,,,,
22,85,84,85,87,88,89,90,89,87,,,
23,86,85,86,88,89,90,91,90,88,,,
24,87,86,87,89,90,91,88,,,,,
Trạm Nam Định,,,,,,,,,,,,
1,90,92,90,88,89,91,92,89,88,86,,
2,90,93,92,91,88,89,91,92,89,88,87,
3,90,91,93,91,89,90,91,92,90,89,87,
4,90,91,93,91,89,90,92,93,90,89,87,
5,91,93,92,90,91,92,93,91,89,87,,
6,90,91,93,91,90,91,92,93,91,89,87,
7,90,91,93,92,89,87,89,91,93,91,89,87
8,89,90,92,89,84,82,84,87,88,85,,
9,86,87,89,86,80,77,80,83,84,79,80,
10,82,83,86,83,75,72,76,79,80,73,75,74
11,78,80,84,80,73,69,73,76,77,70,,
12,76,77,82,78,70,67,71,74,75,67,68,67
13,74,75,80,77,69,65,69,73,74,66,65,
14,72,74,79,76,69,65,69,72,74,66,65,64
15,72,73,80,76,69,65,68,72,73,66,65,64
16,72,74,81,77,70,66,69,73,74,67,65,
17,75,76,82,79,73,69,71,75,76,71,70,67
18,78,80,85,83,77,73,74,78,80,75,72,
19,81,83,87,86,81,77,78,82,84,79,76,
20,84,85,89,88,84,81,85,86,81,78,,
21,85,86,90,89,86,83,84,87,88,83,80,
22,87,91,90,87,85,86,88,89,85,84,82,
23,88,91,89,86,87,89,90,86,83,,,
24,89,92,89,87,88,90,91,87,85,,,
Trạm Nha Trang,,,,,,,,,,,,
1,80,81,82,84,83,81,82,84,85,86,81,
2,81,82,83,85,83,82,83,85,86,87,82,
3,82,83,85,84,82,83,85,86,87,82,,
4,82,83,84,86,85,83,84,86,87,83,,
5,83,84,86,85,83,84,87,83,,,,
6,83,84,86,85,83,84,85,87,83,,,
7,82,83,82,83,81,79,80,81,84,85,86,82
8,77,76,73,72,73,74,77,79,82,79,,
9,73,72,70,72,70,69,70,72,74,79,76,
10,71,70,71,69,68,70,73,78,74,,,
11,71,70,69,67,68,70,73,78,74,,,
12,70,69,66,67,69,73,77,74,,,,
13,71,70,69,70,69,66,69,73,78,74,,
14,72,71,70,72,71,68,67,68,70,74,78,75
15,74,73,72,74,73,70,69,70,72,76,79,76
16,75,76,75,72,73,74,78,80,77,,,
17,77,78,79,77,74,75,77,79,81,78,,
18,78,79,80,81,78,77,76,77,79,80,82,79
19,78,79,81,82,80,77,78,80,82,79,,
20,78,79,81,82,80,78,79,81,83,79,,
21,78,79,81,82,80,78,79,81,82,83,79,
22,78,79,81,82,81,79,80,82,83,84,80,
23,78,79,81,82,79,80,81,83,84,80,,
24,79,80,81,83,82,80,81,83,84,85,81,
Trạm Ninh Bình,,,,,,,,,,,,
1,87,90,92,93,91,88,90,92,91,88,87,85
2,88,90,93,91,88,90,92,91,88,87,85,
3,88,90,93,92,89,91,92,91,88,87,85,
4,88,90,93,92,90,91,92,88,87,84,,
5,88,90,93,92,90,91,92,88,86,84,,
6,88,90,93,92,90,91,93,92,88,86,84,
7,88,91,92,93,90,87,89,91,88,86,84,
8,88,90,91,90,85,83,85,87,84,83,82,
9,85,87,89,87,81,78,81,83,79,77,,
10,81,84,87,84,77,73,77,79,74,75,74,
11,78,80,84,81,74,70,74,76,77,71,70,
12,76,77,82,79,72,68,72,74,75,68,69,67
13,74,75,80,78,70,66,70,73,74,67,65,
14,73,74,80,77,70,66,69,72,73,67,66,64
15,73,74,80,77,71,66,70,72,74,67,66,64
16,73,75,81,79,72,68,71,73,75,69,68,65
17,75,77,83,81,75,71,73,76,77,72,68,
18,79,80,85,84,79,75,76,80,82,77,76,72
19,81,83,87,84,79,80,85,86,81,80,76,
20,83,85,89,90,87,83,88,84,82,79,,
21,85,87,90,91,89,85,86,89,85,84,81,
22,86,88,91,92,90,86,87,90,87,85,82,
23,87,88,92,90,87,89,91,87,86,84,,
24,87,89,92,93,91,88,89,91,88,87,84,
Trạm Phan Thiết,,,,,,,,,,,,
1,77,79,82,85,86,88,89,88,84,79,,
2,78,77,79,83,85,86,89,86,81,,,
3,79,78,80,84,86,87,89,90,87,82,,
4,81,79,81,84,87,89,90,88,84,,,
5,82,80,81,85,87,88,89,90,89,85,,
6,83,81,82,85,88,89,90,91,89,86,,
7,84,81,82,83,85,86,88,89,88,85,,
8,78,75,74,75,77,80,82,83,84,83,80,79
9,70,67,68,70,72,75,77,78,79,77,73,71
10,66,65,67,69,70,71,74,73,75,74,70,67
11,66,67,68,69,71,73,69,67,,,,
12,67,68,70,69,71,73,70,68,,,,
13,69,70,72,71,72,73,74,71,69,,,
14,71,70,71,74,73,75,73,71,,,,
15,73,72,71,73,76,77,78,77,76,73,,
16,75,74,73,75,77,78,80,79,80,79,77,75
17,77,76,78,79,80,82,81,79,77,,,
18,79,78,80,81,82,85,83,80,78,,,
19,78,79,81,82,84,86,87,86,84,80,77,
20,76,77,79,81,82,85,87,84,80,76,,
21,75,76,78,81,82,85,87,84,80,75,,
22,75,76,78,81,83,85,87,85,81,76,,
23,76,78,81,83,85,88,87,88,86,82,77,
24,76,79,81,84,85,88,87,83,78,,,
Trạm Phù Liễn,,,,,,,,,,,,
1,90,93,95,94,93,92,93,94,93,89,86,
2,91,93,95,94,93,95,94,90,89,86,,
3,91,93,95,94,93,94,95,94,91,90,86,
4,91,94,95,93,94,95,91,90,86,,,
5,92,94,96,95,94,96,95,91,90,87,,
6,92,94,95,94,95,96,95,92,90,87,,
7,92,94,95,94,93,94,96,95,92,90,87,
8,91,93,94,93,90,88,90,93,92,88,85,
9,88,91,93,90,86,85,87,89,88,82,83,82
10,85,88,91,87,83,81,83,85,84,76,78,
11,82,85,88,85,80,78,81,83,82,73,75,74
12,79,82,87,84,79,76,79,81,71,73,72,
13,78,81,86,83,78,75,78,80,70,72,71,
14,77,80,86,82,78,75,77,79,70,72,70,
15,78,81,86,83,78,75,77,79,80,71,73,71
16,79,82,87,84,79,77,78,81,73,75,73,
17,82,84,89,86,81,79,80,82,83,77,79,76
18,85,87,91,89,85,83,85,86,81,83,81,
19,87,90,92,89,87,86,88,89,83,85,82,
20,88,91,93,91,88,89,90,85,86,83,,
21,89,91,94,93,92,89,90,91,85,86,84,
22,90,92,94,93,92,90,91,92,91,86,87,85
23,90,92,94,92,91,92,87,88,85,,,
24,91,93,94,93,92,93,92,88,85,,,
Trạm Phước Long,,,,,,,,,,,,
1,77,78,85,89,92,94,93,94,93,88,79,
2,79,80,81,86,90,92,94,95,94,89,81,
3,80,82,83,88,91,93,94,95,94,90,82,
4,81,83,85,89,92,93,95,90,83,,,
5,82,84,86,90,93,94,95,96,95,91,84,
6,83,86,87,90,93,94,95,96,95,91,85,
7,84,86,87,89,91,92,95,96,94,90,85,
8,78,80,81,82,84,86,88,89,90,85,81,78
9,69,71,72,74,77,81,82,83,78,73,70,
10,62,64,67,70,75,77,78,71,66,63,,
11,56,57,58,61,65,71,73,72,74,66,61,58
12,52,53,57,62,68,70,71,64,58,54,,
13,49,48,49,54,59,66,69,70,63,57,52,
14,47,45,46,52,58,66,69,68,70,63,57,51
15,46,44,46,51,59,67,70,69,72,66,59,51
16,47,44,46,53,62,69,73,71,75,69,62,53
17,50,46,49,57,66,73,76,75,80,75,67,58
18,55,51,54,63,72,78,80,79,84,81,73,63
19,60,57,60,69,78,82,85,88,85,78,68,
20,65,62,65,74,82,86,89,88,91,88,80,71
21,68,66,69,77,84,88,90,92,89,82,74,
22,71,69,71,79,86,89,92,91,93,90,84,75
23,73,72,73,81,87,90,93,92,93,91,85,77
24,75,74,76,82,88,91,93,94,92,87,78,
Trạm Pleiku,,,,,,,,,,,,
1,87,85,86,91,94,95,96,95,93,89,88,
2,88,86,88,92,95,96,93,90,89,,,
3,88,89,87,88,93,95,96,93,90,89,,
4,89,88,89,93,95,96,94,91,90,,,
5,89,90,88,90,94,96,94,91,90,,,
6,90,91,89,91,94,96,97,95,92,90,,
7,90,91,88,89,93,95,96,97,95,91,,
8,82,81,78,79,86,91,93,92,88,82,,
9,72,70,68,71,80,87,89,87,81,75,73,
10,63,60,64,75,83,85,83,75,70,66,,
11,57,54,60,71,79,82,79,71,66,62,,
12,54,50,56,67,76,80,79,76,68,64,59,
13,52,48,54,65,73,77,74,68,63,58,,
14,51,47,46,52,63,72,76,74,68,63,57,
15,52,47,46,52,62,71,76,75,70,65,59,
16,55,49,48,53,65,73,77,78,73,67,61,
17,59,53,51,57,69,76,80,81,82,78,70,66
18,67,60,58,64,75,82,85,86,87,83,76,72
19,74,70,66,72,81,88,90,91,87,81,78,
20,79,76,73,77,84,91,93,89,84,82,,
21,82,80,77,80,86,92,94,90,86,84,,
22,84,83,80,83,88,93,94,91,87,85,,
23,85,84,82,84,89,93,95,91,88,86,,
24,86,84,86,90,94,95,92,88,87,,,
Trạm Quảng Ngãi,,,,,,,,,,,,
1,92,91,88,86,87,91,93,92,,,,
2,92,89,87,88,92,93,94,92,,,,
3,93,92,90,88,89,92,93,94,93,,,
4,93,90,88,89,93,94,93,,,,,
5,93,91,89,90,93,94,93,,,,,
6,93,94,91,89,90,91,94,93,,,,
7,94,93,92,87,85,86,88,92,93,94,93,
8,91,89,87,82,77,75,77,79,84,87,89,90
9,86,82,78,74,69,67,69,71,77,81,84,86
10,80,76,72,68,63,61,63,64,71,76,80,81
11,77,72,69,66,61,58,59,60,67,74,78,79
12,75,71,68,65,60,57,58,59,67,73,77,78
13,74,70,68,64,60,57,58,60,67,73,77,
14,74,70,68,65,60,57,59,61,68,72,77,
15,75,71,69,67,63,60,62,63,70,74,78,
16,77,73,72,71,66,64,66,73,77,80,,
17,80,77,76,70,67,70,77,80,84,83,,
18,84,82,81,76,72,74,75,81,84,88,86,
19,87,86,85,84,80,76,79,85,87,89,88,
20,89,87,86,82,79,81,82,87,89,91,89,
21,90,88,87,83,81,83,84,88,90,91,90,
22,91,89,88,85,83,84,85,89,91,92,91,
23,91,90,89,86,84,85,86,90,91,92,91,
24,92,91,90,87,85,86,87,91,92,93,92,
Trạm Quy Nhơn,,,,,,,,,,,,
1,84,86,87,84,75,78,77,81,85,88,83,
2,84,86,87,84,75,78,77,82,85,88,84,
3,85,87,84,75,77,82,86,88,84,,,
4,85,87,88,85,75,77,83,86,88,84,,
5,85,87,88,85,75,77,83,86,88,84,,
6,86,88,85,75,77,78,84,86,89,84,,
7,85,86,88,86,81,72,74,75,81,84,88,84
8,82,80,74,67,69,76,80,84,82,,,
9,79,78,77,76,71,65,66,71,76,81,79,
10,76,74,73,70,63,64,68,73,79,77,,
11,73,72,70,62,63,66,72,77,75,,,
12,71,72,69,61,62,66,71,76,74,,,
13,71,70,71,70,61,63,62,66,71,76,73,
14,71,70,71,72,71,63,67,71,76,74,,
15,72,71,73,74,65,69,72,77,75,,,
16,73,75,77,76,68,69,68,71,74,79,76,
17,76,77,79,80,71,73,71,74,77,81,78,
18,79,80,82,83,82,74,76,74,77,80,83,80
19,81,82,84,85,83,76,78,75,79,81,84,81
20,82,84,85,84,76,78,76,80,82,85,82,
21,82,85,86,84,76,78,77,80,83,86,82,
22,83,82,85,86,84,75,78,77,81,83,86,82
23,83,85,86,84,75,78,77,81,84,87,83,
24,83,85,86,84,75,78,77,81,85,87,83,
Trạm Rạch Giá,,,,,,,,,,,,
1,86,85,86,87,88,85,,,,,,
2,87,88,87,86,87,88,86,,,,,
3,88,89,88,87,88,87,88,89,87,,,
4,89,90,89,88,87,88,89,88,,,,
5,89,91,90,89,88,87,88,89,90,88,,
6,90,91,90,88,89,88,89,90,89,,,
7,90,92,91,89,87,88,89,88,,,,
8,86,87,84,82,83,84,85,84,83,,,
9,79,80,76,75,79,82,83,82,83,80,78,77
10,73,74,69,70,75,80,81,80,81,77,74,73
11,70,69,64,67,73,78,79,75,71,70,,
12,68,66,62,65,72,77,78,73,69,67,,
13,66,64,60,64,72,77,78,73,67,66,,
14,65,62,59,64,73,77,78,77,78,73,67,65
15,64,61,60,65,74,77,78,79,74,68,65,
16,65,62,67,75,78,80,79,80,76,71,66,
17,67,63,65,70,77,80,81,78,74,68,,
18,71,67,68,73,79,81,82,83,81,78,72,
19,75,72,76,81,83,84,83,85,83,80,76,
20,77,74,78,82,83,84,85,84,82,78,,
21,80,77,79,82,84,86,85,84,80,,,
22,82,80,79,80,83,85,86,84,82,,,
23,83,82,81,82,84,85,87,86,85,83,,
24,85,84,83,85,86,87,86,84,,,,
Trạm Sa Pa,,,,,,,,,,,,
1,91,86,85,86,87,88,92,93,95,93,,
2,91,86,85,88,89,92,93,94,95,93,94,
3,92,87,88,89,90,92,94,95,93,94,,
4,92,87,88,89,90,93,94,95,94,,,
5,93,87,88,89,90,93,94,95,94,,,
6,93,88,87,88,89,91,93,95,96,94,95,
7,93,89,87,88,89,90,93,94,95,96,94,95
8,93,88,86,87,86,88,90,91,92,93,91,94
9,91,86,84,86,88,89,87,91,,,,
10,90,84,81,82,84,86,87,85,90,,,
11,88,82,79,81,83,85,86,83,88,,,
12,86,80,76,77,79,81,84,85,86,83,86,
13,85,79,74,76,77,80,83,84,86,82,85,
14,84,77,73,74,76,79,82,83,85,82,85,
15,84,77,72,73,75,78,82,83,86,82,85,
16,85,77,72,73,76,79,82,83,84,87,84,87
17,86,79,74,75,77,80,83,84,86,89,86,89
18,87,81,76,78,80,82,85,87,89,92,89,91
19,88,82,79,81,83,85,88,90,91,93,90,91
20,88,83,80,82,84,86,90,91,92,94,91,92
21,89,83,82,83,85,86,90,92,94,91,92,
22,90,84,83,85,87,91,92,93,94,91,92,
23,90,84,85,86,87,91,92,93,94,92,93,
24,91,85,86,88,91,93,95,92,93,,,
Trạm Sóc Trăng,,,,,,,,,,,,
1,89,88,89,91,92,93,92,89,,,,
2,90,89,90,92,93,94,93,92,90,,,
3,90,89,90,91,92,93,94,93,90,,,
4,91,90,91,92,93,94,93,91,,,,
5,91,90,92,93,94,93,91,,,,,
6,92,90,91,92,93,94,95,94,91,,,
7,92,91,92,93,94,93,92,,,,,
8,87,85,81,79,83,86,88,87,85,86,,
9,77,74,71,70,76,80,82,81,82,81,79,78
10,70,66,63,71,75,78,76,77,76,74,72,
11,65,61,59,67,73,74,73,74,72,70,68,
12,62,58,56,57,66,72,73,71,73,70,69,65
13,60,56,55,56,67,73,72,73,71,68,64,
14,60,55,57,68,74,75,74,75,72,69,64,
15,60,56,59,71,75,76,77,74,70,65,,
16,63,58,61,73,78,80,77,72,67,,,
17,67,62,64,76,80,81,82,80,76,72,,
18,73,69,68,70,80,83,84,85,86,84,81,77
19,79,76,77,84,86,87,88,87,84,81,,
20,83,81,80,81,86,88,89,90,89,87,83,
21,85,84,83,84,87,89,90,91,90,88,85,
22,86,85,89,90,91,92,91,89,86,,,
23,88,87,86,87,90,91,92,90,87,,,
24,89,88,87,88,90,92,93,92,91,88,,
Trạm Sơn La,,,,,,,,,,,,
1,90,87,83,86,91,93,94,93,91,90,,
2,92,88,85,87,88,92,93,94,92,91,,
3,92,89,86,88,89,92,94,95,94,92,91,
4,93,90,87,90,89,92,94,95,93,92,,
5,93,91,88,90,93,94,95,94,93,92,,
6,93,92,89,91,93,95,96,95,94,92,,
7,93,92,89,91,90,93,94,96,95,94,93,
8,93,91,88,85,88,90,92,91,92,,,
9,89,86,83,82,77,80,84,85,84,83,85,86
10,82,78,75,71,75,79,77,74,76,77,,
11,75,70,67,68,66,70,75,74,72,69,70,
12,70,63,61,63,69,74,71,69,65,66,,
13,65,58,57,59,61,69,73,70,67,63,62,
14,63,55,53,56,60,69,72,70,66,62,61,60
15,61,53,51,55,59,69,72,70,66,62,61,60
16,61,53,50,55,60,69,72,71,67,64,62,60
17,63,54,52,56,61,70,74,73,70,66,65,63
18,67,57,54,59,64,73,77,75,74,71,70,68
19,74,63,59,63,69,76,80,79,76,77,75,
20,80,70,66,70,74,80,84,85,83,80,81,80
21,83,75,71,75,78,84,88,86,84,85,83,
22,86,79,75,79,81,87,90,89,86,87,86,
23,88,82,78,82,83,89,91,90,88,89,87,
24,89,84,81,84,85,90,92,93,91,89,90,89
Trạm Sơn Tây,,,,,,,,,,,,
1,89,91,89,91,92,89,87,,,,,
2,90,91,92,91,89,91,93,92,90,88,,
3,90,92,90,92,93,91,90,88,,,,
4,91,92,93,92,91,92,94,93,91,90,89,
5,91,92,93,91,93,94,91,90,89,,,
6,91,92,93,92,94,92,91,89,,,,
7,91,93,94,93,91,93,94,92,91,89,,
8,91,90,92,90,88,86,88,90,88,,,
9,88,87,89,87,83,81,84,86,83,,,
10,83,82,85,83,79,77,80,81,76,78,77,
11,79,78,82,79,74,73,76,77,71,73,72,
12,75,74,78,76,71,70,74,73,68,69,68,
13,73,72,76,74,68,67,72,71,65,66,65,
14,71,70,74,73,67,65,70,71,70,63,65,64
15,70,74,73,66,65,70,63,64,63,,,
16,71,75,74,67,66,71,65,64,,,,
17,73,72,77,76,70,68,72,74,73,68,69,67
18,76,80,74,72,75,78,73,74,72,,,
19,80,83,84,80,77,80,82,83,79,77,,
20,83,82,86,83,82,84,86,82,83,81,,
21,85,84,88,86,84,86,88,85,83,,,
22,86,89,87,86,88,90,87,86,84,,,
23,88,87,90,89,87,89,91,88,87,85,,
24,88,90,89,88,90,91,88,86,,,,
Trạm Tam Đảo,,,,,,,,,,,,
1,90,92,93,92,89,92,90,86,87,85,,
2,90,92,93,92,88,89,92,91,90,86,87,86
3,91,92,93,92,89,91,90,86,87,86,,
4,91,93,92,89,88,92,91,90,86,87,86,
5,91,93,92,89,92,91,90,86,87,86,,
6,91,93,92,90,89,92,91,86,88,86,,
7,91,93,92,89,88,91,90,86,88,86,,
8,90,92,91,88,86,89,88,83,86,84,,
9,90,92,91,90,89,86,89,88,82,84,83,
10,89,92,91,90,89,87,89,88,82,84,83,
11,89,91,90,88,86,89,88,81,84,83,,
12,90,91,90,87,86,88,87,81,84,,,
13,90,91,89,85,87,86,80,84,83,,,
14,88,89,90,88,84,83,85,86,85,79,83,82
15,88,89,88,82,84,79,82,81,,,,
16,88,89,88,82,81,84,79,82,,,,
17,88,89,84,82,84,85,84,81,83,,,
18,90,91,87,84,86,87,85,83,85,84,,
19,90,92,91,92,90,86,89,88,87,84,85,84
20,90,92,90,88,90,89,85,86,84,,,
21,90,92,90,89,91,90,85,86,84,,,
22,90,92,93,92,89,92,91,90,86,87,85,
23,90,92,93,92,89,93,92,90,86,87,85,
24,90,92,93,92,89,92,90,86,87,85,,
Trạm Tây Ninh,,,,,,,,,,,,
1,82,85,86,89,91,93,94,89,84,,,
2,84,86,88,90,92,94,95,90,86,,,
3,85,88,89,91,93,94,95,91,87,,,
4,86,89,90,92,93,94,95,92,88,,,
5,87,89,91,93,94,95,96,93,89,,,
6,88,90,91,94,95,96,93,90,,,,
7,89,90,91,93,92,94,95,93,90,,,
8,84,85,83,84,86,88,87,89,88,85,83,
9,74,72,74,77,79,81,80,82,80,76,72,
10,65,64,66,70,73,75,74,76,75,69,65,
11,59,58,60,65,69,70,69,73,70,65,60,
12,55,54,57,62,66,67,70,68,62,57,,
13,52,51,54,60,65,67,66,70,67,60,54,
14,50,48,49,52,60,66,67,65,70,67,60,52
15,49,47,48,52,62,67,68,67,71,68,60,52
16,49,47,48,54,64,69,71,70,74,71,63,53
17,52,49,51,57,68,73,75,73,78,76,69,58
18,59,55,57,63,74,79,80,79,83,76,66,
19,67,63,64,70,79,84,85,87,88,82,73,
20,72,69,74,82,87,88,87,90,85,76,,
21,75,73,78,85,89,90,89,91,92,86,78,
22,76,77,81,87,90,91,92,93,86,79,,
23,78,80,81,84,88,91,92,93,87,81,,
24,81,82,83,87,89,92,93,94,88,83,,
Trạm Thái Bình,,,,,,,,,,,,
1,91,93,94,93,90,93,94,92,90,88,,
2,91,92,94,93,91,90,93,94,92,90,88,
3,91,92,94,91,93,94,92,90,88,,,
4,92,94,95,94,91,93,95,93,90,89,,
5,92,94,95,94,92,91,94,95,93,90,89,
6,92,94,95,94,92,91,94,95,93,90,89,
7,91,92,94,92,89,93,94,92,89,88,,
8,90,91,93,91,88,84,85,88,90,87,86,85
9,87,88,91,88,83,78,81,84,79,80,79,
10,83,85,88,85,80,74,78,80,73,74,,
11,79,82,86,83,77,71,75,78,77,69,71,69
12,77,80,85,82,76,69,72,77,76,67,69,67
13,75,78,84,81,76,68,71,76,75,66,68,65
14,74,77,83,80,75,68,71,75,66,68,64,
15,74,77,84,81,76,69,71,75,76,67,68,64
16,75,78,84,82,77,70,72,77,69,70,66,
17,78,80,86,84,80,73,74,79,80,75,74,70
18,82,83,88,87,84,78,77,83,85,81,80,76
