Trạm,Tháng,Năm
Trạm,1,2,3,4,5,6,7,8,9,10,11,12,Năm
1. Mường Tè,"0,8","0,3","0,0","0,2","0,1","0,4","1,1","3,4"
2. Sìn Hồ,"1,5","1,9","1,1","0,3","0,2","0,1","0,5","0,4","0,2","0,1","0,4","1,0","7,7"
3. Tam Đường,"0,1","0,0","0,1","0,0","0,2","0,7"
4. Than Uyên,"0,4","0,5","0,3","0,0","0,1","0,3","1,7"
5. Lai Châu,"2,8","0,9","0,6","0,3","0,0","0,1","0,4","0,5","1,7","3,4","10,8"
6. Tuần Giáo,"0,1","0,0","0,2","0,4","1,2"
7. Pha Đin,"0,9","0,5","0,7","0,1","0,2","0,1","0,5","0,9","5,4"
8. Điện Biên,"1,1","0,3","0,1","0,2","0,4","0,1","0,7","1,0","1,4","8,1"
9. Quỳnh Nhai,"0,5","0,4","0,1","0,0","0,3","0,4","0,7","3,6"
10. Sông Mã,"0,1","0,0","0,1","0,3","0,2","0,1","1,2"
11. Cò Nòi,"0,7","0,3","0,0","0,1","1,7"
12. Yên Châu,"0,1","0,0","0,3"
13. Bắc Yên,"0,8","0,4","0,3","0,0","0,1","0,0","0,4","1,9"
14. Phù Yên,"0,4","0,2","0,3","0,2","0,0","0,1","0,3","0,6","0,4","0,2","0,3","3,2"
15. Mộc Châu,"9,5","10,5","8,7","4,0","1,1","0,4","0,2","0,1","0,3","1,3","3,6","5,4","45,1"
16. Sơn La,"1,8","1,2","0,2","0,0","0,1","0,0","0,1","0,3","0,5","6,0"
17. Kim Bôi,"3,2","4,0","4,9","1,7","0,2","0,0","0,8","1,2","16,1"
18. Mai Châu,"1,4","1,2","1,3","0,5","0,1","0,0","0,1","0,5","1,2","1,1","7,5"
19. Chi Nê,"0,9","0,3","0,7","0,4","0,0","2,4"
20. Lạc Sơn,"3,2","3,6","4,3","2,0","0,1","0,0","0,5","1,3","15,1"
21. Hoàng Su Phì,"0,7","1,3","0,4","0,2","0,1","0,0","0,1","0,7","4,2"
22. Bắc Mê,"1,1","0,9","1,0","0,2","0,1","0,0","0,1","0,3","0,4","4,4"
23. Bắc Quang,"1,6","1,9","1,2","0,2","0,0","0,1","0,4","0,5","7,1"
24. Hà Giang,"2,7","3,7","2,5","1,6","0,1","0,0","0,5","1,1","12,4"
25. Phố Ràng,"0,6","1,0","0,7","0,6","0,0","0,2","0,1","3,4"
26. Bắc Hà,"9,4","10,1","6,8","3,2","0,6","0,1","0,0","0,4","1,6","3,4","5,5","41,1"
27. Sa Pa,"14,1","13,8","10,7","6,7","2,1","0,6","0,2","0,1","1,8","5,6","7,7","9,7","73,0"
28. Mù Căng Chải,"0,5","0,4","0,1","0,0","0,1","0,0","0,1","0,3","0,1","1,6"
29. Văn Chấn,"0,7","1,5","1,3","0,4","0,0","0,1","0,0","0,1","0,2","4,5"
30. Lục Yên,"5,8","8,0","7,7","4,5","0,4","0,0","0,1","0,0","0,3","1,4","2,3","30,4"
31. Yên Bái,"9,1","10,5","12,0","7,1","1,0","0,1","0,0","0,1","0,0","0,3","1,3","3,7","45,1"
32. Hàm Yên,"2,3","3,0","1,0","0,0","0,1","0,4","1,0","10,8"
33. Tuyên Quang,"3,9","4,1","4,5","1,6","0,0","0,1","0,5","1,1","15,9"
34. Chiêm Hóa,"2,7","3,0","2,2","0,8","0,0","0,1","0,5","9,2"
35. Chợ Rã,"2,1","2,0","2,6","0,8","0,0","0,2","0,3","0,7","9,1"
36. Ngân Sơn,"7,4","8,5","8,7","4,5","0,5","0,0","0,4","1,9","3,9","35,8"
37. Bắc Kạn,"2,0","2,8","4,9","1,8","0,0","0,4","1,0","13,0"
38. Định Hoá,"4,4","6,0","9,5","4,6","0,2","0,0","0,1","0,6","1,2","26,6"
39. Thái Nguyên,"2,3","4,0","5,1","2,6","0,0","0,3","0,5","14,8"
40. Minh Đài,"3,2","3,9","2,7","0,9","0,1","0,0","0,5","1,3","12,6"
41. Phú Hộ,"2,4","3,2","2,9","0,9","0,1","0,0","0,4","1,1","11,1"
42. Việt Trì,"3,6","5,2","5,3","2,4","0,1","0,0","0,1","0,5","1,3","18,5"
43. Tam Đảo,"7,9","9,4","5,1","1,3","0,4","0,2","0,1","0,3","1,6","3,7","39,3"
44. Vĩnh Yên,"4,0","4,8","6,7","2,3","0,0","0,4","0,8","19,0"
45. Bảo Lạc,"0,8","1,0","0,5","0,1","0,0","0,1","0,2","0,3","3,5"
