Hướng,Tháng,Giờ
Hướng,Tháng,6,7,8,9,10,11,12,13,14,15,16,17,18
Trạm Sơn La
Đông Nam,11,0,"37,9","89,3","117,2","129,4","129,8","121,5","107,2","88,9","67,9","44,1","16,2",0
Đông Nam,12,0,"27,9","79,7","108,1","120,9","122,0","114,4","100,7","82,9","62,2","38,8","11,5",0
Nam,1,0,"22,5","61,3","90,9","112,7","126,2","130,8","126,2","112,7","90,9","61,3","22,5",0
Nam,2,0,"28,7","62,0","89,1","109,7","122,6","127,0","122,6","109,7","89,1","62,0","28,7",0
Nam,3,0,"38,7","70,2","96,3","116,2","128,7","132,9","128,7","116,2","96,3","70,2","38,7",0
Nam,4,"8,8","36,5","62,0","84,3","101,6","112,7","116,5","112,7","101,6","84,3","62,0","36,5","8,8"
Nam,5,"20,2","51,5","78,1","100,4","117,4","128,2","131,9","128,2","117,4","100,4","78,1","51,5","20,2"
Nam,6,"27,0","59,1","85,8","107,8","124,5","135,1","138,7","135,1","124,5","107,8","85,8","59,1","27,0"
Nam,7,"26,3","61,5","89,9","113,1","130,7","141,8","145,6","141,8","130,7","113,1","89,9","61,5","26,3"
Nam,8,15,"52,7","83,3","108,5","127,7","139,7","143,9","139,7","127,7","108,5","83,3","52,7",15
Nam,9,0,"42,1","75,5","102,9","123,6","136,6","141,1","136,6","123,6","102,9","75,5","42,1",0
Nam,10,0,"35,0","72,0","101,1","122,9","136,4","141,0","136,4","122,9","101,1","72,0","35,0",0
Nam,11,0,"24,5","64,7","95,1","117,4","131,1","135,8","131,1","117,4","95,1","64,7","24,5",0
Nam,12,0,"18,3","58,7","89,0","111,0","124,6","129,2","124,6","111,0","89,0","58,7","18,3",0
Tây Nam,1,0,"14,8","41,7","64,9","85,5","103,3","117,0","124,8","124,0","111,7","84,3","34,7",0
Tây Nam,2,0,"21,6","46,5",68,"87,4","104,2","117,2","124,5","123,8","112,4","87,6","45,7",0
Tây Nam,3,0,"33,0","58,9","79,5","98,0","114,1","126,6","133,9","133,7","123,3","100,4","62,0",0
Tây Nam,4,"8,4","34,2","57,0","76,0","91,0","104,3","114,2","119,5","118,0","107,8","87,4","56,4","14,8"
Tây Nam,5,"20,2","50,6","75,3","95,2","109,9","122,0","131,6","136,9","135,8","126,4","106,8","75,7","31,5"
Tây Nam,6,"27,0","58,8","83,9","103,9","118,6","129,9","139,2","144,4","143,5","134,5","115,4","84,8","40,1"
Tây Nam,7,"26,3","60,6","86,8","107,4","122,5",135,"145,4","151,6","142,8","123,2","90,5","40,7"
Tây Nam,8,"14,5","49,6","76,6","97,9","114,2","129,1","141,2","148,7","149,2","139,9","118,4","82,0","25,3"
Tây Nam,9,0,"35,8","62,9","84,2","103,5","120,4","134,0","142,5","143,0","132,8","109,0","67,9",0
Tây Nam,10,0,"26,4","53,9","76,8","97,4","115,5","129,9","138,7","139,1","128,1","102,4","56,0",0
Tây Nam,11,0,"16,2","44,1","67,9","88,9","107,2","121,5","129,8","129,4","117,2","89,3","37,9",0
Tây Nam,12,0,"11,5","38,8","62,2","82,9","100,7","114,4","122,0","120,9","108,1","79,7","27,9",0
Tây,1,0,"14,8","41,0","61,2","75,9","85,8","94,6","101,1","103,2","97,3","77,6","34,1",0
Tây,2,0,"21,6","46,5","66,5","81,4","91,3","100,3","107,3","110,3","105,4","87,6","49,1",0
Tây,3,0,"33,0","58,9","79,5","94,9","105,1","114,9","123,4","128,1","125,4","109,7","73,4",0
Tây,4,"8,4","34,2","57,0","76,0","90,4","100,2","109,6","117,6","121,9","119,0","104,4","73,5","21,2"
Tây,5,"20,2","50,6","75,3","95,2","109,9","120,2","131,0","140,9","147,6","147,4","135,1","104,7","47,9"
Tây,6,"27,0","58,8","83,9","103,9","118,6","129,1","140,5","151,3","159,3","160,4","149,4","119,9","62,4"
Tây,7,"26,3","60,6","86,8","107,4","122,5","133,2","145,0","156,7","165,6","167,6","156,9","126,0","62,3"
Tây,8,"14,5","49,6","76,6","97,9","113,5","124,1","135,7","146,8","155,0","155,7","142,6","107,8","36,6"
Tây,9,0,"35,8","62,9","84,2","99,9","110,4","121,1","130,7","136,9","135,2","119,4","80,7",0
Tây,10,0,"26,4","53,9","75,1","90,6",101,"110,9","119,3","123,8","120,3","102,7","60,4",0
Tây,11,0,"16,2","43,4","64,0","79,0","89,1","98,2","105,1","107,8","102,3","82,6","37,3",0
Tây,12,0,"11,5","37,6","57,6","72,1","82,0","90,5","96,6","98,1","91,6","71,3","26,4",0
Tây Bắc,1,0
Tây Bắc,2,0
Tây Bắc,3,"23,1","38,0","5,7",0,"5,7","38,0","23,1"
Tây Bắc,4,"83,2","123,6","101,6","60,3","20,1",0,"20,1","60,3","101,6","123,6","83,2"
Tây Bắc,5,"121,2","168,8",150,"110,7","71,8","44,6","34,9","44,6","71,8","110,7","150,0","168,8","121,2"
Tây Bắc,6,"105,3","147,2","120,2","74,3","30,8",1,0,1,"30,8","74,3","120,2","147,2","105,3"
Tây Bắc,7,"37,9","56,7","15,2",0,"15,2","56,7","37,9"
Tây Bắc,8,0
Tây Bắc,9,0
Tây Bắc,10,0
Tây Bắc,11,0
Tây Bắc,12,0
Trạm Hà Nội
Bắc,1,0,"13,9","39,0","58,7","73,2","82,2","85,2","82,2","73,2","58,7",39,"13,9",0
Bắc,2,0,"19,2","42,1","61,2","75,7","84,7","87,7","84,7","75,7","61,2","42,1","19,2",0
Bắc,3,0,"29,4","52,7","71,5","85,6","94,8","97,9","94,8","85,6","71,5","52,7","29,4",0
Bắc,4,"13,1","46,0","70,1","88,8","102,5","110,9","113,8","110,9","102,5","88,8","70,1","46,0","13,1"
Bắc,5,"34,2","72,8","97,9","116,2","129,2","137,1","139,8","137,1","129,2","116,2","97,9","72,8","34,2"
Bắc,6,"40,8","78,9","103,8","121,7","134,3","142,0","144,5","142,0","134,3","121,7","103,8","78,9","40,8"
Bắc,7,"51,2","95,0","120,2","137,9","150,4","158,0","160,6","158,0","150,4","137,9","120,2","95,0","51,2"
Bắc,8,"27,8","75,0","102,2","121,6","135,5",144,"146,9","144,0","135,5","121,6","102,2","75,0","27,8"
Bắc,9,0,"44,7","72,6","93,4","108,5","118,3","121,6","118,3","108,5","93,4","72,6","44,7",0
Bắc,10,0,"25,0","51,4","72,3","87,7","97,1","100,3","97,1","87,7","72,3","51,4","25,0",0
Bắc,11,0,"15,8","42,4","62,8","77,7","86,9","90,0","86,9","77,7","62,8","42,4","15,8",0
Bắc,12,0,"12,2","38,9","59,1","73,8","82,8","85,8","82,8","73,8","59,1","38,9","12,2",0
Đông Bắc,1,0,"20,1","48,8","66,0","76,5","82,5","85,2","82,2","73,2","58,7","39,0","13,9",0
Đông Bắc,2,0,"29,7","56,1","72,2","81,7","86,4","87,7","84,7","75,7","61,2","42,1","19,0",0
Đông Bắc,3,0,"46,6","73,4","88,7","96,6","99,6","98,7","94,8","85,6","70,8","51,2","27,5",0
Đông Bắc,4,"22,3","72,0","99,0","112,8","118,3","118,6","115,1","108,3","98,7","83,8","63,8","39,4","10,1"
Đông Bắc,5,"55,0","110,3","136,4","147,4","149,6","146,5","140,0","130,9","118,7","103,8","83,4","57,6","24,2"
Đông Bắc,6,"63,9","117,6","143,3","153,8","155,2","151,2","143,9",134,"121,3","105,6","85,6","60,2","27,8"
Đông Bắc,7,"82,1","144,0","168,0","175,6","174,6","168,9","160,7","150,3","137,4","122,2","101,5","74,4","35,9"
Đông Bắc,8,"47,3","118,1","145,7","156,1","157,6","154,4","148,5","140,1","129,8","114,0","92,2","63,5","21,3"
Đông Bắc,9,0,"71,4","102,3","117,0","123,2","124,6","122,6","118,3","108,5","92,5","70,5","41,7",0
Đông Bắc,10,0,"38,9","69,1","85,8","94,9","99,3","100,3","97,1","87,7","72,3","51,4","24,7",0
Đông Bắc,11,0,"23,0","53,4","70,9","81,4","87,3","90,0","86,9","77,7","62,8","42,4","15,8",0
Đông Bắc,12,0,"17,1","47,7","65,5","76,4","82,8","85,8","82,8","73,8","59,1","38,9","12,2",0
Đông,1,0,"31,9","73,8","93,3","99,5","97,7","91,6","83,0","73,2","58,7","39,0","13,9",0
Đông,2,0,"43,2","79,3","97,0","102,5","100,3","93,9","85,3","75,7","61,2","42,1","19,0",0
Đông,3,0,"61,3","95,5","111,6","115,6","112,0","104,6","95,4","85,6","70,8","51,2","27,5",0
Đông,4,"25,5","84,5","116,9","131,1","133,1","127,7","118,9","108,8","98,7","83,8","63,8","39,4","10,1"
Đông,5,"57,3","119,2","149,6","160,7","159,5","151,5","140,6","129,2","118,7","103,8","83,4","57,6","24,2"
Đông,6,"64,2","122,8","152,3","163,1","161,7","153,5","142,4","130,9","120,4","105,6","85,6","60,2","27,8"
Đông,7,"85,0","154,9","183,4","190,8","185,7","174,3","160,9","148,1","137,4","122,2","101,5","74,4","35,9"
Đông,8,"53,6","138,0","171,7","181,4","177,3","166,4","153,3","140,7","129,8","114,0","92,2","63,5","21,3"
Đông,9,0,"94,1","133,8","148,4","148,6","141,1","130,4","119,2","108,5","92,5","70,5","41,7",0
Đông,10,0,"56,7","97,9","115,8","119,7","115,7","107,6","97,9","87,7","72,3","51,4","24,7",0
Đông,11,0,"36,3","80,6","100,3","106,0","103,6","96,8","87,8","77,7","62,8","42,4","15,8",0
Đông,12,0,"28,0","73,7","94,0","100,4","98,6","92,4","83,7","73,8","59,1","38,9","12,2",0
Đông Nam,1,0,"32,6","80,1","107,1","119,5","120,6","113,2","99,8","82,4","62,3","39,7","13,9",0
Đông Nam,2,0,"40,2","79,3","103,4","114,9","116,2","109,5","97,3","81,2","62,6","42,1","19,0",0
Đông Nam,3,0,"51,7","87,3","109,7","120,4","121,5","115,1","103,5","88,4","70,8","51,2","27,5",0
Đông Nam,4,"17,7","64,8","97,8","118,7","128,7","129,7","123,8","113,2","99,4","83,8","63,8","39,4","10,1"
Đông Nam,5,"37,6","86,2","118,2","137,6","146,6","147,0","141,2","131,1","118,7","103,8","83,4","57,6","24,2"
Đông Nam,6,"41,3","86,8","117,6","136,6","145,6","146,3","141,0","131,7","120,4","105,6","85,6","60,2","27,8"
Đông Nam,7,"55,5","111,2","143,9","162,3","169,7","168,5","161,2","150,1","137,4","122,2","101,5","74,4","35,9"
Đông Nam,8,"37,1","104,9","142,4","162,8","170,5","168,4","159,5","146,3","130,6","114,0","92,2","63,5","21,3"
Đông Nam,9,0,"79,2","122,1","145,7","155,1","153,6","144,3","129,8","112,3","92,5","70,5","41,7",0
Đông Nam,10,0,"52,5","97,5","123,2","134,3","125,9","111,9","94,2","73,9","51,4","24,7",0
Đông Nam,11,0,"36,9","87,2","114,9","127,1","127,7","119,6","105,5","87,4","66,6","43,1","15,8",0
Đông Nam,12,0,"29,5","82,3","110,8","123,5","124,4","116,6","102,7","84,7","63,8","40,2","12,2",0
Nam,1,0,"21,1","58,2","87,1","108,6","121,9","126,4","121,9","108,6","87,1","58,2","21,1",0
Nam,2,0,"25,2","56,0","82,0","101,8","114,4","118,7","114,4","101,8","82,0","56,0","25,2",0
Nam,3,0,"32,3","61,1","85,7","104,6","116,7","120,8","116,7","104,6","85,7","61,1","32,3",0
Nam,4,"10,5","41,9","69,4","92,8","110,8","122,2","126,1","122,2","110,8","92,8","69,4","41,9","10,5"
Nam,5,"24,2","58,6","86,4","109,3","126,7","137,7","141,4","137,7","126,7","109,3","86,4","58,6","24,2"
Nam,6,"27,8","60,5","87,4","109,5","126,3","136,9","140,5","136,9","126,3","109,5","87,4","60,5","27,8"
Nam,7,"35,9","75,6","105,0","128,6","146,4","157,5","161,3","157,5","146,4","128,6",105,"75,6","35,9"
Nam,8,"22,0","67,4","100,2","126,3","145,9","158,2","162,4","158,2","145,9","126,3","100,2","67,4","22,0"
Nam,9,0,"49,1","84,6","112,8",134,"147,2","151,7","147,2",134,"112,8","84,6","49,1",0
Nam,10,0,"32,8","68,6","97,2","118,6","132,0","136,6","132,0","118,6","97,2","68,6","32,8",0
Nam,11,0,"23,8","63,2","93,2","115,3","128,9","133,5","128,9","115,3","93,2","63,2","23,8",0
Nam,12,0,"19,4","60,6","91,2","113,4","127,0","131,6","127,0","113,4","91,2","60,6","19,4",0
Tây Nam,1,0,"13,9","39,7","62,3","82,4","99,8","113,2","120,6","119,5","107,1","80,1","32,6",0
Tây Nam,2,0,"19,0","42,1","62,6","81,2","97,3","109,5","116,2","114,9","103,4","79,3","40,2",0
Tây Nam,3,0,"27,5","51,2","70,8","88,4","103,5","115,1","121,5","120,4","109,7","87,3","51,7",0
Tây Nam,4,"10,1","39,4","63,8","83,8","99,4","113,2","123,8","129,7","128,7","118,7","97,8","64,8","17,7"
Tây Nam,5,"24,2","57,6","83,4","103,8","118,7","131,1","141,2","147,0","146,6","137,6","118,2","86,2","37,6"
Tây Nam,6,"27,8","60,2","85,6","105,6","120,4","131,7","141,0","146,3","145,6","136,6","117,6","86,8","41,3"
Tây Nam,7,"35,9","74,4","101,5","122,2","137,4","150,1","161,2","168,5","169,7","162,3","143,9","111,2","55,5"
Tây Nam,8,"21,3","63,5","92,2","114,0","130,6","146,3","159,5","168,4","170,5","162,8","142,4","104,9","37,1"
Tây Nam,9,0,"41,7","70,5","92,5","112,3","129,8","144,3","153,6","155,1","145,7","122,1","79,2",0
Tây Nam,10,0,"24,7","51,4","73,9","94,2","111,9","125,9","134,3","123,2","97,5","52,5",0
Tây Nam,11,0,"15,8","43,1","66,6","87,4","105,5","119,6","127,7","127,1","114,9","87,2","36,9",0
Tây Nam,12,0,"12,2","40,2","63,8","84,7","102,7","116,6","124,4","123,5","110,8","82,3","29,5",0
Tây,1,0,"13,9","39,0","58,7","73,2","83,0","91,6","97,7","99,5","93,3","73,8","31,9",0
Tây,2,0,"19,0","42,1","61,2","75,7","85,3","93,9","100,3","102,5","97,0","79,3","43,2",0
Tây,3,0,"27,5","51,2","70,8","85,6","95,4","104,6","112,0","115,6","111,6","95,5","61,3",0
Tây,4,"10,1","39,4","63,8","83,8","98,7","108,8","118,9","127,7","133,1","131,1","116,9","84,5","25,5"
Tây,5,"24,2","57,6","83,4","103,8","118,7","129,2","140,6","151,5","159,5","160,7","149,6","119,2","57,3"
Tây,6,"27,8","60,2","85,6","105,6","120,4","130,9","142,4","153,5","161,7","163,1","152,3","122,8","64,2"
Tây,7,"35,9","74,4","101,5","122,2","137,4","148,1","160,9","174,3","185,7","190,8","183,4","154,9","85,0"
Tây,8,"21,3","63,5","92,2","114,0","129,8","140,7","153,3","166,4","177,3","181,4","171,7","138,0","53,6"
Tây,9,0,"41,7","70,5","92,5","108,5","119,2","130,4","141,1","148,6","148,4","133,8","94,1",0
Tây,10,0,"24,7","51,4","72,3","87,7","97,9","107,6","115,7","119,7","115,8","97,9","56,7",0
Tây,11,0,"15,8","42,4","62,8","77,7","87,8","96,8","103,6",106,"100,3","80,6","36,3",0
Tây,12,0,"12,2","38,9","59,1","73,8","83,7","92,4","98,6","100,4","94,0","73,7","28,0",0
Tây Bắc,1,0
Tây Bắc,2,0
Tây Bắc,3,"27,8","44,2","7,5",0,"7,5","44,2","27,8"
Tây Bắc,4,"99,7","141,4","114,0","67,8","24,3",0,"24,3","67,8","114,0","141,4","99,7"
Tây Bắc,5,"125,0","173,6","154,4","114,6","75,4","48,1","38,4","48,1","75,4","114,6","154,4","173,6","125,0"
Tây Bắc,6,"144,0","181,8","142,2","86,9","37,4","4,3",0,"4,3","37,4","86,9","142,2","181,8","144,0"
Tây Bắc,7,"55,6","73,3","19,8",0,"19,8","73,3","55,6"
Tây Bắc,8,0
Tây Bắc,9,0
Tây Bắc,10,0
Tây Bắc,11,0
Tây Bắc,12,0
Trạm Vinh
Bắc,1,0,"18,2","44,9","65,4","80,4","89,7","92,8","89,7","80,4","65,4","44,9","18,2",0
Bắc,2,0,"21,9","45,9","65,8","80,7","89,9","93,1","89,9","80,7","65,8","45,9","21,9",0
Bắc,3,0,"25,8","47,6","65,8","79,6","88,2","91,3","88,2","79,6","65,8","47,6","25,8",0
Bắc,4,"8,9","37,5","60,3","78,4","91,9","100,3","103,1","100,3","91,9","78,4","60,3","37,5","8,9"
Bắc,5,"27,5","66,4","92,4","111,5","125,0","133,3","136,1","133,3",125,"111,5","92,4","66,4","27,5"
Bắc,6,"34,3","73,7","99,8","118,6","131,9","139,9","142,6","139,9","131,9","118,6","99,8","73,7","34,3"
Bắc,7,"28,9","68,5","95,0","114,2","127,8","136,1","138,9","136,1","127,8","114,2",95,"68,5","28,9"
Bắc,8,"13,2","49,3","75,2","94,8",109,"117,8","120,7","117,8",109,"94,8","75,2","49,3","13,2"
Bắc,9,0,"31,6","56,2","75,7","90,4","99,4","102,6","99,4","90,4","75,7","56,2","31,6",0
Bắc,10,0,"24,1","49,3","69,9","85,2","94,6","97,8","94,6","85,2","69,9","49,3","24,1",0
Bắc,11,0,"18,3","44,9","65,5","80,6","89,8","92,9","89,8","80,6","65,5","44,9","18,3",0
Bắc,12,0,"9,7","29,9","47,1","60,2","68,5","71,3","68,5","60,2","47,1","29,9","9,7",0
Đông Bắc,1,0,"26,2","56,3","74,0","84,5","90,3","92,8","89,7","80,4","65,4","44,9","18,2",0
Đông Bắc,2,0,"33,8","61,5","78,2","87,7","92,3","93,1","89,9","80,7","65,8","45,9","21,6",0
Đông Bắc,3,0,"40,9","66,6","82,0","90,3","93,4","92,4","88,2","79,2","64,8","46,1","24,0",0
Đông Bắc,4,"15,2","58,7","85,2","99,8","106,4","107,3","104,1","97,3","87,6","73,2","54,3","31,8","6,8"
Đông Bắc,5,"44,3","100,6","128,8","141,5","144,8","142,1","135,7","126,2","113,6","98,1","77,6","51,8","19,3"
Đông Bắc,6,"53,8","109,8","137,8","149,9","152,3","148,7","141,2","130,9","117,6","101,3","81,0","55,5","23,1"
Đông Bắc,7,"46,4","103,9","132,8","145,5","148,4","145,3","138,3","128,4","115,5","99,7","79,1","53,0","20,1"
Đông Bắc,8,"22,6","77,6","107,3","121,9","127,1","126,4","121,8","113,9","103,3","87,8","67,0","41,4","10,1"
Đông Bắc,9,0,"50,5","79,3","95,3","103,1","105,5","103,9","99,4","89,9","74,6","54,2","29,4",0
Đông Bắc,10,0,"37,4","66,6","83,5","92,9","97,2","97,8","94,6","85,2","69,9","49,3","23,8",0
Đông Bắc,11,0,"26,5","56,6","74,3","84,8","90,5","92,9","89,8","80,6","65,5","44,9","18,3",0
Đông Bắc,12,0,"13,5","36,6","52,4","62,7","68,6","71,3","68,5","60,2","47,1","29,9","9,7",0
Đông,1,0,"41,2","84,1","103,2","108,7","106,3","99,6","90,6","80,4","65,4","44,9","18,2",0
Đông,2,0,"48,9","86,0","103,7","108,9","106,3","99,5","90,6","80,7","65,8","45,9","21,6",0
Đông,3,0,"53,3","85,6","101,9","106,7","104,1","97,5","88,8","79,2","64,8","46,1","24,0",0
Đông,4,"17,3","68,5","99,4","114,5","118,0","114,2","106,6","97,4","87,6","73,2","54,3","31,8","6,8"
Đông,5,"46,0","107,9","139,5","152,0","152,1","145,0","134,8","123,7","113,2","98,1","77,6","51,8","19,3"
Đông,6,"53,9","113,8","144,7","156,6","156,2","148,7","138,1","126,8","116,2","101,3","81,0","55,5","23,1"
Đông,7,"47,9","110,8","143,2","155,8","155,4","147,8",137,"125,6","114,9","99,7","79,1","53,0","20,1"
Đông,8,"25,5","90,1","124,9","139,6","141,0","134,5","124,6","113,8","103,3","87,8","67,0","41,4","10,1"
Đông,9,0,"66,1","102,6","119,3","122,8","118,3","110,0","100,1","89,9","74,6","54,2","29,4",0
Đông,10,0,"54,1","93,4","111,4","115,9","112,4","104,8","95,4","85,2","69,9","49,3","23,8",0
Đông,11,0,"41,6","84,6","103,8","109,3","106,7","99,8","90,7","80,6","65,5","44,9","18,3",0
Đông,12,0,"21,9","55,9","74,2","81,5","81,3","76,6","69,3","60,2","47,1","29,9","9,7",0
Đông Nam,1,0,"41,8","90,5","117,0","128,5","128,9",121,"107,3","89,6","68,9","45,6","18,2",0
Đông Nam,2,0,"45,2","85,1","109,1","120,2","121,2","114,4","102,0","85,9","67,0","45,9","21,6",0
Đông Nam,3,0,"44,7","77,5","98,8","109,5","111,2","105,8","95,3","81,3","64,8","46,1","24,0",0
