Cấp công trình,Chất lượng sử dụng,Chất lượng xây dựng công trình — Niên hạn sử dụng,Chất lượng xây dựng công trình — Bậc chịu lửa
Cấp I,Cao,100 năm,Bậc I
Cấp II,Tương đối cao,trên 50 năm đến dưới 100 năm,Bậc I hoặc bậc II
Cấp III,Khá,20 năm đến 50 năm,Bậc II hoặc bậc III
Cấp IV,Trung bình (đạt yêu cầu sử dụng),dưới 20 năm,Bậc III hoặc bậc IV
