Loại thư viện,Số lượng vốn tài liệu tối thiểu ban đầu — Số lượng bản sách,"Số lượng vốn tài liệu tối thiểu ban đầu — Số báo, tạp chí"
"&nbsp;&nbsp;\- Thư viện của cơ quan nhà nước, tổ chức chính trị, tổ chức chính trị - xã hội, tổ chức xã hội, tổ chức xã hội - nghề nghiệp, tổ chức kinh tế, đơn vị sự nghiệp.",,
&nbsp;&nbsp;&nbsp;&nbsp;\+ Cấp Trung ương,10 000,20
&nbsp;&nbsp;&nbsp;&nbsp;\+ Cấp cơ sở,2 000,5
