Loại trụ điện,"Độ lún của khối móng độc lập, cm",Độ nghiêng của móng đơn,"Độ lún trung bình, cm"
"1. Trụ thẳng trung gian, loại bình thường","0,003B","0,003",Không quy định
"2. Trụ neo bình thường và neo góc có kéo lệch và không lệch, trụ trung gian ở góc và trụ vòng, giả thiết bị phân phối điện ngoài trời","0,002 5B","0,002 5",Như trên
3. Trụ chuyên đặc biệt,"0,002B","0,002",20
