Các giới hạn của tỷ số m' = 2 X H/b<br>m' = 2 X H/r,Hệ số M
"0< m’ ≤0,5","1,0"
"0,5< m’ ≤1","0,95"
1<m’ ≤2,"0,90"
2< m’ ≤3,"0,80"
3< m’ ≤5,"0,75"
