Tiêu chuẩn để chia đất đắp,Các loại đất đắp và các đặc trưng của đất
A. Theo phương pháp đắp,1. Đắp bằng phương pháp khô (dùng trong giao thông đường bộ hoặc đường sắt bằng máy ủi hoặc máy cạp).<br>2. Đắp ướt (bằng cơ giới hóa thủy lực).
B. Theo sự đồng nhất về thành phần và cấu trúc,"1. Đất đắp theo kế hoạch xây dựng (đất đắp ngược) và đất thay thế (đệm). Loại đất này đặc trưng bằng thành phần và cấu trúc đồng nhất, tính chịu nén đều.<br>2. Các bãi thải đất và các phế liệu sản xuất. Loại đất này có thành phần và cấu trúc đồng nhất nhưng độ chặt và tính chịu nén không đều.<br>3. Đất đánh đồng, phế liệu sản xuất và rác sinh hoạt. Loại này không đồng nhất về thành phần và cấu trúc, độ chặt và tính chịu nén không đều có chứa tạp chất hữu cơ."
C. Theo nguồn gốc vật liệu chiếm phần chính của đất đắp,"1. Đất tự nhiên: đất hòn lớn, đất cát, đất sét.<br>2. Phế liệu sản xuất: xỉ, tro, đất tạo mẫu vật thải của nhà máy làm giàu nguyên liệu...<br>3. Chất thải trong sinh hoạt."
D. Theo độ chặt do trọng lượng bản thân gây ra,1. Đã ổn định quá trình nén chặt do trọng lượng bản thân gây ra đã kết thúc.<br>2. Chưa ổn định quá trình nén chặt do trọng lượng bản thân gây ra còn tiếp diễn.
