Loại trụ điện,Hệ số tin cậy
"&nbsp;&nbsp;\- Trụ điện thẳng, trung gian, loại bình thường","1,0"
"&nbsp;&nbsp;\- Trụ thẳng bình thường, neo không có kéo lệch","1,2"
"&nbsp;&nbsp;\- Neo góc bình thường, trung gian, góc vành khuyên, neo có kéo lệch và giả thiết bị phân phối điện ngoài trời","1,3"
&nbsp;&nbsp;\- Trụ chuyển đặc biệt,"1,7"
