Loại nhà,Các phương án điều kiện địa chất không cần tính lún đối với nhà nêu ở cột 1
1,2
"A - Nhà sản xuất của các xí nghiệp công nghiệp<br>1 - Nhà một tầng có kết cấu chịu lực ít nhạy, lún không đều (ví dụ như khung thép hoặc bê-tông trên móng đơn với gối tựa khớp của sàn và thanh giằng ... Và gồm cả cần trục có sức nâng 50 T.<br>2 - Nhà nhiều tầng (đến 6 tầng) có lưới cột không quá 6 m x 9 m.<br>B - Nhà ở và nhà công cộng<br>Nhà có dạng chữ nhật trên mặt bằng không có bước nhảy theo chiều cao, khung hoàn toàn hoặc không khung có tường chịu lực bằng gạch bằng khối lớn hoặc tấm lớn.<br>a) Dài gồm nhiều đơn nguyên cao đến 9 tầng.<br>b) Nhà kiểu tháp không toàn khối cao đến 14 tầng.<br>C - Nhà và công trình sản xuất nông nghiệp<br>Một và nhiều tầng không phụ thuộc và sơ đồ kết cấu và hình dạng trên mặt bằng.","1 - Đất hòn lớn có hàm lượng cát ít hơn 40 % và sét ít hơn 30 %.<br>2 - Cát có độ thô bất kỳ, trừ cát bụi, chặt và chặt vừa.<br>3 - Cát có độ thô bất kỳ nhưng chặt.<br>4 - Cát có độ thô bất kỳ nhưng chặt vừa.<br>5 - Á cát, á sét và sét ở chỉ số sệt $I_{s}$ < 0,5 và hệ số rỗng e trong khoảng từ 0,4 đến 0,9.<br>6 - Như điểm 5 trên, nhưng hệ số rỗng e trong khoảng từ 0,5 đến 1,0.<br>7- Đất cát có e < 0,7 kết hợp với đát sét nguồn gốc mô ren có e < 0,7 và $I_{s}$ < 0,5 không phụ thuộc vào thứ tự thế nằm của đất."
