Loại đá,Chỉ số
A. Theo sức chống nén tức thời một trục<br>Rất bền<br>Bền<br>Bền vừa<br>Ít bền<br>Đá nửa cứng,$R_{n}$ (MPa)<br>$R_{n}$ > 120<br>120 000 ≥ $R_{n}$ > 50<br>50 000 ≥ $R_{n}$ > 15<br>15 000 ≥ $R_{n}$ > 5<br>$R_{n}$ < 5
B. Theo hệ số hóa mềm trong nước $K_{m}$<br>Không hóa mềm được<br>Hóa mềm được,"$K_{m}$ ≥ 0,75<br>$K_{m}$ < 0,75"
C. Theo độ phong hóa $K_{ph}$<br>Không phong hóa (nguyên khối)<br>Phong hóa yếu (bị nứt nẻ)<br>Phong hóa<br>Phong hóa mạnh (rời rạc),"Đá cứng nằm thành từng khối Iiên tục $K_{ph}$ = 1<br>Đá cứng nằm thành từng đoạn không lẫn nhau (từng tảng)<br>1 > $K_{ph}$ ≥ 0,9<br>Đá cứng nằm thành từng đám chuyển sang đá nứt nẻ<br>0,9 > $K_{ph}$ ≥ 0,8<br>Đá cứng nằm trong toàn khối ở dạng rời $K_{ph}$ < 0,8"
