Loại đất đắp,"Khối lượng thể tích của đất đắp, T/m³ — 1,55","Khối lượng thể tích của đất đắp, T/m³ — 1,7"
"Cát, trừ cát bụi ẩm và no nước","0,5","0,8"
"Đất sét có chỉ số sệt $I_{s}$ < 0,5","0,4","0,6"
