Loại đất cát,Ký hiệu các đặc trưng,"Đặc trưng của đất ứng với hệ số rỗng e — 0,45","Đặc trưng của đất ứng với hệ số rỗng e — 0,55","Đặc trưng của đất ứng với hệ số rỗng e — 0,65","Đặc trưng của đất ứng với hệ số rỗng e — 0,75"
,$c^{tc}$,2,1,-,-
Cát lẫn sỏi và cát thô,$^{tc}$<br>E,43<br>50 000,40<br>40 000,38<br>30 000,-<br>-
,$c^{tc}$,3,2,-,-
Cát thô vừa,$^{tc}$<br>E,40<br>50 000,35<br>40 000,38<br>30 000,-<br>-
,$c^{tc}$,6,4,2,-
Cát mịn,$^{tc}$<br>E,38<br>40 000,36<br>38 000,32<br>28 000,28<br>18 000
,$c^{tc}$,8,6,4,2
Cát bụi,$^{tc}$<br>E,36<br>39 000,34<br>28 000,30<br>18 000,26<br>11 000
