Hệ số,"Hệ số $k_{l}$ và $k_{b}$ ứng với tỷ số các cạnh của móng chữ nhật n=l/b bằng — 1,0","Hệ số $k_{l}$ và $k_{b}$ ứng với tỷ số các cạnh của móng chữ nhật n=l/b bằng — 1,4","Hệ số $k_{l}$ và $k_{b}$ ứng với tỷ số các cạnh của móng chữ nhật n=l/b bằng — 1,8","Hệ số $k_{l}$ và $k_{b}$ ứng với tỷ số các cạnh của móng chữ nhật n=l/b bằng — 2,4","Hệ số $k_{l}$ và $k_{b}$ ứng với tỷ số các cạnh của móng chữ nhật n=l/b bằng — 3,2","Hệ số $k_{l}$ và $k_{b}$ ứng với tỷ số các cạnh của móng chữ nhật n=l/b bằng — 5,0"
$k_{l}$,"0,55","0,71","0,83","0,97","1,1","1,44"
$k_{b}$,"0,50","0,39","0,33","0,25","0,19","0,13"
