Loại đất,"Đất cấu trúc tự nhiên tương ứng với khối lượng thể tích hạt, $_{k}$, T/m³ — 1,35","Đất cấu trúc tự nhiên tương ứng với khối lượng thể tích hạt, $_{k}$, T/m³ — 1,55","Đất đầm chặt tương ứng với khối lượng thể tích hạt, $_{k}$, kPa — 160","Đất đầm chặt tương ứng với khối lượng thể tích hạt, $_{k}$, kPa — 170"
Á cát,"3,0<br>1,5","3,5<br>1,3",200,250
Á sét,"3,5<br>1,8","4,0<br>2,0",250,300
