Phương pháp đầm đất đắp lại,Khối lượng thể tích đất đắp lại $^{tc}_{d}$ (T/m³) — Ở độ ẩm tự nhiên,Khối lượng thể tích đất đắp lại $^{tc}_{d}$ (T/m³) — Có kể đến tác dụng đẩy nổi của nước
Đầm cơ giới,"1,7","$\frac{1,1}{0,9}$"
Đầm tay,"1,7","$\frac{1,0}{0,8}$"
