LOẠI ĐẤT,Khối lượng thể tích,Góc ma sát trong,Lực dính đơn vị
Đất cát,"1,0","1,1","4,0"
"Á cát có chỉ số sệt $I_{s}$ ≤ 0,25, á sét và sét có chỉ số sệt $I_{s}$ ≤ 0,5","1,0","1,1","2,4"
"Á cát có chỉ số sệt $I_{s}$ > 0,25, á sét và sét có $I_{s}$ > 0,5","1,0","1,1","3,3"
