(Z+h)/B,Hệ số $m_{n}$ ứng với tỷ số chiều dài và chiều rộng của diện tích thấm ướt L/B — 1,Hệ số $m_{n}$ ứng với tỷ số chiều dài và chiều rộng của diện tích thấm ướt L/B — 2,Hệ số $m_{n}$ ứng với tỷ số chiều dài và chiều rộng của diện tích thấm ướt L/B — 3,Hệ số $m_{n}$ ứng với tỷ số chiều dài và chiều rộng của diện tích thấm ướt L/B — 4,Hệ số $m_{n}$ ứng với tỷ số chiều dài và chiều rộng của diện tích thấm ướt L/B — 5
"0,5",0,0,0,0,0
1,"0,58","0,50","0,43","0,36","0,29"
2,"0,81","0,70","0,61","0,50","0,40"
3,"0,94","0,82","0,71","0,59","0,47"
4,"1,02","0,89","0,77","0,64","0,53"
5,"1,07","0,94","0,82","0,69","0,57"
