Loại đất hòn lớn và đất cát,Phân bố của hạt theo độ lớn tính bằng phần trăm trọng lượng của đất hong khô
1,2
A. Đất hòn lớn<br>Đất tảng lăn (khi có hạt sắc cạnh gọi là địa khối)<br>Đất cuội (khi có hạt sắc cạnh gọi Ià đất dăm)<br>Đất sỏi (khi có hạt sắc cạnh gọi là đất sạn),Trọng lượng của các hạt lớn hơn 200 mm chiếm trên 50 %<br>Trọng lượng các hạt lớn hơn 10 mm chiếm trên 50 %<br>Trọng lượng các hạt lớn hơn 2 mm chiếm trên 50 %
B. Đất cát<br>Cát sỏi<br>Cát thô<br>Cát thô vừa<br>Cát mịn<br>Cát bụi,"Trọng lượng các hạt lớn hơn 2 mm chiếm trên 25 %<br>Trọng lượng các hạt lớn hơn 0,5 mm chiếm trên 50 %<br>Trọng lượng các hạt lớn hơn 0,25 mm chiếm trên 50 %<br>Trọng lượng các hạt lớn hơn 0,1 mm chiếm trên 75 % hoặc hơn<br>Trọng lượng hạt lớn hơn 0,1 mm chiếm dưới 75 %"
