ma_hieu,loai_vat_lieu_quy_cach,mac_be_tong,xi_mang_kg,cat_vang_m3,da_dam_m3,nuoc_lit,phu_gia
11.11247,Đá d = 40mm max [(4070)% cỡ 1x2cm và (6030)% cỡ 2x4 cm],400,476,"0,477","0,778",170,dẻo hóa
11.11271,Đá d = 70mm max [(4070)% cỡ 2x4cm và (6030)% cỡ 4x7 cm],100,191,"0,548","0,893",162,-
11.11272,Đá d = 70mm max [(4070)% cỡ 2x4cm và (6030)% cỡ 4x7 cm],150,234,"0,538","0,877",162,-
11.11273,Đá d = 70mm max [(4070)% cỡ 2x4cm và (6030)% cỡ 4x7 cm],200,276,"0,528","0,861",162,-
11.11274,Đá d = 70mm max [(4070)% cỡ 2x4cm và (6030)% cỡ 4x7 cm],250,317,"0,518","0,846",163,-
11.11275,Đá d = 70mm max [(4070)% cỡ 2x4cm và (6030)% cỡ 4x7 cm],300,358,"0,509",0.831,163,-
11.11276,Đá d = 70mm max [(4070)% cỡ 2x4cm và (6030)% cỡ 4x7 cm],350,392,"0,503","0,821",160,dẻo hóa
11.11277,Đá d = 70mm max [(4070)% cỡ 2x4cm và (6030)% cỡ 4x7 cm],400,448,"0,490","0,800",160,dẻo hóa
11.11311,"Đá d = 10mm max (Cỡ 0,5x1cm)",100,236,"0,511","0,833",200,-
11.11312,"Đá d = 10mm max (Cỡ 0,5x1cm)",150,288,"0,499","0,814",200,-
11.11313,"Đá d = 10mm max (Cỡ 0,5x1cm)",200,340,"0,487","0,794",200,-
11.11314,"Đá d = 10mm max (Cỡ 0,5x1cm)",250,390,"0,475","0,775",200,-
11.11315,"Đá d = 10mm max (Cỡ 0,5x1cm)",300,429,"0,470","0,767",195,dẻo hoá
11.11316,"Đá d = 10mm max (Cỡ 0,5x1cm)",350,466,"0,465","0,759",190,siêu dẻo
11.11317,"Đá d = 10mm max (Cỡ 0,5x1cm)",400,518,"0,456","0,745",185,siêu dẻo
11.11321,"Đá d = 20mm max [(40÷70)% cỡ 0,5x1cm; (60÷30)% cỡ 1x2 ÷cm]",100,225,"0,520","0,848",191,-
11.11322,"Đá d = 20mm max [(40÷70)% cỡ 0,5x1cm; (60÷30)% cỡ 1x2 ÷cm]",150,275,"0,508","0,829",191,-
11.11323,"Đá d = 20mm max [(40÷70)% cỡ 0,5x1cm; (60÷30)% cỡ 1x2 ÷cm]",200,324,"0,497","0,811",191,-
11.11324,"Đá d = 20mm max [(40÷70)% cỡ 0,5x1cm; (60÷30)% cỡ 1x2 ÷cm]",250,372,"0,486","0,793",191,-
11.11325,"Đá d = 20mm max [(40÷70)% cỡ 0,5x1cm; (60÷30)% cỡ 1x2 ÷cm]",300,407,"0,482",0.786,185,dẻo hoá
11.11326,"Đá d = 20mm max [(40÷70)% cỡ 0,5x1cm; (60÷30)% cỡ 1x2 ÷cm]",350,453,"0,471","0,769",185,dẻo hóa
